Policy Number,Age,Years of Driving Experience,Number of Vehicles,Gender,Married,Vehicle Age,Losses,Fuel_type_D,Income
188333,16,0,1,0,Single,11,1182.476864,1,58888.8432
148397,19,1,2,0,Single,6,1178.477467,1,58393.87335
125119,19,0,4,0,Married,1,1177.115598,1,58319.7799
164592,22,3,4,0,Single,11,1175.319784,1,58560.9892
104425,16,0,3,0,Single,15,1174.253909,1,58512.69545
123534,19,2,2,0,Single,3,1173.421392,1,58336.0696
141946,25,6,3,0,Single,8,1172.205433,1,58210.27165
171455,17,0,2,0,Married,1,1170.318061,1,58028.90305
142483,24,5,3,0,Single,6,1168.957156,1,58024.8578
170929,24,6,2,1,Single,5,1167.922229,1,57858.11145
109181,24,5,2,0,Married,5,1164.988741,1,57949.43705
118003,20,2,3,0,Married,4,1163.722413,1,57608.12065
100482,16,0,2,0,Single,6,1162.650269,1,57704.51345
110063,22,5,2,0,Single,9,1162.288811,1,57619.44055
139979,19,1,2,1,Single,0,1162.112704,1,57621.6352
149161,22,4,4,0,Single,10,1160.872891,1,57691.64455
109903,18,0,4,0,Single,7,1159.050397,1,57387.51985
167570,23,5,3,0,Single,0,1157.352758,1,57328.6379
194758,18,0,3,0,Married,4,1156.541639,1,57544.08195
128427,25,6,2,0,Single,9,1155.585908,1,57291.2954
111639,20,2,1,0,Single,10,1155.570126,1,57221.5063
120016,16,0,3,0,Single,9,1154.366373,1,57301.31865
145262,23,6,3,0,Single,7,1154.024463,1,57274.22315
135569,24,5,2,0,Single,11,1151.642678,1,57369.1339
132759,22,3,2,0,Married,1,1151.615653,1,57176.78265
139785,20,3,2,0,Single,3,1151.197551,1,57148.87755
191604,20,3,2,0,Single,0,1151.11018,1,57239.509
117437,22,4,4,0,Single,9,1148.295076,1,57153.7538
104479,21,2,4,0,Single,11,1147.154541,1,56934.72705
184721,19,2,4,0,Married,0,1144.362889,1,56680.14445
113495,20,1,2,0,Single,7,1142.6563,1,56546.815
171797,22,4,3,1,Single,3,1141.298387,1,56656.91935
102526,25,6,2,0,Single,10,1136.769929,1,56533.49645
156817,16,0,2,1,Single,4,1133.909051,1,56424.45255
159011,16,0,3,0,Single,12,1133.167261,1,56454.36305
160916,19,1,1,1,Single,0,1131.743655,1,56072.18275
103954,16,0,4,0,Married,4,1130.591985,1,56051.59925
102452,16,0,4,0,Married,1,1130.276363,1,56145.81815
195333,19,1,1,0,Single,0,1129.371234,1,55878.5617
160246,22,3,1,0,Single,9,1128.246122,1,55917.3061
185146,23,4,4,0,Single,6,1126.051162,1,55821.5581
123784,19,2,4,0,Single,13,1125.801015,1,56023.05075
174124,18,1,3,1,Single,5,1124.19002,1,56007.501
154975,17,0,2,0,Single,13,1122.25101,1,55603.5505
190354,16,0,2,1,Single,4,1121.535836,1,55695.7918
150879,25,8,2,0,Single,9,1121.372912,1,55566.6456
181952,25,7,3,0,Married,0,1121.163062,1,55468.1531
162793,18,0,3,0,Single,14,1120.12851,1,55524.4255
190921,16,0,4,0,Single,12,1119.340454,1,55687.0227
114134,16,0,2,0,Single,14,1117.127223,1,55329.36115
113119,18,0,3,0,Single,9,1113.614621,1,55333.73105
161428,24,6,3,0,Married,2,1113.363315,1,55156.16575
146674,16,0,4,0,Single,1,1109.628396,1,55164.4198
141331,18,0,2,1,Single,3,1109.392633,1,54960.63165
142978,20,3,3,0,Single,15,1109.134848,1,55233.7424
111407,16,0,2,0,Single,6,1107.401753,1,55169.08765
196549,20,3,3,0,Single,5,1106.820353,1,55080.01765
195140,19,2,2,0,Single,1,1103.528284,1,54853.4142
129514,17,0,3,1,Single,4,1102.664607,1,54594.23035
187555,25,6,3,0,Single,6,1102.42198,1,54852.099
181830,18,0,3,0,Single,7,1101.32202,1,54762.101
196054,24,6,2,0,Single,15,1099.378637,1,54593.93185
143694,20,3,2,0,Single,4,1099.181643,1,54523.08215
133381,25,7,1,0,Single,4,1098.237869,1,54458.89345
157217,18,0,3,0,Single,13,1096.765535,1,54496.27675
108960,25,6,2,0,Single,3,1096.314301,1,54406.71505
191212,24,6,2,1,Single,0,1096.206474,1,54228.3237
155060,22,3,1,0,Single,4,1095.601585,1,54348.07925
144397,21,2,3,0,Single,13,1095.356069,1,54392.80345
123748,21,4,3,0,Single,15,1095.189428,1,54369.4714
190876,23,4,2,0,Married,2,1094.928187,1,54374.40935
114516,17,0,3,0,Single,11,1094.091621,1,54460.58105
193022,22,4,4,0,Single,7,1093.989056,1,54440.4528
185597,20,3,3,0,Single,12,1093.491213,1,54434.56065
104612,21,2,3,0,Single,6,1093.141561,1,54333.07805
143303,20,1,2,0,Single,8,1092.721727,1,54343.08635
112005,16,0,3,0,Single,8,1092.341774,1,54166.0887
125000,24,6,4,0,Single,6,1091.162554,1,54033.1277
199907,20,1,3,0,Single,4,1090.679449,1,54147.97245
192571,21,4,1,0,Single,8,1089.683475,1,54266.17375
151336,16,0,2,0,Single,0,1087.404136,1,53989.2068
146707,17,0,3,0,Single,9,1087.141546,1,53920.0773
119860,23,5,1,0,Single,15,1086.924905,1,54109.24525
167399,19,1,2,0,Single,12,1084.643825,1,53841.19125
122159,17,0,3,0,Single,12,1084.582349,1,53848.11745
148260,23,6,2,0,Single,7,1084.569504,1,53963.4752
136989,23,4,2,1,Single,0,1084.380091,1,53777.00455
168270,16,0,3,0,Single,7,1083.622202,1,53947.1101
198247,27,7,3,0,Single,5,1080.326184,1,53455.3092
100217,23,6,1,0,Single,13,1079.526481,1,53400.32405
153904,21,3,4,0,Single,9,1078.616179,1,53526.80895
159080,19,0,3,1,Single,0,1078.598204,1,53656.9102
112682,20,3,2,0,Single,9,1078.082268,1,53479.1134
199177,23,6,2,0,Single,8,1077.884502,1,53344.2251
149679,21,3,3,0,Single,12,1077.083376,1,53306.1688
113090,23,6,2,0,Single,9,1076.568147,1,53572.40735
180572,18,1,3,0,Single,8,1073.046511,1,53076.32555
168978,20,3,1,1,Single,3,1072.705985,1,53353.29925
173908,18,0,2,0,Single,7,1071.895675,1,53110.78375
104574,24,6,2,0,Single,15,1070.485093,1,53197.25465
182178,23,5,1,0,Single,6,1070.210869,1,53309.54345
159668,24,6,1,0,Single,12,1070.204776,1,52936.2388
133556,23,5,1,1,Single,1,1069.470213,1,53093.51065
138981,19,0,2,0,Single,8,1069.37391,1,53011.6955
139616,23,5,3,0,Single,6,1068.707903,1,53030.39515
180667,21,4,4,0,Single,7,1067.742432,1,52854.1216
146768,24,7,3,0,Single,7,1067.514121,1,53153.70605
169547,16,0,2,0,Single,5,1066.856405,1,52823.82025
195112,21,4,1,0,Married,4,1066.302464,1,52732.1232
159229,25,6,3,0,Single,9,1065.366034,1,53054.3017
131529,17,0,2,1,Single,4,1064.583565,1,53013.17825
145921,17,0,3,0,Single,10,1063.703625,1,52943.18125
107139,21,4,2,0,Single,7,1061.520829,1,52493.04145
105608,51,31,4,0,Single,2,1061.157458,1,52641.8729
195241,20,2,2,0,Single,6,1060.415929,1,52548.79645
111729,22,3,2,0,Single,2,1058.035625,1,52629.78125
131315,16,0,2,0,Single,9,1057.42047,1,52410.0235
130873,25,8,2,0,Single,9,1055.197653,1,52265.88265
192903,25,8,3,0,Married,5,1053.630447,1,52144.52235
158856,24,7,2,0,Single,6,1052.836142,1,52134.8071
179570,25,8,3,0,Single,15,1052.124636,1,52373.2318
188219,22,4,4,0,Single,1,1050.53842,1,52321.921
113202,17,0,4,0,Single,12,1050.068538,1,51997.4269
163260,18,0,4,0,Single,6,1049.911783,1,51999.58915
147044,21,2,2,0,Married,5,1049.625869,1,51981.29345
195430,23,5,3,0,Single,9,1049.170554,1,51912.5277
112639,16,0,3,0,Single,6,1048.423276,1,51851.1638
142707,20,1,1,0,Single,6,1048.410022,1,52122.5011
196986,16,0,2,0,Single,6,1047.157424,1,52047.8712
164933,20,2,2,0,Single,12,1046.414359,1,52006.71795
190968,16,0,3,0,Single,11,1044.619269,1,51860.96345
176455,22,3,3,0,Single,8,1042.843674,1,51621.1837
100918,19,2,4,0,Single,7,1042.809484,1,51686.4742
171975,18,0,3,0,Single,10,1042.184386,1,51753.2193
122171,20,1,3,0,Single,0,1041.848121,1,51839.40605
175375,19,2,2,0,Single,13,1041.495458,1,51513.7729
156955,25,8,3,0,Single,14,1041.094865,1,51472.74325
180050,24,7,3,0,Single,12,1041.064578,1,51839.2289
163636,21,4,4,0,Single,15,1038.948205,1,51506.41025
167470,17,0,1,1,Single,4,1037.373455,1,51384.67275
160787,18,0,1,0,Single,14,1037.104939,1,51655.24695
125588,25,7,1,0,Single,7,1036.422302,1,51355.1151
152690,25,7,3,0,Single,8,1035.803278,1,51400.1639
120755,21,2,2,0,Single,10,1034.576892,1,51214.8446
117039,17,0,2,0,Single,8,1033.629031,1,51378.45155
101703,25,8,4,0,Single,15,1032.654421,1,51398.72105
117930,18,0,1,0,Single,10,1032.461873,1,51196.09365
132985,22,4,2,0,Single,6,1030.454301,1,51144.71505
101497,23,6,2,0,Single,12,1030.446074,1,51249.3037
109716,33,13,2,0,Single,3,1029.987461,1,51235.37305
132757,24,7,3,0,Single,15,1029.882891,1,51023.14455
131655,21,4,2,0,Single,14,1029.260813,1,51247.04065
103046,19,2,1,1,Single,3,1028.075432,1,50868.7716
138513,18,0,2,0,Single,14,1027.582618,1,50856.1309
103952,25,8,3,0,Single,14,1027.244394,1,51093.2197
119795,20,2,3,0,Single,7,1027.202169,1,50761.10845
132865,18,0,2,0,Single,5,1026.325173,1,51107.25865
162190,16,0,2,0,Single,6,1026.310667,1,50879.53335
189686,22,3,2,0,Married,3,1025.776072,1,50724.8036
170574,25,8,4,0,Single,9,1025.512944,1,50956.6472
179633,16,0,2,0,Single,11,1025.052975,1,50727.64875
112879,25,8,3,0,Single,7,1024.033822,1,50968.6911
154713,17,0,1,0,Single,11,1023.788951,1,50707.44755
120401,22,5,3,0,Single,13,1023.411106,1,50846.5553
118278,24,6,1,0,Married,0,1023.403662,1,50695.1831
199423,21,4,3,0,Married,2,1023.205561,1,50892.27805
153650,18,0,3,0,Single,9,1022.130812,1,50557.5406
145428,25,8,2,1,Single,0,1021.639065,1,50800.95325
157919,21,2,1,0,Single,7,1020.797227,1,50789.86135
103875,17,0,3,0,Single,10,1020.479783,1,50673.98915
129060,25,8,4,0,Single,13,1020.092166,1,50415.6083
174992,19,1,1,0,Single,14,1018.192642,1,50489.6321
114262,17,0,3,0,Single,14,1017.283924,1,50329.1962
102891,42,23,2,0,Single,5,1016.827347,1,50427.36735
158281,21,3,2,0,Single,9,1014.926338,1,50219.3169
151957,25,7,1,0,Single,11,1014.321608,1,50371.0804
197473,32,14,4,0,Single,2,1013.725034,1,50204.2517
186787,53,33,2,0,Single,2,1013.473644,1,50408.6822
166636,20,1,4,0,Single,12,1012.762359,1,50327.11795
137449,25,6,2,0,Single,11,1008.820062,1,50131.0031
152623,20,1,3,1,Single,4,1006.304881,1,50001.24405
187748,20,1,1,1,Single,1,1005.793409,1,50008.67045
171806,19,1,3,0,Single,7,1005.151383,1,49928.56915
128905,20,3,3,0,Single,7,1003.986869,1,49730.34345
165322,17,0,3,0,Single,10,1003.798871,1,49802.94355
157090,17,0,3,0,Single,8,1002.27879,1,49654.9395
135353,22,5,3,1,Single,2,1000.752305,1,49466.61525
186577,19,0,2,0,Single,9,999.9315769,1,49503.57885
182028,25,6,3,0,Single,0,999.9212233,1,49655.06117
108599,21,4,3,0,Single,10,999.8730496,1,49752.65248
125065,18,0,2,0,Single,11,998.9172356,1,49618.86178
119841,26,6,3,0,Single,5,997.4067386,1,49598.33693
182579,22,4,4,0,Single,13,997.2445349,1,49532.22675
115916,51,30,2,0,Single,4,994.8093204,1,49427.46602
189595,18,0,3,0,Single,0,994.5109291,1,49268.54646
182354,22,4,3,1,Single,4,994.4812481,1,49262.06241
101225,17,0,2,0,Married,1,994.0657896,1,49180.28948
125408,24,6,3,0,Single,14,993.2333375,1,49442.66688
145291,24,5,4,0,Single,7,989.980317,1,49254.01585
184598,47,29,1,0,Single,1,989.827214,1,49029.3607
115293,24,5,1,0,Married,0,989.6964115,1,49060.82058
171994,17,0,3,0,Single,12,989.518448,1,48904.9224
119642,24,5,2,0,Single,11,988.0390258,1,49016.95129
152732,24,5,4,0,Single,0,987.0121712,1,49104.60856
147113,22,5,3,0,Single,11,986.7371392,1,49006.85696
146039,24,7,3,0,Single,8,985.8140431,1,49050.70216
193707,24,5,3,0,Single,11,984.9714047,1,48771.57024
196804,22,3,3,1,Single,4,984.5450866,1,48884.25433
127572,25,7,1,0,Single,9,983.6492536,1,48867.46268
111399,57,38,4,0,Single,1,981.6439078,1,48715.19539
138063,21,2,2,0,Single,15,981.3483733,1,48474.41867
129526,25,7,3,0,Single,14,981.1059191,1,48460.29596
136782,25,6,2,0,Single,14,981.002503,1,48571.12515
152143,24,6,3,0,Single,6,980.8848113,1,48574.24057
142718,22,4,2,0,Single,8,980.3384425,1,48462.92213
189426,20,1,3,0,Single,2,980.1310295,1,48667.55148
180629,17,0,4,0,Single,11,979.0879538,1,48639.39769
168651,24,7,4,0,Single,15,978.218947,1,48700.94735
103237,31,13,2,0,Single,1,978.0305203,1,48392.52602
195391,23,4,3,0,Single,15,977.7389017,1,48646.94509
127338,19,2,3,0,Single,9,977.5152074,1,48391.76037
127344,21,3,2,0,Single,14,977.226696,1,48533.3348
155411,23,6,2,1,Single,3,977.006565,1,48578.32825
141133,23,4,2,1,Single,0,976.7366225,1,48513.83113
107600,44,27,2,0,Single,0,975.5526657,1,48261.63329
125869,19,1,2,1,Married,2,974.0882952,1,48182.41476
132872,31,13,3,1,Single,5,974.0050128,1,48223.25064
138635,19,1,4,0,Single,14,973.9247055,1,48262.23528
167680,32,12,4,0,Single,3,973.2740876,1,48126.70438
198289,21,4,2,0,Single,11,972.7204643,1,48281.02322
126066,19,0,3,0,Single,10,972.4744963,1,48339.72482
113217,25,8,2,0,Married,1,971.6615958,1,48192.07979
168613,16,0,2,0,Single,13,971.1937518,1,47994.68759
133124,19,0,4,0,Single,10,970.5309697,1,48144.54849
122479,37,19,3,0,Single,0,970.4087184,1,48292.43592
119111,19,2,3,0,Single,9,970.2005878,1,48209.02939
149732,18,1,4,0,Single,14,967.2427229,1,47900.13615
186854,22,5,3,0,Single,7,967.0016334,1,47856.08167
179032,21,4,4,0,Single,9,966.8027841,1,48093.13921
172577,25,6,1,0,Single,13,966.127914,1,48001.3957
133137,35,14,1,0,Single,5,965.3134906,1,47999.67453
197366,19,2,4,0,Single,10,965.0542936,1,47848.71468
103199,20,3,2,0,Single,2,964.5509037,1,47765.54519
154884,25,7,2,0,Single,1,964.1886481,1,47858.43241
140290,17,0,1,0,Single,13,963.5760233,1,47718.80117
148812,17,0,1,0,Single,15,961.7886561,1,47858.43281
180313,16,0,4,0,Single,14,961.688498,1,47881.4249
170873,23,6,3,0,Single,12,961.5602489,1,47774.01245
122581,16,0,4,0,Single,11,961.4443379,1,47569.2169
156888,25,6,3,0,Single,8,960.0839428,1,47412.19714
174931,19,0,1,0,Single,15,959.6700925,1,47640.50463
129275,42,22,3,0,Single,3,959.66223,1,47740.1115
103318,17,0,2,0,Single,7,959.1959551,1,47699.79776
180875,18,0,3,0,Single,13,958.4658194,1,47509.29097
127839,25,6,3,0,Single,12,955.6538288,1,47482.69144
175721,25,8,2,1,Single,1,955.5054968,1,47468.27484
162178,23,6,4,0,Single,13,953.954434,1,47149.7217
149438,16,0,1,0,Single,13,953.3025049,1,47177.12525
195887,22,3,3,0,Single,6,953.0572637,1,47240.86319
118262,21,4,1,0,Single,10,953.0263777,1,47080.31889
163533,55,35,2,1,Single,5,952.4488681,1,47115.44341
154372,24,5,3,0,Single,12,951.3606455,1,47229.03228
182975,16,0,1,0,Single,8,950.9628027,1,47008.14014
130769,25,6,1,0,Single,11,950.4048689,1,47307.24345
173602,20,3,4,1,Single,6,949.5901163,1,47175.50582
118063,25,7,2,0,Married,3,949.3304039,1,47200.5202
173000,52,34,3,1,Single,0,948.9842316,1,46979.21158
137188,54,35,2,0,Single,0,948.961617,1,47126.08085
197183,19,2,2,0,Single,15,948.6471955,1,46996.35978
108429,23,5,1,0,Single,11,948.1599283,1,46982.99642
142447,54,35,3,0,Single,0,948.1136788,1,47003.68394
150580,25,7,3,0,Single,15,947.8379808,1,46957.89904
122466,17,0,3,0,Single,14,947.6692741,1,46911.46371
192349,54,33,4,0,Single,3,947.134347,1,47010.71735
162980,48,29,3,1,Single,1,946.6285018,1,46745.42509
104756,22,3,1,0,Single,11,946.1029263,1,46820.14632
102346,20,2,2,0,Single,11,945.7624519,1,47019.1226
181011,17,0,3,0,Single,11,945.3620797,1,46899.10399
143099,16,0,2,0,Single,12,944.5853351,1,46795.26676
174446,23,5,1,0,Single,6,944.4645244,1,47012.22622
129426,46,25,2,0,Single,1,944.0640569,1,46946.20285
178021,21,3,3,0,Single,8,943.1746391,1,46820.73196
134930,18,0,1,0,Single,7,942.7213084,1,46637.06542
187036,16,0,2,0,Single,11,942.5701269,1,46812.50635
192780,19,0,3,0,Single,11,941.5145186,1,46624.72593
123936,54,37,1,0,Single,5,941.2388843,1,46651.94422
137285,18,1,2,0,Single,7,941.1540062,1,46658.70031
151004,23,6,3,0,Single,9,941.1118572,1,46824.59286
108052,20,1,1,0,Single,12,939.1788216,1,46400.94108
171515,34,13,1,0,Single,5,939.0853092,1,46574.26546
161468,35,17,2,0,Single,3,938.6415736,1,46536.07868
169018,23,4,4,0,Single,15,938.5448085,1,46572.24043
135168,16,0,3,0,Single,7,938.3568203,1,46443.84102
191234,48,29,3,0,Single,4,938.1577435,1,46441.88718
149230,24,6,3,0,Single,13,938.1062322,1,46537.31161
185852,36,15,2,0,Single,3,937.8639927,1,46498.19964
