Member_number,Date,itemDescription
1611032908799,12/03/2012,frankfurter
1672041451999,06/27/2012,margarine
1681061642999,10/26/2014,other vegetables
1685121394299,03/23/2010,whole milk
1692012598499,01/30/2011,whole milk
1644051001699,11/25/2012,citrus fruit
1665100527199,02/26/2012,oil
1658112034599,08/25/2012,frankfurter
1648010474199,08/25/2013,frankfurter
1636122888399,09/07/2011,whole milk
1602022916699,05/31/2014,sugar
1679071382799,11/06/2012,butter milk
1616051009999,12/01/2010,detergent
1668061609899,07/06/2010,hamburger meat
1606070299899,05/26/2011,bottled water
1665042331699,04/12/2011,pasta
1684011205699,05/12/2014,other vegetables
1659050492399,09/30/2012,chocolate
1655092724399,03/16/2013,sausage
1677051910899,05/28/2013,white bread
1664072426099,11/13/2014,rolls/buns
1682120680799,11/21/2011,grapes
1612011328599,09/07/2013,yogurt
1646061004499,11/25/2011,root vegetables
1625101150599,10/06/2011,beverages
1601120712199,07/21/2014,bottled beer
1680022071699,01/22/2010,coffee
1636020704499,02/21/2010,popcorn
1682082901099,02/07/2011,whole milk
1627050218699,08/16/2014,soda
1626091280899,07/20/2010,tropical fruit
1626091280899,02/12/2014,snack products
1661050632799,06/10/2013,beef
1684082440799,12/26/2014,flower soil/fertilizer
1692012598499,01/30/2011,whole milk
1610112630299,11/28/2010,frankfurter
1683082574099,10/12/2014,tropical fruit
1612011328599,09/07/2013,canned beer
1613112717499,08/11/2014,finished products
1643030485499,11/19/2011,beverages
1669012238999,09/18/2011,hamburger meat
1607030587099,04/01/2011,whole milk
1649061207499,07/13/2013,finished products
1611032908799,12/03/2012,other vegetables
1612100987299,12/14/2010,ham
1608102521399,02/15/2011,white bread
1645111803599,10/18/2013,other vegetables
1674021053099,04/12/2010,curd
1606041259699,08/19/2010,popcorn
1692012598499,07/26/2011,bottled beer
1612011328599,09/07/2013,curd
1689081758199,04/10/2013,waffles
1692012598499,01/30/2011,whole milk
1648051560299,04/14/2010,whole milk
1612012216399,01/19/2011,dessert
1679091789699,02/19/2013,sausage
1681021693299,05/31/2013,other vegetables
1600122428599,08/26/2012,shopping bags
1606041259699,08/19/2010,ham
1612020387199,02/11/2014,other vegetables
1648092066299,04/06/2012,other vegetables
1684032180399,02/13/2013,soda
1647080809499,11/11/2010,herbs
