Cust_id,Age,Annual_Income_Lacs,Twitter User,Number of Vehicles,Gender,Married,Daily hours of work,Affluent_Lifestyle,No of Dependents,Urban_residence,Social,Outstation_Travel_last_year
4539,15,16.1,1,1,0,1,13,0,5,1,1,3
7422,15,16.2,1,4,0,1,10,1,8,1,1,10
6960,15,16.4,1,1,0,1,9,1,1,1,1,9
1677,15,16.7,1,1,0,1,13,0,2,1,1,0
1411,15,16.8,1,1,0,1,12,0,1,1,1,4
10816,15,16.8,1,3,0,1,14,1,6,1,1,8
3090,15,16.9,1,5,0,1,10,0,8,1,1,6
642,15,17.5,1,3,0,1,10,0,2,1,1,10
8174,15,17.7,1,5,0,1,9,1,2,1,1,0
9297,15,18,1,2,0,1,12,1,7,1,1,1
3548,15,18.3,1,5,0,1,15,0,1,1,1,3
5848,15,19,1,3,0,1,13,1,4,1,1,1
3370,15,19.1,1,2,0,1,12,0,1,1,1,7
7932,15,19.4,1,1,0,1,11,1,3,1,1,8
9477,15,19.6,1,5,0,1,10,1,2,1,1,0
2332,15,20,1,5,0,1,13,0,7,1,1,2
10404,15,21.1,1,3,0,1,13,1,1,1,1,7
7979,15,21.3,1,5,0,1,9,1,2,1,1,3
10624,15,21.5,1,4,0,1,9,1,7,1,1,7
3254,15,22,1,3,0,1,14,0,6,1,1,1
4632,15,22.1,1,5,0,1,12,0,2,1,1,1
8384,15,22.5,1,3,0,1,12,1,4,1,1,9
1340,15,22.9,1,3,0,1,13,0,7,1,1,3
2684,15,23.4,1,1,0,1,12,0,1,1,1,0
3111,15,23.6,1,3,0,1,15,0,3,1,1,0
4425,15,23.8,1,2,0,1,14,0,6,1,1,2
3044,15,24.1,1,3,0,1,10,0,5,1,1,2
634,15,24.1,1,4,0,1,9,0,6,1,1,2
10275,15,24.2,1,4,0,1,13,1,3,1,1,2
1067,15,24.4,1,5,0,1,15,0,7,1,1,1
7983,15,24.4,1,3,0,1,10,1,1,1,1,4
4337,15,24.6,1,1,0,1,12,0,4,1,1,1
3977,15,25.3,1,1,0,1,12,0,8,1,1,4
10846,15,26.4,1,4,0,1,13,1,1,1,1,8
4335,15,26.5,1,2,0,1,10,0,8,1,1,3
3832,15,26.7,1,3,0,1,13,0,3,1,1,8
10798,15,26.9,1,5,0,1,13,1,5,1,1,9
3741,15,27.1,1,3,0,1,12,0,1,1,1,2
7886,15,27.1,1,5,0,1,9,1,2,1,1,8
10857,15,27.6,1,2,0,1,12,1,4,1,1,1
7995,15,27.6,1,1,0,1,12,1,1,1,1,3
1936,15,28.8,1,2,0,1,9,0,4,1,1,7
2786,15,28.8,1,5,0,1,9,0,8,1,1,0
8650,15,29.1,1,1,0,1,10,1,2,1,1,5
10263,15,29.2,1,3,0,1,12,1,5,1,1,4
2813,15,29.2,1,5,0,1,12,0,4,1,1,4
7380,15,29.4,1,5,0,1,12,1,6,1,1,6
1202,15,29.5,1,4,0,1,15,0,1,1,1,2
10544,15,29.6,1,5,0,1,11,1,3,1,1,5
3778,15,29.7,1,5,0,1,12,0,3,1,1,3
9618,15,29.8,1,3,0,1,14,1,4,1,1,9
1828,15,29.9,1,2,0,1,9,0,1,1,1,5
8906,15,29.9,1,5,0,1,13,1,5,1,1,7
3779,16,0.2,1,1,0,1,12,0,3,1,1,0
278,16,0.6,1,1,0,1,13,0,3,1,1,4
3959,16,0.8,1,1,0,1,12,0,8,1,1,3
2930,16,0.8,1,5,0,1,12,0,5,1,1,1
7715,16,0.8,1,5,0,1,14,1,3,1,1,0
3252,16,1,1,4,0,1,15,0,4,1,1,3
5869,16,1.2,1,2,0,1,9,1,4,1,1,1
4666,16,1.6,1,3,0,1,12,0,4,1,1,3
7625,16,1.7,1,3,0,1,15,1,3,1,1,4
1094,16,1.8,1,5,0,1,15,0,6,1,1,1
1502,16,1.9,1,4,0,1,10,0,1,1,1,6
2398,16,1.9,1,5,0,1,10,0,1,1,1,4
8129,16,2.1,1,2,0,1,9,1,4,1,1,3
8972,16,2.2,1,2,0,1,15,1,2,1,1,9
4776,16,2.3,1,5,0,1,11,0,3,1,1,0
6652,16,2.3,1,4,0,1,13,1,8,1,1,2
10744,16,2.3,1,3,0,1,12,1,7,1,1,8
7234,16,2.4,1,4,0,1,12,1,8,1,1,5
9596,16,2.7,1,1,0,1,14,1,2,1,1,6
1756,16,2.8,1,5,0,1,12,0,8,1,1,1
9960,16,2.8,1,4,0,1,12,1,8,1,1,1
2310,16,3.1,1,3,0,1,9,0,7,1,1,2
8782,16,3.3,1,4,0,1,12,1,6,1,1,7
10022,16,3.8,1,1,0,1,15,1,1,1,1,6
2564,16,4.2,1,3,0,1,9,0,5,1,1,6
5834,16,4.3,1,5,0,1,10,1,8,1,1,2
8488,16,4.7,1,2,0,1,10,1,5,1,1,10
8813,16,5.4,1,1,0,1,9,1,4,1,1,3
4394,16,6,1,2,0,1,13,0,5,1,1,5
1966,16,6.3,1,5,0,1,15,0,2,1,1,0
7026,16,6.6,1,3,0,1,10,1,4,1,1,10
4362,16,6.7,1,1,0,1,12,0,5,1,1,4
8297,16,6.9,1,4,0,1,14,1,2,1,1,0
2521,16,7.1,1,2,0,1,10,0,5,1,1,3
9002,16,7.3,1,1,0,1,10,1,4,1,1,9
10485,16,7.4,1,1,0,1,15,1,3,1,1,1
9948,16,7.4,1,1,0,1,12,1,3,1,1,2
4992,16,7.5,1,5,0,1,12,0,6,1,1,1
6664,16,7.8,1,3,0,1,15,1,2,1,1,10
392,16,7.9,1,4,0,1,12,0,5,1,1,7
5920,16,8.1,1,5,0,1,12,1,1,1,1,10
10442,16,8.3,1,2,0,1,15,1,3,1,1,2
8246,16,8.4,1,3,0,1,12,1,3,1,1,0
7037,16,8.8,1,5,0,1,9,1,8,1,1,2
838,16,9.3,1,4,0,1,13,0,3,1,1,4
8803,16,9.8,1,5,0,1,15,1,8,1,1,4
4654,16,10,1,3,0,1,13,0,7,1,1,4
5123,16,10.3,1,1,0,1,12,0,1,1,1,3
4885,16,10.4,1,1,0,1,11,0,7,1,1,1
3736,16,10.7,1,1,0,1,14,0,2,1,1,1
10118,16,11.4,1,3,0,1,13,1,7,1,1,1
8254,16,11.8,1,4,0,1,12,1,2,1,1,3
5790,16,11.9,1,5,0,1,11,1,8,1,1,8
2356,16,12.1,1,5,0,1,12,0,5,1,1,5
1450,16,12.2,1,2,0,1,14,0,7,1,1,8
8216,16,12.2,1,5,0,1,10,1,5,1,1,5
1241,16,12.7,1,4,0,1,11,0,6,1,1,2
6774,16,13.2,1,2,0,1,13,1,4,1,1,9
5964,16,13.6,1,5,0,1,12,1,8,1,1,2
8068,16,13.6,1,2,0,1,15,1,4,1,1,5
3360,16,14,1,2,0,1,10,0,1,1,1,5
4379,16,14,1,3,0,1,12,0,5,1,1,1
6964,16,15.2,1,2,0,1,10,1,6,1,1,0
8048,16,15.3,1,5,0,1,13,1,5,1,1,6
10326,16,15.7,1,2,0,1,12,1,6,1,1,1
3846,16,16,1,3,0,1,15,0,2,1,1,2
8808,16,16.3,1,5,0,1,12,1,4,1,1,5
8102,16,16.5,1,3,0,1,14,1,6,1,1,8
2134,16,17,1,1,0,1,13,0,7,1,1,3
4963,16,17.2,1,2,0,1,12,0,2,1,1,0
2196,16,18.2,1,5,0,1,12,0,4,1,1,7
9381,16,18.2,1,4,0,1,10,1,3,1,1,0
6577,16,18.9,1,1,0,1,14,1,5,1,1,4
4916,16,19,1,3,0,1,12,0,6,1,1,8
9092,16,19.2,1,3,0,1,15,1,8,1,1,9
5078,16,19.4,1,2,0,1,14,0,3,1,1,1
8829,16,19.5,1,3,0,1,14,1,6,1,1,3
3812,16,19.7,1,5,0,1,12,0,1,1,1,0
2756,16,19.8,1,4,0,1,10,0,1,1,1,2
5068,16,19.8,1,5,0,1,13,0,1,1,1,1
6483,16,20.1,1,5,0,1,15,1,4,1,1,4
2576,16,20.3,1,4,0,1,11,0,2,1,1,2
1925,16,20.5,1,5,0,1,12,0,3,1,1,2
1020,16,20.7,1,5,0,1,11,0,8,1,1,3
7535,16,21.1,1,1,0,1,10,1,7,1,1,2
2699,16,21.6,1,3,0,1,12,0,3,1,1,1
8428,16,21.6,1,3,0,1,11,1,1,1,1,9
10730,16,21.7,1,5,0,1,15,1,8,1,1,2
9076,16,22.3,1,1,0,1,11,1,6,1,1,7
6331,16,22.5,1,5,0,1,11,1,8,1,1,2
5161,16,22.9,1,3,0,1,14,0,4,1,1,4
7758,16,23.1,1,3,0,1,9,1,8,1,1,9
1657,16,23.3,1,4,0,1,14,0,6,1,1,1
8713,16,24.1,1,5,0,1,15,1,4,1,1,4
2728,16,24.1,1,2,0,1,12,0,4,1,1,7
3877,16,24.5,1,3,0,1,9,0,4,1,1,3
394,16,24.5,1,3,0,1,9,0,2,1,1,0
1484,16,24.7,1,2,0,1,14,0,7,1,1,3
5917,16,24.9,1,1,0,1,10,1,8,1,1,2
993,16,25.2,1,2,0,1,12,0,7,1,1,2
7174,16,25.2,1,3,0,1,9,1,1,1,1,0
3057,16,25.2,1,2,0,1,9,0,2,1,1,2
2696,16,25.2,1,3,0,1,12,0,7,1,1,2
7188,16,25.4,1,5,0,1,15,1,3,1,1,4
3923,16,25.5,1,4,0,1,14,0,7,1,1,2
452,16,25.6,1,4,0,1,14,0,7,1,1,9
6394,16,26,1,2,0,1,13,1,5,1,1,7
8049,16,26.1,1,1,0,1,13,1,2,1,1,4
3428,16,26.2,1,1,0,1,12,0,7,1,1,10
828,16,26.2,1,3,0,1,13,0,7,1,1,1
4353,16,26.3,1,1,0,1,10,0,2,1,1,4
5168,16,26.7,1,3,0,1,10,0,4,1,1,1
972,16,26.9,1,2,0,1,15,0,8,1,1,8
3120,16,27.4,1,4,0,1,9,0,8,1,1,4
8470,16,27.4,1,1,0,1,13,1,6,1,1,4
3522,16,27.5,1,3,0,1,12,0,1,1,1,8
7789,16,27.7,1,2,0,1,15,1,5,1,1,4
3584,16,27.8,1,3,0,1,9,0,6,1,1,9
2000,16,27.9,1,1,0,1,13,0,3,1,1,1
3065,16,28.1,1,5,0,1,12,0,2,1,1,4
2898,16,28.5,1,4,0,1,15,0,7,1,1,3
3602,16,28.6,1,3,0,1,12,0,5,1,1,8
3996,16,29,1,1,0,1,13,0,6,1,1,8
7572,16,29.3,1,5,0,1,12,1,1,1,1,6
3413,17,0.3,1,2,0,1,10,0,2,1,1,2
6359,17,0.4,1,2,0,1,11,1,1,1,1,0
7160,17,0.8,1,3,0,1,12,1,1,1,1,8
7388,17,1.3,1,5,0,1,12,1,2,1,1,9
4810,17,1.5,1,2,0,1,9,0,5,1,1,8
7619,17,2.9,1,1,0,1,9,1,2,1,1,4
8550,17,3.1,1,3,0,1,9,1,6,1,1,10
9848,17,3.1,1,1,0,1,13,1,2,1,1,3
10558,17,3.4,1,2,0,1,13,1,2,1,1,4
3461,17,3.9,1,2,0,1,11,0,5,1,1,0
7309,17,4,1,4,0,1,9,1,4,1,1,3
10836,17,4.1,1,4,0,1,12,1,3,1,1,1
4938,17,4.3,1,2,0,1,10,0,5,1,1,5
4791,17,5.1,1,2,0,1,11,0,4,1,1,2
4442,17,5.3,1,5,0,1,12,0,7,1,1,8
737,17,5.3,1,1,0,1,15,0,6,1,1,1
9900,17,6,1,3,0,1,11,1,7,1,1,3
4168,17,6.3,1,2,0,1,12,0,4,1,1,1
5908,17,7.1,1,3,0,1,12,1,1,1,1,1
9862,17,7.2,1,2,0,1,10,1,7,1,1,4
3394,17,7.9,1,2,0,1,11,0,5,1,1,4
2581,17,8,1,5,0,1,13,0,5,1,1,3
1220,17,8,1,2,0,1,11,0,6,1,1,2
4464,17,8,1,4,0,1,15,0,4,1,1,8
1022,17,8.8,1,2,0,1,13,0,6,1,1,4
4166,17,9.4,1,2,0,1,10,0,7,1,1,2
8564,17,9.4,1,1,0,1,12,1,5,1,1,7
3754,17,9.7,1,1,0,1,14,0,2,1,1,5
9295,17,9.8,1,2,0,1,12,1,3,1,1,2
2673,17,10.1,1,1,0,1,12,0,7,1,1,3
3814,17,10.2,1,1,0,1,13,0,2,1,1,6
9190,17,10.2,1,1,0,1,12,1,7,1,1,9
4952,17,10.4,1,2,0,1,10,0,7,1,1,5
6669,17,10.6,1,5,0,1,12,1,7,1,1,1
3300,17,10.6,1,1,0,1,10,0,1,1,1,7
8518,17,10.9,1,4,0,1,12,1,8,1,1,1
5878,17,10.9,1,3,0,1,11,1,6,1,1,7
5006,17,11.5,1,5,0,1,14,0,8,1,1,1
3082,17,11.8,1,3,0,1,12,0,8,1,1,0
4188,17,12.3,1,1,0,1,12,0,8,1,1,9
1324,17,12.5,1,1,0,1,12,0,1,1,1,7
3242,17,12.6,1,5,0,1,14,0,3,1,1,9
5736,17,12.8,1,4,0,1,14,1,4,1,1,9
2905,17,12.8,1,2,0,1,14,0,5,1,1,3
103,17,12.9,1,1,0,1,11,0,2,1,1,0
2296,17,14.2,1,1,0,1,13,0,2,1,1,1
4470,17,15.3,1,5,0,1,10,0,6,1,1,2
536,17,15.9,1,3,0,1,9,0,7,1,1,9
8790,17,16.1,1,5,0,1,9,1,2,1,1,5
10637,17,16.1,1,5,0,1,10,1,3,1,1,4
10055,17,16.2,1,2,0,1,9,1,1,1,1,1
2698,17,17,1,2,0,1,14,0,7,1,1,3
1119,17,17.3,1,2,0,1,14,0,7,1,1,2
4752,17,17.4,1,5,0,1,14,0,4,1,1,6
9018,17,17.5,1,3,0,1,12,1,2,1,1,8
10178,17,18.1,1,4,0,1,11,1,5,1,1,5
128,17,18.4,1,1,0,1,11,0,7,1,1,10
4767,17,19,1,5,0,1,11,0,6,1,1,4
8036,17,19.4,1,1,0,1,15,1,1,1,1,0
10338,17,19.4,1,4,0,1,12,1,4,1,1,8
10074,17,19.6,1,5,0,1,10,1,5,1,1,2
6738,17,19.8,1,5,0,1,9,1,1,1,1,10
4367,17,20.5,1,3,0,1,13,0,2,1,1,4
6160,17,20.5,1,3,0,1,13,1,7,1,1,7
6258,17,21.8,1,4,0,1,12,1,2,1,1,3
5130,17,22.1,1,5,0,1,9,0,7,1,1,0
2420,17,22.5,1,1,0,1,9,0,7,1,1,5
8358,17,22.7,1,3,0,1,11,1,1,1,1,1
5108,17,23,1,5,0,1,12,0,2,1,1,10
108,17,23.1,1,2,0,1,11,0,1,1,1,1
2231,17,23.1,1,1,0,1,11,0,3,1,1,2
6491,17,23.3,1,2,0,1,14,1,6,1,1,0
3219,17,24.4,1,5,0,1,12,0,2,1,1,0
650,17,24.5,1,4,0,1,12,0,1,1,1,6
9237,17,24.9,1,5,0,1,14,1,3,1,1,4
9612,17,25.1,1,2,0,1,11,1,7,1,1,7
4295,17,25.4,1,1,0,1,14,0,3,1,1,4
5231,17,25.5,1,3,0,1,9,0,6,1,1,3
2111,17,26.2,1,4,0,1,9,0,7,1,1,4
5571,17,26.5,1,5,0,1,9,1,6,1,1,4
10443,17,27.3,1,1,0,1,10,1,5,1,1,0
4035,17,27.4,1,1,0,1,13,0,5,1,1,3
900,17,27.6,1,2,0,1,14,0,2,1,1,0
1368,17,27.7,1,5,0,1,9,0,4,1,1,8
3104,17,27.7,1,4,0,1,9,0,4,1,1,4
5538,17,27.8,1,3,0,1,11,1,3,1,1,10
6043,17,28.3,1,5,0,1,9,1,8,1,1,1
2523,17,28.3,1,4,0,1,13,0,7,1,1,4
3358,17,28.4,1,4,0,1,9,0,1,1,1,7
8574,17,28.4,1,5,0,1,9,1,2,1,1,4
6634,17,28.7,1,2,0,1,9,1,4,1,1,0
2580,17,29.1,1,1,0,1,10,0,7,1,1,0
1399,17,29.2,1,2,0,1,9,0,5,1,1,1
7344,17,29.4,1,5,0,1,12,1,5,1,1,3
7468,17,29.7,1,4,0,1,11,1,8,1,1,1
2634,18,0.2,1,1,0,1,12,0,7,1,1,6
3549,18,1.1,1,2,0,1,15,0,2,1,1,0
124,18,1.2,1,5,0,1,15,0,6,1,1,8
5866,18,1.3,1,3,0,1,14,1,7,1,1,8
8708,18,1.4,1,3,0,1,11,1,3,1,1,8
9247,18,1.7,1,3,0,1,13,1,7,1,1,4
7741,18,1.9,1,2,0,1,15,1,2,1,1,0
9207,18,2.5,1,1,0,1,12,1,2,1,1,1
6977,18,2.6,1,4,0,1,15,1,8,1,1,1
9084,18,3.2,1,3,0,1,12,1,5,1,1,0
10513,18,3.4,1,2,0,1,14,1,8,1,1,2
7452,18,3.5,1,4,0,1,10,1,7,1,1,4
8037,18,3.9,1,2,0,1,9,1,3,1,1,3
3894,18,3.9,1,1,0,1,13,0,3,1,1,0
1976,18,4,1,4,0,1,12,0,6,1,1,4
3144,18,4.3,1,1,0,1,14,0,6,1,1,6
9887,18,4.6,1,4,0,1,9,1,4,1,1,4
1335,18,4.7,1,4,0,1,13,0,7,1,1,1
10494,18,4.8,1,3,0,1,11,1,5,1,1,0
8099,18,4.9,1,1,0,1,10,1,3,1,1,1
6171,18,5,1,5,0,1,13,1,8,1,1,2
2808,18,5,1,5,0,1,12,0,6,1,1,2
3604,18,5.1,1,4,0,1,9,0,8,1,1,2
5671,18,5.2,1,5,0,1,12,1,5,1,1,0
8346,18,5.7,1,2,0,1,10,1,6,1,1,5
6913,18,6.2,1,3,0,1,12,1,1,1,1,2
8085,18,6.2,1,1,0,1,9,1,4,1,1,0
1236,18,6.3,1,1,0,1,9,0,7,1,1,0
4730,18,6.4,1,3,0,1,14,0,6,1,1,2
8964,18,6.6,1,4,0,1,10,1,7,1,1,9
1919,18,6.9,1,3,0,1,13,0,4,1,1,4
7838,18,7.3,1,2,0,1,12,1,6,1,1,1
8878,18,8,1,4,0,1,9,1,7,1,1,8
1590,18,8.1,1,4,0,1,12,0,8,1,1,10
5348,18,8.4,1,3,0,1,14,0,6,1,1,2
9233,18,8.8,1,3,0,1,12,1,3,1,1,2
4490,18,9.7,1,2,0,1,10,0,2,1,1,10
7454,18,10,1,1,0,1,10,1,1,1,1,3
7763,18,10.2,1,1,0,1,12,1,1,1,1,2
5140,18,10.3,1,4,0,1,15,0,6,1,1,0
10477,18,10.5,1,3,0,1,14,1,1,1,1,1
5686,18,11.2,1,4,0,1,12,1,6,1,1,8
7946,18,11.2,1,2,0,1,13,1,5,1,1,3
486,18,11.6,1,5,0,1,12,0,5,1,1,1
7639,18,11.8,1,3,0,1,11,1,5,1,1,1
2461,18,12,1,2,0,1,12,0,4,1,1,3
646,18,12,1,5,0,1,15,0,1,1,1,2
5216,18,12.2,1,4,0,1,14,0,7,1,1,8
5874,18,12.4,1,1,0,1,11,1,8,1,1,0
976,18,12.5,1,3,0,1,10,0,6,1,1,2
8705,18,12.7,1,2,0,1,11,1,7,1,1,3
6787,18,12.8,1,1,0,1,9,1,7,1,1,0
10662,18,12.9,1,3,0,1,11,1,7,1,1,9
9726,18,13.2,1,5,0,1,15,1,7,1,1,0
527,18,13.3,1,5,0,1,10,0,4,1,1,1
8976,18,13.6,1,5,0,1,11,1,3,1,1,1
872,18,14,1,5,0,1,15,0,8,1,1,2
6970,18,14.1,1,2,0,1,14,1,6,1,1,2
2214,18,14.3,1,3,0,1,11,0,8,1,1,6
2248,18,14.6,1,2,0,1,9,0,6,1,1,2
8637,18,14.7,1,5,0,1,9,1,4,1,1,3
4034,18,15.1,1,1,0,1,15,0,6,1,1,0
6765,18,15.5,1,5,0,1,12,1,6,1,1,4
864,18,16,1,5,0,1,12,0,3,1,1,8
2110,18,16.4,1,3,0,1,13,0,3,1,1,1
9073,18,16.5,1,3,0,1,15,1,3,1,1,2
8656,18,16.6,1,3,0,1,15,1,2,1,1,8
8486,18,17,1,2,0,1,15,1,4,1,1,8
10859,18,17.4,1,5,0,1,11,1,1,1,1,2
2304,18,17.7,1,4,0,1,10,0,7,1,1,8
3490,18,17.9,1,1,0,1,14,0,5,1,1,4
10703,18,18.1,1,5,0,1,10,1,5,1,1,2
10452,18,18.2,1,3,0,1,12,1,7,1,1,4
4494,18,18.3,1,3,0,1,9,0,2,1,1,6
118,18,18.7,1,4,0,1,9,0,8,1,1,6
977,18,19.5,1,2,0,1,11,0,2,1,1,1
8882,18,19.5,1,4,0,1,9,1,5,1,1,7
2940,18,19.6,1,2,0,1,9,0,6,1,1,0
5624,18,19.6,1,4,0,1,13,1,7,1,1,3
3492,18,19.7,1,1,0,1,15,0,1,1,1,6
8280,18,19.7,1,2,0,1,13,1,3,1,1,9
10194,18,20.3,1,5,0,1,12,1,8,1,1,7
3938,18,20.7,1,2,0,1,12,0,8,1,1,7
4332,18,21,1,4,0,1,12,0,1,1,1,6
8580,18,21.1,1,4,0,1,15,1,2,1,1,2
5673,18,21.4,1,5,0,1,14,1,5,1,1,1
9797,18,22.1,1,1,0,1,15,1,2,1,1,3
9331,18,22.3,1,4,0,1,15,1,6,1,1,0
5574,18,22.9,1,4,0,1,13,1,5,1,1,5
2084,18,23.1,1,5,0,1,11,0,1,1,1,10
436,18,23.4,1,2,0,1,12,0,2,1,1,8
1133,18,23.6,1,2,0,1,14,0,4,1,1,3
1371,18,23.6,1,2,0,1,12,0,4,1,1,0
2732,18,23.9,1,3,0,1,12,0,3,1,1,8
6434,18,23.9,1,2,0,1,15,1,6,1,1,8
6528,18,23.9,1,5,0,1,14,1,2,1,1,8
844,18,24,1,1,0,1,12,0,8,1,1,10
4032,18,24.2,1,3,0,1,14,0,3,1,1,6
1712,18,24.2,1,4,0,1,11,0,3,1,1,1
4899,18,24.8,1,3,0,1,14,0,7,1,1,2
7456,18,24.9,1,4,0,1,9,1,4,1,1,1
9060,18,25.2,1,5,0,1,12,1,3,1,1,4
628,18,25.4,1,2,0,1,13,0,3,1,1,0
1458,18,25.4,1,1,0,1,13,0,6,1,1,3
10779,18,25.7,1,5,0,1,14,1,7,1,1,1
8874,18,25.8,1,2,0,1,13,1,2,1,1,0
1126,18,26,1,5,0,1,10,0,6,1,1,1
1134,18,26.1,1,5,0,1,14,0,8,1,1,1
4737,18,26.1,1,5,0,1,12,0,8,1,1,4
1380,18,26.7,1,5,0,1,10,0,8,1,1,7
8930,18,27.3,1,4,0,1,9,1,4,1,1,2
7927,18,27.3,1,2,0,1,15,1,1,1,1,3
7080,18,27.7,1,2,0,1,11,1,5,1,1,7
5665,18,28,1,3,0,1,15,1,8,1,1,2
7972,18,28.2,1,3,0,1,14,1,7,1,1,5
9007,18,28.3,1,2,0,1,14,1,4,1,1,1
1346,18,28.6,1,5,0,1,12,0,7,1,1,0
8695,18,29.7,1,4,0,1,14,1,6,1,1,2
9536,18,29.9,1,1,0,1,9,1,7,1,1,1
3866,19,0.2,1,3,0,1,12,0,1,1,1,0
9480,19,0.3,1,3,0,1,9,1,5,1,1,7
4482,19,0.7,1,3,0,1,14,0,7,1,1,4
2002,19,0.7,1,2,0,1,9,0,8,1,1,8
1824,19,0.9,1,4,0,1,15,0,5,1,1,7
878,19,1.1,1,1,0,1,9,0,8,1,1,5
5258,19,1.5,1,3,0,1,12,0,5,1,1,0
10689,19,1.6,1,1,0,1,9,1,6,1,1,4
4718,19,1.9,1,4,0,1,15,0,4,1,1,1
10623,19,1.9,1,4,0,1,12,1,7,1,1,1
3498,19,1.9,1,3,0,1,12,0,6,1,1,4
8609,19,2,1,1,0,1,14,1,7,1,1,0
7486,19,2.6,1,1,0,1,9,1,3,1,1,4
2518,19,2.7,1,2,0,1,14,0,4,1,1,10
438,19,3.4,1,5,0,1,15,0,2,1,1,3
7351,19,3.7,1,1,0,1,12,1,3,1,1,3
4658,19,3.7,1,5,0,1,11,0,7,1,1,9
338,19,3.9,1,2,0,1,11,0,2,1,1,6
10421,19,4.4,1,5,0,1,12,1,2,1,1,2
7192,19,5.1,1,5,0,1,10,1,3,1,1,7
7480,19,5.8,1,4,0,1,13,1,7,1,1,9
928,19,5.9,1,3,0,1,13,0,1,1,1,7
7958,19,5.9,1,5,0,1,15,1,5,1,1,0
9817,19,5.9,1,5,0,1,12,1,1,1,1,4
5553,19,6.1,1,4,0,1,9,1,4,1,1,0
5558,19,6.2,1,5,0,1,11,1,1,1,1,9
7218,19,6.9,1,4,0,1,13,1,4,1,1,10
9826,19,7.6,1,1,0,1,9,1,2,1,1,2
3907,19,7.6,1,4,0,1,11,0,3,1,1,2
4159,19,7.6,1,5,0,1,15,0,4,1,1,2
3690,19,8,1,1,0,1,9,0,1,1,1,2
5486,19,8.7,1,5,0,1,13,1,1,1,1,7
1390,19,8.7,1,5,0,1,13,0,4,1,1,2
7987,19,8.9,1,4,0,1,15,1,3,1,1,0
