"","gender","married","buy"
"S64","Male","Married","Buy"
"S65","Male","Married","NotBuy"
"S66","Male","Married","Buy"
"S67","Male","Single","Buy"
"S68","Female","Married","Buy"
"S69","Male","Married","Buy"
"S70","Female","Married","Buy"
"S71","Male","Married","Buy"
"S72","Female","Single","Buy"
"S73","Male","Married","Buy"
"S74","Male","Single","Buy"
"S75","Male","Married","Buy"
"S76","Female","Married","NotBuy"
"S77","Female","Single","Buy"
"S78","Male","Married","NotBuy"
"S79","Female","Married","Buy"
"S80","Female","Married","Buy"
"S81","Male","Married","Buy"
"S82","Female","Married","NotBuy"
"S83","Male","Married","Buy"
"S84","Male","Married","Buy"
"S85","Female","Single","Buy"
"S86","Male","Married","NotBuy"
"S87","Female","Married","NotBuy"
"S88","Male","Married","Buy"
"S89","Male","Married","NotBuy"
"S90","Male","Married","Buy"
"S91","Male","Single","NotBuy"
"S92","Male","Married","Buy"
"S93","Male","Married","Buy"
"S94","Female","Married","Buy"
"S95","Female","Single","Buy"
"S96","Female","Single","Buy"
"S97","Male","Single","Buy"
"S98","Male","Married","Buy"
"S99","Female","Married","Buy"
"S100","Male","Married","Buy"
"S101","Male","Married","Buy"
"S102","Male","Single","Buy"
"S103","Male","Married","NotBuy"
"S104","Female","Married","NotBuy"
"S105","Male","Married","Buy"
"S106","Male","Single","Buy"
"S107","Male","Married","NotBuy"
"S108","Male","Married","Buy"
"S109","Female","Single","Buy"
"S110","Male","Married","Buy"
"S111","Female","Married","Buy"
"S112","Female","Married","NotBuy"
"S113","Male","Married","Buy"
"S114","Male","Married","Buy"
"S115","Male","Married","NotBuy"
"S116","Male","Married","NotBuy"
"S117","Female","Single","NotBuy"
"S118","Male","Single","Buy"
"S119","Male","Married","NotBuy"
"S120","Male","Married","Buy"
"S121","Female","Single","Buy"
"S122","Male","Single","Buy"
"S123","Male","Single","NotBuy"
"S124","Male","Married","NotBuy"
"S125","Female","Married","Buy"
"S126","Male","Married","NotBuy"
"S127","Male","Single","Buy"
"S128","Male","Single","Buy"
"S129","Male","Single","NotBuy"
"S130","Male","Single","Buy"
"S131","Male","Married","Buy"
"S132","Male","Married","NotBuy"
"S133","Male","Married","Buy"
"S134","Male","Married","NotBuy"
"S135","Female","Married","Buy"
"S136","Male","Single","NotBuy"
"S137","Male","Single","Buy"
"S138","Male","Single","NotBuy"
"S139","Female","Married","Buy"
"S140","Male","Married","Buy"
"S141","Male","Married","Buy"
"S142","Male","Single","Buy"
"S143","Male","Married","NotBuy"
"S144","Male","Married","Buy"
"S145","Female","Single","Buy"
"S146","Male","Married","NotBuy"
"S147","Male","Single","NotBuy"
"S148","Female","Married","Buy"
"S149","Male","Married","Buy"
"S150","Female","Married","Buy"
"S151","Male","Married","Buy"
"S152","Male","Single","Buy"
"S153","Male","Single","NotBuy"
"S154","Male","Single","Buy"
"S155","Male","Married","NotBuy"
"S156","Male","Married","Buy"
"S157","Male","Married","NotBuy"
"S158","Male","Married","Buy"
"S159","Male","Married","Buy"
"S160","Male","Single","Buy"
"S161","Male","Married","NotBuy"
"S162","Female","Single","NotBuy"
"S163","Male","Single","Buy"
"S164","Female","Married","NotBuy"
"S165","Female","Married","Buy"
"S166","Male","Married","NotBuy"
"S167","Male","Married","Buy"
"S168","Male","Married","NotBuy"
"S169","Female","Married","Buy"
"S170","Male","Married","Buy"
"S171","Male","Married","NotBuy"
"S172","Female","Married","Buy"
"S173","Female","Married","Buy"
"S174","Male","Single","NotBuy"
"S175","Male","Married","Buy"
"S176","Female","Single","NotBuy"
"S177","Male","Single","Buy"
"S178","Female","Married","Buy"
"S179","Male","Married","NotBuy"
"S180","Female","Single","Buy"
"S181","Male","Married","NotBuy"
"S182","Male","Married","Buy"
"S183","Female","Married","NotBuy"
"S184","Male","Married","NotBuy"
"S185","Female","Married","Buy"
"S186","Male","Married","NotBuy"
"S187","Female","Single","Buy"
"S188","Female","Married","NotBuy"
"S189","Female","Married","Buy"
"S190","Male","Married","Buy"
"S191","Female","Married","Buy"
"S192","Male","Married","Buy"
"S193","Male","Single","NotBuy"
"S194","Female","Married","Buy"
"S195","Male","Single","Buy"
"S196","Male","Married","Buy"
"S197","Male","Single","Buy"
"S198","Female","Single","Buy"
"S199","Male","Married","Buy"
"S200","Female","Married","Buy"
"S201","Male","Married","NotBuy"
"S202","Male","Married","NotBuy"
"S203","Male","Married","NotBuy"
"S204","Male","Single","NotBuy"
"S205","Male","Single","Buy"
"S206","Male","Married","NotBuy"
"S207","Male","Married","Buy"
"S208","Male","Married","Buy"
"S209","Male","Single","Buy"
"S210","Female","Married","Buy"
"S211","Female","Married","NotBuy"
"S212","Male","Married","Buy"
"S213","Female","Married","NotBuy"
"S214","Female","Single","NotBuy"
"S215","Female","Married","NotBuy"
"S216","Male","Single","Buy"
"S217","Male","Married","Buy"
"S218","Female","Single","Buy"
"S219","Female","Single","Buy"
"S220","Male","Married","Buy"
"S221","Male","Single","Buy"
"S222","Male","Married","NotBuy"
"S223","Male","Married","Buy"
"S224","Male","Married","Buy"
"S225","Female","Married","NotBuy"
"S226","Male","Married","NotBuy"
"S227","Male","Single","NotBuy"
"S228","Male","Married","Buy"
"S229","Male","Married","NotBuy"
"S230","Female","Married","NotBuy"
"S231","Male","Single","NotBuy"
"S232","Male","Married","Buy"
"S233","Male","Single","NotBuy"
"S234","Male","Married","Buy"
"S235","Male","Single","NotBuy"
"S236","Male","Single","Buy"
"S237","Male","Single","Buy"
"S238","Male","Married","Buy"
"S239","Male","Married","Buy"
"S240","Male","Single","Buy"
"S241","Male","Married","NotBuy"
"S242","Male","Single","Buy"
"S243","Female","Single","Buy"
"S244","Male","Single","NotBuy"
"S245","Male","Single","NotBuy"
"S246","Male","Single","NotBuy"
"S247","Male","Single","Buy"
"S248","Male","Married","Buy"
"S249","Male","Married","Buy"
"S250","Female","Married","Buy"
"S251","Female","Married","NotBuy"
"S252","Female","Married","Buy"
"S253","Male","Married","Buy"
"S254","Male","Married","Buy"
"S255","Male","Married","NotBuy"
"S256","Male","Married","Buy"
"S257","Male","Married","Buy"
"S258","Male","Married","Buy"
"S259","Male","Single","Buy"
"S260","Female","Married","NotBuy"
"S261","Male","Single","NotBuy"
"S262","Male","Married","Buy"
"S263","Male","Single","NotBuy"
"S264","Female","Married","Buy"
"S265","Female","Married","NotBuy"
"S266","Male","Single","NotBuy"
"S267","Male","Single","Buy"
"S268","Female","Married","NotBuy"
"S269","Male","Single","NotBuy"
"S270","Male","Married","Buy"
"S271","Male","Single","NotBuy"
"S272","Male","Married","NotBuy"
"S273","Male","Married","NotBuy"
"S274","Male","Married","Buy"
"S275","Male","Single","NotBuy"
"S276","Male","Married","Buy"
"S277","Male","Single","NotBuy"
"S278","Male","Single","Buy"
"S279","Male","Married","Buy"
"S280","Female","Single","Buy"
"S281","Male","Single","Buy"
"S282","Male","Married","NotBuy"
"S283","Female","Married","NotBuy"
"S284","Male","Married","NotBuy"
"S285","Male","Married","Buy"
"S286","Male","Single","NotBuy"
"S287","Male","Married","Buy"
"S288","Male","Married","Buy"
"S289","Male","Single","NotBuy"
"S290","Male","Single","Buy"
"S291","Male","Married","Buy"
"S292","Male","Married","Buy"
"S293","Female","Single","NotBuy"
"S294","Male","Single","Buy"
"S295","Male","Married","NotBuy"
"S296","Male","Single","Buy"
"S297","Male","Married","Buy"
"S298","Male","Married","Buy"
"S299","Male","Married","Buy"
"S300","Female","Married","Buy"
"S301","Male","Married","NotBuy"
"S302","Male","Married","Buy"
"S303","Male","Single","Buy"
"S304","Male","Married","NotBuy"
"S305","Male","Single","NotBuy"
"S306","Female","Married","Buy"
"S307","Male","Married","Buy"
"S308","Female","Single","NotBuy"
"S309","Male","Married","NotBuy"
"S310","Male","Married","Buy"
"S311","Male","Married","Buy"
"S312","Male","Married","Buy"
"S313","Female","Single","NotBuy"
"S314","Female","Married","Buy"
"S315","Male","Single","NotBuy"
"S316","Male","Married","Buy"
"S317","Male","Single","NotBuy"
"S318","Male","Married","Buy"
"S319","Female","Married","NotBuy"
"S320","Male","Single","Buy"
"S321","Male","Married","NotBuy"
"S322","Male","Married","Buy"
"S323","Male","Married","Buy"
"S324","Female","Single","Buy"
"S325","Female","Married","Buy"
"S326","Female","Single","Buy"
"S327","Female","Married","NotBuy"
"S328","Female","Married","Buy"
"S329","Male","Single","Buy"
"S330","Female","Married","Buy"
"S331","Female","Single","Buy"
"S332","Male","Single","NotBuy"
"S333","Male","Single","NotBuy"
"S334","Female","Single","Buy"
"S335","Male","Single","Buy"
"S336","Male","Married","Buy"
"S337","Male","Married","Buy"
"S338","Male","Married","Buy"
"S339","Male","Single","NotBuy"
"S340","Female","Married","NotBuy"
"S341","Female","Married","NotBuy"
"S342","Male","Single","NotBuy"
"S343","Male","Married","NotBuy"
"S344","Male","Married","Buy"
"S345","Male","Married","Buy"
"S346","Male","Married","Buy"
"S347","Male","Married","NotBuy"
"S348","Male","Married","NotBuy"
"S349","Male","Married","Buy"
"S350","Female","Married","Buy"
"S351","Male","Married","Buy"
"S352","Male","Single","Buy"
"S353","Female","Single","Buy"
"S354","Male","Married","NotBuy"
"S355","Female","Single","Buy"
"S356","Male","Married","NotBuy"
"S357","Female","Single","NotBuy"
"S358","Male","Married","NotBuy"
"S359","Female","Married","Buy"
"S360","Male","Married","NotBuy"
"S361","Male","Married","Buy"
"S362","Male","Married","Buy"
"S363","Female","Single","Buy"
"S364","Male","Married","Buy"
"S365","Male","Married","NotBuy"
"S366","Female","Married","Buy"
"S367","Male","Single","Buy"
"S368","Female","Single","Buy"
"S369","Male","Married","NotBuy"
"S370","Male","Single","Buy"
"S371","Male","Married","NotBuy"
"S372","Male","Single","Buy"
"S373","Female","Married","Buy"
"S374","Male","Married","NotBuy"
"S375","Male","Single","NotBuy"
"S376","Male","Single","NotBuy"
"S377","Male","Married","Buy"
"S378","Female","Single","NotBuy"
"S379","Male","Single","NotBuy"
"S380","Male","Married","Buy"
"S381","Male","Married","Buy"
"S382","Male","Single","Buy"
"S383","Male","Married","Buy"
"S384","Female","Single","Buy"
"S385","Male","Married","Buy"
"S386","Male","Married","NotBuy"
"S387","Female","Married","Buy"
"S388","Female","Married","Buy"
"S389","Male","Married","NotBuy"
"S390","Female","Married","NotBuy"
"S391","Male","Married","NotBuy"
"S392","Male","Married","NotBuy"
"S393","Female","Married","Buy"
"S394","Male","Married","Buy"
"S395","Male","Married","Buy"
"S396","Male","Married","Buy"
"S397","Male","Married","Buy"
"S398","Male","Married","NotBuy"
"S399","Male","Single","Buy"
"S400","Male","Married","NotBuy"
"S401","Male","Married","NotBuy"
"S402","Male","Married","Buy"
"S403","Female","Married","Buy"
"S404","Female","Married","Buy"
"S405","Female","Married","NotBuy"
"S406","Female","Single","NotBuy"
"S407","Male","Married","Buy"
"S408","Female","Married","Buy"
"S409","Male","Married","Buy"
"S410","Female","Married","NotBuy"
"S411","Female","Single","NotBuy"
"S412","Male","Married","NotBuy"
"S413","Female","Single","Buy"
"S414","Female","Single","Buy"
"S415","Female","Married","Buy"
"S416","Male","Single","NotBuy"
"S417","Male","Married","NotBuy"
"S418","Male","Married","Buy"
"S419","Male","Married","Buy"
"S420","Female","Married","NotBuy"
"S421","Male","Single","NotBuy"
"S422","Male","Married","Buy"
"S423","Male","Married","Buy"
"S424","Male","Married","NotBuy"
"S425","Male","Single","NotBuy"
"S426","Male","Single","Buy"
"S427","Male","Married","Buy"
"S428","Female","Married","Buy"
"S429","Female","Married","Buy"
"S430","Female","Single","Buy"
"S431","Female","Married","NotBuy"
"S432","Male","Married","NotBuy"
"S433","Male","Single","NotBuy"
"S434","Male","Single","Buy"
"S435","Male","Single","Buy"
"S436","Female","Married","NotBuy"
"S437","Female","Married","Buy"
"S438","Male","Married","NotBuy"
"S439","Male","Married","NotBuy"
"S440","Female","Married","Buy"
"S441","Male","Married","NotBuy"
"S442","Male","Married","Buy"
"S443","Male","Single","NotBuy"
"S444","Male","Married","Buy"
"S445","Male","Married","Buy"
"S446","Male","Single","NotBuy"
"S447","Male","Married","NotBuy"
"S448","Female","Married","Buy"
"S449","Male","Married","Buy"
"S450","Male","Single","Buy"
"S451","Female","Single","NotBuy"
"S452","Male","Single","NotBuy"
"S453","Male","Married","Buy"
"S454","Male","Married","Buy"
"S455","Male","Married","NotBuy"
"S456","Male","Single","NotBuy"
"S457","Male","Married","Buy"
"S458","Female","Married","NotBuy"
"S459","Male","Single","NotBuy"
"S460","Male","Married","NotBuy"
"S461","Male","Married","NotBuy"
"S462","Male","Married","Buy"
"S463","Male","Married","Buy"
"S464","Male","Married","Buy"
"S465","Male","Married","Buy"
"S466","Female","Single","NotBuy"
"S467","Female","Married","Buy"
"S468","Male","Married","NotBuy"
"S469","Male","Single","Buy"
"S470","Male","Single","Buy"
"S471","Male","Married","Buy"
"S472","Female","Married","Buy"
"S473","Female","Single","Buy"
"S474","Male","Married","Buy"
"S475","Male","Single","NotBuy"
"S476","Male","Married","NotBuy"
"S477","Female","Married","Buy"
"S478","Male","Married","Buy"
"S479","Male","Married","Buy"
"S480","Male","Single","NotBuy"
"S481","Female","Married","Buy"
"S482","Male","Single","NotBuy"
"S483","Female","Married","NotBuy"
"S484","Female","Married","NotBuy"
"S485","Male","Single","NotBuy"
"S486","Male","Single","Buy"
"S487","Male","Married","NotBuy"
"S488","Male","Married","Buy"
"S489","Female","Single","NotBuy"
"S490","Male","Married","NotBuy"
"S491","Male","Single","Buy"
"S492","Female","Married","NotBuy"
"S493","Male","Married","Buy"
"S494","Male","Married","NotBuy"
"S495","Male","Married","NotBuy"
"S496","Male","Single","Buy"
"S497","Male","Single","Buy"
"S498","Male","Single","NotBuy"
"S499","Female","Single","Buy"
"S500","Male","Married","Buy"
"S501","Male","Married","NotBuy"
"S502","Male","Married","Buy"
"S503","Male","Single","Buy"
"S504","Male","Married","Buy"
"S505","Male","Married","Buy"
"S506","Female","Married","NotBuy"
"S507","Male","Married","Buy"
"S508","Female","Married","Buy"
"S509","Female","Married","NotBuy"
"S510","Male","Single","NotBuy"
"S511","Female","Married","NotBuy"
"S512","Male","Married","Buy"
"S513","Male","Married","Buy"
"S514","Female","Single","Buy"
"S515","Female","Married","Buy"
"S516","Male","Married","Buy"
"S517","Male","Married","NotBuy"
"S518","Male","Single","Buy"
"S519","Male","Married","Buy"
"S520","Male","Married","NotBuy"
"S521","Female","Married","NotBuy"
"S522","Female","Married","Buy"
"S523","Male","Single","Buy"
"S524","Male","Married","NotBuy"
"S525","Male","Married","Buy"
"S526","Female","Married","Buy"
"S527","Female","Single","Buy"
"S528","Female","Married","NotBuy"
"S529","Female","Married","Buy"
"S530","Female","Single","NotBuy"
"S531","Male","Married","Buy"
"S532","Male","Single","NotBuy"
"S533","Male","Married","NotBuy"
"S534","Male","Single","Buy"
"S535","Male","Married","NotBuy"
"S536","Male","Married","NotBuy"
"S537","Male","Married","NotBuy"
"S538","Male","Single","Buy"
"S539","Male","Single","Buy"
"S540","Male","Married","NotBuy"
"S541","Male","Married","Buy"
"S542","Female","Single","NotBuy"
"S543","Male","Single","Buy"
"S544","Male","Single","NotBuy"
"S545","Male","Single","Buy"
"S546","Male","Married","Buy"
"S547","Female","Married","Buy"
"S548","Male","Married","NotBuy"
"S549","Male","Married","Buy"
"S550","Female","Single","NotBuy"
"S551","Female","Married","NotBuy"
"S552","Male","Married","Buy"
"S553","Male","Married","Buy"
"S554","Female","Married","Buy"
"S555","Female","Single","NotBuy"
"S556","Male","Married","Buy"
"S557","Male","Married","Buy"
"S558","Male","Single","Buy"
"S559","Female","Single","Buy"
"S560","Female","Married","NotBuy"
"S561","Male","Married","NotBuy"
"S562","Male","Married","Buy"
"S563","Male","Married","NotBuy"
"S564","Female","Married","Buy"
"S565","Female","Married","NotBuy"
"S566","Male","Single","Buy"
"S567","Male","Single","Buy"
"S568","Male","Married","Buy"
"S569","Male","Single","NotBuy"
"S570","Female","Married","Buy"
"S571","Male","Single","NotBuy"
"S572","Male","Married","Buy"
"S573","Male","Married","NotBuy"
"S574","Male","Married","NotBuy"
"S575","Female","Married","Buy"
"S576","Male","Married","NotBuy"
"S577","Male","Married","NotBuy"
"S578","Male","Married","Buy"
"S579","Female","Married","Buy"
"S580","Female","Single","Buy"
"S581","Male","Single","Buy"
"S582","Female","Married","Buy"
"S583","Male","Married","NotBuy"
"S584","Male","Married","Buy"
"S585","Male","Married","Buy"
"S586","Male","Single","NotBuy"
"S587","Male","Married","Buy"
"S588","Male","Married","Buy"
"S589","Female","Married","NotBuy"
"S590","Female","Single","NotBuy"
"S591","Male","Married","Buy"
"S592","Male","Single","Buy"
"S593","Female","Married","NotBuy"
"S594","Male","Single","Buy"
"S595","Female","Married","Buy"
"S596","Male","Single","NotBuy"
"S597","Male","Married","Buy"
"S598","Male","Single","Buy"
"S599","Male","Married","Buy"
"S600","Male","Married","Buy"
"S601","Female","Married","Buy"
"S602","Female","Married","Buy"
"S603","Male","Married","Buy"
"S604","Female","Married","Buy"
"S605","Female","Married","NotBuy"
"S606","Female","Married","Buy"
"S607","Male","Married","Buy"
"S608","Male","Married","Buy"
"S609","Female","Single","NotBuy"
"S610","Male","Single","NotBuy"
"S611","Female","Single","NotBuy"
"S612","Male","Single","Buy"
"S613","Male","Married","Buy"
"S614","Male","Married","Buy"
"S615","Female","Married","NotBuy"
"S616","Male","Married","Buy"
"S617","Male","Married","NotBuy"
"S618","Male","Married","NotBuy"
"S619","Male","Married","Buy"
"S620","Male","Married","NotBuy"
"S621","Female","Married","NotBuy"
"S622","Male","Married","NotBuy"
"S623","Male","Married","Buy"
"S624","Male","Married","Buy"
"S625","Male","Single","Buy"
"S626","Male","Married","Buy"
"S627","Male","Married","Buy"
"S628","Male","Married","NotBuy"
"S629","Male","Single","Buy"
"S630","Female","Married","Buy"
"S631","Female","Married","NotBuy"
"S632","Male","Single","Buy"
"S633","Male","Single","NotBuy"
"S634","Female","Married","NotBuy"
"S635","Male","Married","Buy"
"S636","Male","Single","NotBuy"
"S637","Male","Married","Buy"
"S638","Male","Married","Buy"
"S639","Male","Single","Buy"
"S640","Male","Married","Buy"
"S641","Female","Married","Buy"
"S642","Male","Married","NotBuy"
"S643","Female","Single","NotBuy"
"S644","Male","Single","Buy"
"S645","Female","Married","NotBuy"
"S646","Male","Married","NotBuy"
"S647","Male","Married","NotBuy"
"S648","Female","Married","NotBuy"
"S649","Male","Single","NotBuy"
"S650","Female","Married","Buy"
"S651","Male","Married","NotBuy"
"S652","Female","Single","Buy"
"S653","Male","Single","NotBuy"
"S654","Male","Married","Buy"
"S655","Male","Married","NotBuy"
"S656","Male","Single","Buy"
"S657","Male","Single","NotBuy"
"S658","Male","Married","NotBuy"
"S659","Female","Single","Buy"
"S660","Female","Married","Buy"
"S661","Male","Married","NotBuy"
"S662","Female","Married","Buy"
"S663","Male","Married","Buy"
"S664","Male","Married","NotBuy"
"S665","Male","Single","Buy"
"S666","Male","Married","Buy"
"S667","Female","Married","NotBuy"
"S668","Male","Married","Buy"
"S669","Male","Married","NotBuy"
"S670","Male","Single","Buy"
"S671","Female","Single","Buy"
"S672","Male","Married","Buy"
"S673","Female","Single","NotBuy"
"S674","Male","Married","Buy"
"S675","Male","Married","Buy"
"S676","Male","Single","NotBuy"
"S677","Male","Married","NotBuy"
"S678","Male","Married","NotBuy"
"S679","Male","Single","NotBuy"
"S680","Male","Married","Buy"
"S681","Female","Single","Buy"
"S682","Female","Married","Buy"
"S683","Male","Married","NotBuy"
"S684","Male","Single","Buy"
"S685","Male","Married","Buy"
"S686","Male","Married","Buy"
"S687","Male","Married","Buy"
"S688","Male","Married","Buy"
"S689","Male","Married","NotBuy"
"S690","Female","Married","NotBuy"
"S691","Male","Married","Buy"
"S692","Male","Married","Buy"
"S693","Female","Married","Buy"
"S694","Male","Married","Buy"
"S695","Male","Single","NotBuy"
"S696","Male","Married","Buy"
"S697","Female","Married","NotBuy"
"S698","Male","Married","NotBuy"
"S699","Female","Single","NotBuy"
"S700","Male","Married","Buy"
"S701","Female","Married","NotBuy"
"S702","Female","Single","NotBuy"
"S703","Female","Married","NotBuy"
"S704","Male","Single","Buy"
"S705","Male","Married","Buy"
"S706","Male","Single","Buy"
"S707","Male","Married","NotBuy"
"S708","Male","Married","Buy"
"S709","Female","Single","NotBuy"
"S710","Female","Married","Buy"
"S711","Female","Married","NotBuy"
"S712","Male","Married","Buy"
"S713","Male","Married","Buy"
"S714","Female","Married","Buy"
"S715","Male","Married","NotBuy"
"S716","Male","Married","Buy"
"S717","Male","Married","NotBuy"
"S718","Male","Single","Buy"
"S719","Male","Married","Buy"
"S720","Female","Married","Buy"
"S721","Male","Single","NotBuy"
"S722","Male","Single","NotBuy"
"S723","Female","Single","NotBuy"
"S724","Female","Married","Buy"
"S725","Male","Married","Buy"
"S726","Female","Married","NotBuy"
"S727","Male","Married","Buy"
"S728","Male","Married","NotBuy"
"S729","Male","Married","Buy"
"S730","Male","Married","Buy"
"S731","Female","Single","Buy"
"S732","Male","Married","NotBuy"
"S733","Female","Married","Buy"
"S734","Male","Single","NotBuy"
"S735","Female","Married","NotBuy"
"S736","Male","Single","Buy"
"S737","Male","Single","Buy"
"S738","Female","Married","Buy"
"S739","Male","Married","Buy"
"S740","Male","Married","Buy"
"S741","Male","Married","Buy"
"S742","Male","Married","Buy"
"S743","Male","Single","NotBuy"
"S744","Male","Single","NotBuy"
"S745","Male","Married","Buy"
"S746","Male","Married","Buy"
"S747","Male","Married","NotBuy"
"S748","Female","Married","NotBuy"
"S749","Male","Married","Buy"
"S750","Male","Single","Buy"
"S751","Male","Married","Buy"
"S752","Female","Married","Buy"
"S753","Male","Married","Buy"
"S754","Male","Single","NotBuy"
"S755","Male","Single","NotBuy"
"S756","Male","Married","Buy"
"S757","Male","Married","Buy"
"S758","Male","Married","Buy"
"S759","Female","Married","NotBuy"
"S760","Male","Married","NotBuy"
"S761","Female","Married","Buy"
"S762","Male","Single","Buy"
"S763","Female","Married","Buy"
"S764","Male","Married","NotBuy"
"S765","Male","Married","Buy"
"S766","Male","Married","NotBuy"
"S767","Male","Married","Buy"
"S768","Female","Single","Buy"
"S769","Female","Married","NotBuy"
"S770","Female","Single","Buy"
"S771","Male","Single","Buy"
"S772","Female","Married","Buy"
"S773","Male","Single","Buy"
"S774","Female","Married","Buy"
"S775","Male","Single","Buy"
"S776","Male","Married","Buy"
"S777","Male","Married","NotBuy"
"S778","Female","Married","NotBuy"
"S779","Male","Married","NotBuy"
"S780","Female","Married","Buy"
"S781","Female","Married","Buy"
"S782","Female","Single","Buy"
"S783","Female","Married","NotBuy"
"S784","Male","Married","NotBuy"
"S785","Female","Married","NotBuy"
"S786","Male","Married","Buy"
"S787","Male","Single","NotBuy"
"S788","Male","Married","Buy"
"S789","Male","Married","Buy"
"S790","Male","Married","Buy"
"S791","Male","Married","NotBuy"
"S792","Male","Single","NotBuy"
"S793","Female","Married","Buy"
"S794","Male","Married","Buy"
"S795","Male","Single","NotBuy"
"S796","Male","Single","Buy"
"S797","Male","Married","Buy"
"S798","Male","Single","NotBuy"
"S799","Female","Married","NotBuy"
"S800","Male","Married","NotBuy"
"S801","Female","Single","Buy"
"S802","Male","Married","Buy"
"S803","Female","Single","Buy"
"S804","Female","Married","Buy"
"S805","Male","Single","Buy"
"S806","Male","Single","NotBuy"
"S807","Male","Married","Buy"
"S808","Female","Married","Buy"
"S809","Male","Married","NotBuy"
"S810","Male","Single","Buy"
"S811","Male","Single","Buy"
"S812","Male","Single","Buy"
"S813","Male","Single","Buy"
"S814","Female","Married","NotBuy"
"S815","Male","Married","Buy"
"S816","Male","Single","Buy"
"S817","Female","Married","NotBuy"
"S818","Female","Married","Buy"
"S819","Male","Single","Buy"
"S820","Female","Married","NotBuy"
"S821","Male","Married","Buy"
"S822","Male","Married","Buy"
"S823","Female","Married","Buy"
"S824","Female","Married","Buy"
"S825","Female","Married","Buy"
"S826","Male","Married","Buy"
"S827","Male","Single","Buy"
"S828","Male","Single","Buy"
"S829","Male","Married","Buy"
"S830","Female","Married","NotBuy"
"S831","Male","Single","Buy"
"S832","Female","Married","Buy"
"S833","Female","Married","NotBuy"
"S834","Female","Married","Buy"
"S835","Male","Single","Buy"
"S836","Male","Married","Buy"
"S837","Male","Married","NotBuy"
"S838","Female","Single","NotBuy"
"S839","Female","Married","NotBuy"
"S840","Male","Married","NotBuy"
"S841","Female","Married","NotBuy"
"S842","Male","Married","Buy"
"S843","Male","Married","Buy"
"S844","Male","Single","Buy"
"S845","Male","Single","NotBuy"
"S846","Male","Married","NotBuy"
"S847","Male","Married","NotBuy"
"S848","Male","Single","Buy"
"S849","Female","Single","NotBuy"
"S850","Male","Married","Buy"
"S851","Female","Married","NotBuy"
"S852","Female","Single","Buy"
"S853","Male","Married","NotBuy"
"S854","Female","Married","Buy"
"S855","Male","Married","NotBuy"
"S856","Male","Single","Buy"
"S857","Male","Married","Buy"
"S858","Female","Single","NotBuy"
"S859","Male","Married","NotBuy"
"S860","Male","Married","Buy"
"S861","Male","Married","Buy"
"S862","Male","Married","Buy"
"S863","Male","Single","Buy"
"S864","Male","Married","NotBuy"
"S865","Male","Married","Buy"
"S866","Male","Married","NotBuy"
"S867","Male","Married","NotBuy"
"S868","Male","Married","NotBuy"
"S869","Female","Married","Buy"
"S870","Male","Single","Buy"
"S871","Male","Married","Buy"
"S872","Female","Married","Buy"
"S873","Female","Married","Buy"
"S874","Male","Single","NotBuy"
"S875","Male","Married","Buy"
"S876","Male","Single","NotBuy"
"S877","Male","Married","Buy"
"S878","Male","Single","Buy"
"S879","Female","Married","Buy"
"S880","Female","Married","Buy"
"S881","Male","Single","Buy"
"S882","Female","Single","Buy"
"S883","Female","Single","Buy"
"S884","Female","Married","Buy"
