"","Cust_id","Age","Annual_Income_Lacs","Twitter User","Number of Vehicles","Gender","Married","Daily hours of work","Affluent_Lifestyle","No of Dependents","Urban_residence","Social","Outstation_Travel_last_year"
"46",6450,15,12.7,1,1,0,1,12,1,2,1,1,8
"47",691,15,12.9,1,4,0,1,11,0,5,1,1,3
"48",4838,15,12.9,1,5,0,1,12,0,3,1,1,4
"49",3850,15,13.4,1,3,0,1,14,0,2,1,1,1
"50",4818,15,14,1,4,0,1,14,0,6,1,1,9
"51",1272,15,14.5,1,4,0,1,12,0,3,1,1,2
"52",6530,15,14.6,1,3,0,1,9,1,6,1,1,10
"53",4512,15,15.1,1,3,0,1,13,0,6,1,1,4
"54",3595,15,15.1,1,2,0,1,11,0,1,1,1,0
"55",5026,15,15.9,1,1,0,1,10,0,3,1,1,7
"56",4539,15,16.1,1,1,0,1,13,0,5,1,1,3
"57",7422,15,16.2,1,4,0,1,10,1,8,1,1,10
"58",6960,15,16.4,1,1,0,1,9,1,1,1,1,9
"59",1677,15,16.7,1,1,0,1,13,0,2,1,1,0
"60",1411,15,16.8,1,1,0,1,12,0,1,1,1,4
"61",10816,15,16.8,1,3,0,1,14,1,6,1,1,8
"62",3090,15,16.9,1,5,0,1,10,0,8,1,1,6
"63",642,15,17.5,1,3,0,1,10,0,2,1,1,10
"64",8174,15,17.7,1,5,0,1,9,1,2,1,1,0
"65",9297,15,18,1,2,0,1,12,1,7,1,1,1
"66",3548,15,18.3,1,5,0,1,15,0,1,1,1,3
"67",5848,15,19,1,3,0,1,13,1,4,1,1,1
"68",3370,15,19.1,1,2,0,1,12,0,1,1,1,7
"69",7932,15,19.4,1,1,0,1,11,1,3,1,1,8
"70",9477,15,19.6,1,5,0,1,10,1,2,1,1,0
"71",2332,15,20,1,5,0,1,13,0,7,1,1,2
"72",10404,15,21.1,1,3,0,1,13,1,1,1,1,7
"73",7979,15,21.3,1,5,0,1,9,1,2,1,1,3
"74",10624,15,21.5,1,4,0,1,9,1,7,1,1,7
"75",3254,15,22,1,3,0,1,14,0,6,1,1,1
"76",4632,15,22.1,1,5,0,1,12,0,2,1,1,1
"77",8384,15,22.5,1,3,0,1,12,1,4,1,1,9
"78",1340,15,22.9,1,3,0,1,13,0,7,1,1,3
"79",2684,15,23.4,1,1,0,1,12,0,1,1,1,0
"80",3111,15,23.6,1,3,0,1,15,0,3,1,1,0
"81",4425,15,23.8,1,2,0,1,14,0,6,1,1,2
"82",3044,15,24.1,1,3,0,1,10,0,5,1,1,2
"83",634,15,24.1,1,4,0,1,9,0,6,1,1,2
"84",10275,15,24.2,1,4,0,1,13,1,3,1,1,2
"85",1067,15,24.4,1,5,0,1,15,0,7,1,1,1
"86",7983,15,24.4,1,3,0,1,10,1,1,1,1,4
"87",4337,15,24.6,1,1,0,1,12,0,4,1,1,1
"88",3977,15,25.3,1,1,0,1,12,0,8,1,1,4
"89",10846,15,26.4,1,4,0,1,13,1,1,1,1,8
"90",4335,15,26.5,1,2,0,1,10,0,8,1,1,3
"91",3832,15,26.7,1,3,0,1,13,0,3,1,1,8
"92",10798,15,26.9,1,5,0,1,13,1,5,1,1,9
"93",3741,15,27.1,1,3,0,1,12,0,1,1,1,2
"94",7886,15,27.1,1,5,0,1,9,1,2,1,1,8
"95",10857,15,27.6,1,2,0,1,12,1,4,1,1,1
"96",7995,15,27.6,1,1,0,1,12,1,1,1,1,3
"97",1936,15,28.8,1,2,0,1,9,0,4,1,1,7
"98",2786,15,28.8,1,5,0,1,9,0,8,1,1,0
"99",8650,15,29.1,1,1,0,1,10,1,2,1,1,5
"100",10263,15,29.2,1,3,0,1,12,1,5,1,1,4
"101",2813,15,29.2,1,5,0,1,12,0,4,1,1,4
"102",7380,15,29.4,1,5,0,1,12,1,6,1,1,6
"103",1202,15,29.5,1,4,0,1,15,0,1,1,1,2
"104",10544,15,29.6,1,5,0,1,11,1,3,1,1,5
"105",3778,15,29.7,1,5,0,1,12,0,3,1,1,3
"106",9618,15,29.8,1,3,0,1,14,1,4,1,1,9
"107",1828,15,29.9,1,2,0,1,9,0,1,1,1,5
"108",8906,15,29.9,1,5,0,1,13,1,5,1,1,7
"109",3779,16,0.2,1,1,0,1,12,0,3,1,1,0
"110",278,16,0.6,1,1,0,1,13,0,3,1,1,4
"111",3959,16,0.8,1,1,0,1,12,0,8,1,1,3
"112",2930,16,0.8,1,5,0,1,12,0,5,1,1,1
"113",7715,16,0.8,1,5,0,1,14,1,3,1,1,0
"114",3252,16,1,1,4,0,1,15,0,4,1,1,3
"115",5869,16,1.2,1,2,0,1,9,1,4,1,1,1
"116",4666,16,1.6,1,3,0,1,12,0,4,1,1,3
"117",7625,16,1.7,1,3,0,1,15,1,3,1,1,4
"118",1094,16,1.8,1,5,0,1,15,0,6,1,1,1
"119",1502,16,1.9,1,4,0,1,10,0,1,1,1,6
"120",2398,16,1.9,1,5,0,1,10,0,1,1,1,4
"121",8129,16,2.1,1,2,0,1,9,1,4,1,1,3
"122",8972,16,2.2,1,2,0,1,15,1,2,1,1,9
"123",4776,16,2.3,1,5,0,1,11,0,3,1,1,0
"124",6652,16,2.3,1,4,0,1,13,1,8,1,1,2
"125",10744,16,2.3,1,3,0,1,12,1,7,1,1,8
"126",7234,16,2.4,1,4,0,1,12,1,8,1,1,5
"127",9596,16,2.7,1,1,0,1,14,1,2,1,1,6
"128",1756,16,2.8,1,5,0,1,12,0,8,1,1,1
"129",9960,16,2.8,1,4,0,1,12,1,8,1,1,1
"130",2310,16,3.1,1,3,0,1,9,0,7,1,1,2
"131",8782,16,3.3,1,4,0,1,12,1,6,1,1,7
"132",10022,16,3.8,1,1,0,1,15,1,1,1,1,6
"133",2564,16,4.2,1,3,0,1,9,0,5,1,1,6
"134",5834,16,4.3,1,5,0,1,10,1,8,1,1,2
"135",8488,16,4.7,1,2,0,1,10,1,5,1,1,10
"136",8813,16,5.4,1,1,0,1,9,1,4,1,1,3
"137",4394,16,6,1,2,0,1,13,0,5,1,1,5
"138",1966,16,6.3,1,5,0,1,15,0,2,1,1,0
"139",7026,16,6.6,1,3,0,1,10,1,4,1,1,10
"140",4362,16,6.7,1,1,0,1,12,0,5,1,1,4
"141",8297,16,6.9,1,4,0,1,14,1,2,1,1,0
"142",2521,16,7.1,1,2,0,1,10,0,5,1,1,3
"143",9002,16,7.3,1,1,0,1,10,1,4,1,1,9
"144",10485,16,7.4,1,1,0,1,15,1,3,1,1,1
"145",9948,16,7.4,1,1,0,1,12,1,3,1,1,2
"146",4992,16,7.5,1,5,0,1,12,0,6,1,1,1
"147",6664,16,7.8,1,3,0,1,15,1,2,1,1,10
"148",392,16,7.9,1,4,0,1,12,0,5,1,1,7
"149",5920,16,8.1,1,5,0,1,12,1,1,1,1,10
"150",10442,16,8.3,1,2,0,1,15,1,3,1,1,2
"151",8246,16,8.4,1,3,0,1,12,1,3,1,1,0
"152",7037,16,8.8,1,5,0,1,9,1,8,1,1,2
"153",838,16,9.3,1,4,0,1,13,0,3,1,1,4
"154",8803,16,9.8,1,5,0,1,15,1,8,1,1,4
"155",4654,16,10,1,3,0,1,13,0,7,1,1,4
"156",5123,16,10.3,1,1,0,1,12,0,1,1,1,3
"157",4885,16,10.4,1,1,0,1,11,0,7,1,1,1
"158",3736,16,10.7,1,1,0,1,14,0,2,1,1,1
"159",10118,16,11.4,1,3,0,1,13,1,7,1,1,1
"160",8254,16,11.8,1,4,0,1,12,1,2,1,1,3
"161",5790,16,11.9,1,5,0,1,11,1,8,1,1,8
"162",2356,16,12.1,1,5,0,1,12,0,5,1,1,5
"163",1450,16,12.2,1,2,0,1,14,0,7,1,1,8
"164",8216,16,12.2,1,5,0,1,10,1,5,1,1,5
"165",1241,16,12.7,1,4,0,1,11,0,6,1,1,2
"166",6774,16,13.2,1,2,0,1,13,1,4,1,1,9
"167",5964,16,13.6,1,5,0,1,12,1,8,1,1,2
"168",8068,16,13.6,1,2,0,1,15,1,4,1,1,5
"169",3360,16,14,1,2,0,1,10,0,1,1,1,5
"170",4379,16,14,1,3,0,1,12,0,5,1,1,1
"171",6964,16,15.2,1,2,0,1,10,1,6,1,1,0
"172",8048,16,15.3,1,5,0,1,13,1,5,1,1,6
"173",10326,16,15.7,1,2,0,1,12,1,6,1,1,1
"174",3846,16,16,1,3,0,1,15,0,2,1,1,2
"175",8808,16,16.3,1,5,0,1,12,1,4,1,1,5
"176",8102,16,16.5,1,3,0,1,14,1,6,1,1,8
"177",2134,16,17,1,1,0,1,13,0,7,1,1,3
"178",4963,16,17.2,1,2,0,1,12,0,2,1,1,0
"179",2196,16,18.2,1,5,0,1,12,0,4,1,1,7
"180",9381,16,18.2,1,4,0,1,10,1,3,1,1,0
"181",6577,16,18.9,1,1,0,1,14,1,5,1,1,4
"182",4916,16,19,1,3,0,1,12,0,6,1,1,8
"183",9092,16,19.2,1,3,0,1,15,1,8,1,1,9
"184",5078,16,19.4,1,2,0,1,14,0,3,1,1,1
"185",8829,16,19.5,1,3,0,1,14,1,6,1,1,3
"186",3812,16,19.7,1,5,0,1,12,0,1,1,1,0
"187",2756,16,19.8,1,4,0,1,10,0,1,1,1,2
"188",5068,16,19.8,1,5,0,1,13,0,1,1,1,1
"189",6483,16,20.1,1,5,0,1,15,1,4,1,1,4
"190",2576,16,20.3,1,4,0,1,11,0,2,1,1,2
"191",1925,16,20.5,1,5,0,1,12,0,3,1,1,2
"192",1020,16,20.7,1,5,0,1,11,0,8,1,1,3
"193",7535,16,21.1,1,1,0,1,10,1,7,1,1,2
"194",2699,16,21.6,1,3,0,1,12,0,3,1,1,1
"195",8428,16,21.6,1,3,0,1,11,1,1,1,1,9
"196",10730,16,21.7,1,5,0,1,15,1,8,1,1,2
"197",9076,16,22.3,1,1,0,1,11,1,6,1,1,7
"198",6331,16,22.5,1,5,0,1,11,1,8,1,1,2
"199",5161,16,22.9,1,3,0,1,14,0,4,1,1,4
"200",7758,16,23.1,1,3,0,1,9,1,8,1,1,9
"201",1657,16,23.3,1,4,0,1,14,0,6,1,1,1
"202",8713,16,24.1,1,5,0,1,15,1,4,1,1,4
"203",2728,16,24.1,1,2,0,1,12,0,4,1,1,7
"204",3877,16,24.5,1,3,0,1,9,0,4,1,1,3
"205",394,16,24.5,1,3,0,1,9,0,2,1,1,0
"206",1484,16,24.7,1,2,0,1,14,0,7,1,1,3
"207",5917,16,24.9,1,1,0,1,10,1,8,1,1,2
"208",993,16,25.2,1,2,0,1,12,0,7,1,1,2
"209",7174,16,25.2,1,3,0,1,9,1,1,1,1,0
"210",3057,16,25.2,1,2,0,1,9,0,2,1,1,2
"211",2696,16,25.2,1,3,0,1,12,0,7,1,1,2
"212",7188,16,25.4,1,5,0,1,15,1,3,1,1,4
"213",3923,16,25.5,1,4,0,1,14,0,7,1,1,2
"214",452,16,25.6,1,4,0,1,14,0,7,1,1,9
"215",6394,16,26,1,2,0,1,13,1,5,1,1,7
"216",8049,16,26.1,1,1,0,1,13,1,2,1,1,4
"217",3428,16,26.2,1,1,0,1,12,0,7,1,1,10
"218",828,16,26.2,1,3,0,1,13,0,7,1,1,1
"219",4353,16,26.3,1,1,0,1,10,0,2,1,1,4
"220",5168,16,26.7,1,3,0,1,10,0,4,1,1,1
"221",972,16,26.9,1,2,0,1,15,0,8,1,1,8
"222",3120,16,27.4,1,4,0,1,9,0,8,1,1,4
"223",8470,16,27.4,1,1,0,1,13,1,6,1,1,4
"224",3522,16,27.5,1,3,0,1,12,0,1,1,1,8
"225",7789,16,27.7,1,2,0,1,15,1,5,1,1,4
"226",3584,16,27.8,1,3,0,1,9,0,6,1,1,9
"227",2000,16,27.9,1,1,0,1,13,0,3,1,1,1
"228",3065,16,28.1,1,5,0,1,12,0,2,1,1,4
"229",2898,16,28.5,1,4,0,1,15,0,7,1,1,3
"230",3602,16,28.6,1,3,0,1,12,0,5,1,1,8
"231",3996,16,29,1,1,0,1,13,0,6,1,1,8
"232",7572,16,29.3,1,5,0,1,12,1,1,1,1,6
"233",3413,17,0.3,1,2,0,1,10,0,2,1,1,2
"234",6359,17,0.4,1,2,0,1,11,1,1,1,1,0
"235",7160,17,0.8,1,3,0,1,12,1,1,1,1,8
"236",7388,17,1.3,1,5,0,1,12,1,2,1,1,9
"237",4810,17,1.5,1,2,0,1,9,0,5,1,1,8
"238",7619,17,2.9,1,1,0,1,9,1,2,1,1,4
"239",8550,17,3.1,1,3,0,1,9,1,6,1,1,10
"240",9848,17,3.1,1,1,0,1,13,1,2,1,1,3
"241",10558,17,3.4,1,2,0,1,13,1,2,1,1,4
"242",3461,17,3.9,1,2,0,1,11,0,5,1,1,0
"243",7309,17,4,1,4,0,1,9,1,4,1,1,3
"244",10836,17,4.1,1,4,0,1,12,1,3,1,1,1
"245",4938,17,4.3,1,2,0,1,10,0,5,1,1,5
"246",4791,17,5.1,1,2,0,1,11,0,4,1,1,2
"247",4442,17,5.3,1,5,0,1,12,0,7,1,1,8
"248",737,17,5.3,1,1,0,1,15,0,6,1,1,1
"249",9900,17,6,1,3,0,1,11,1,7,1,1,3
"250",4168,17,6.3,1,2,0,1,12,0,4,1,1,1
"251",5908,17,7.1,1,3,0,1,12,1,1,1,1,1
"252",9862,17,7.2,1,2,0,1,10,1,7,1,1,4
"253",3394,17,7.9,1,2,0,1,11,0,5,1,1,4
"254",2581,17,8,1,5,0,1,13,0,5,1,1,3
"255",1220,17,8,1,2,0,1,11,0,6,1,1,2
"256",4464,17,8,1,4,0,1,15,0,4,1,1,8
"257",1022,17,8.8,1,2,0,1,13,0,6,1,1,4
"258",4166,17,9.4,1,2,0,1,10,0,7,1,1,2
"259",8564,17,9.4,1,1,0,1,12,1,5,1,1,7
"260",3754,17,9.7,1,1,0,1,14,0,2,1,1,5
"261",9295,17,9.8,1,2,0,1,12,1,3,1,1,2
"262",2673,17,10.1,1,1,0,1,12,0,7,1,1,3
"263",3814,17,10.2,1,1,0,1,13,0,2,1,1,6
"264",9190,17,10.2,1,1,0,1,12,1,7,1,1,9
"265",4952,17,10.4,1,2,0,1,10,0,7,1,1,5
"266",6669,17,10.6,1,5,0,1,12,1,7,1,1,1
"267",3300,17,10.6,1,1,0,1,10,0,1,1,1,7
"268",8518,17,10.9,1,4,0,1,12,1,8,1,1,1
"269",5878,17,10.9,1,3,0,1,11,1,6,1,1,7
"270",5006,17,11.5,1,5,0,1,14,0,8,1,1,1
"271",3082,17,11.8,1,3,0,1,12,0,8,1,1,0
"272",4188,17,12.3,1,1,0,1,12,0,8,1,1,9
"273",1324,17,12.5,1,1,0,1,12,0,1,1,1,7
"274",3242,17,12.6,1,5,0,1,14,0,3,1,1,9
"275",5736,17,12.8,1,4,0,1,14,1,4,1,1,9
"276",2905,17,12.8,1,2,0,1,14,0,5,1,1,3
"277",103,17,12.9,1,1,0,1,11,0,2,1,1,0
"278",2296,17,14.2,1,1,0,1,13,0,2,1,1,1
"279",4470,17,15.3,1,5,0,1,10,0,6,1,1,2
"280",536,17,15.9,1,3,0,1,9,0,7,1,1,9
"281",8790,17,16.1,1,5,0,1,9,1,2,1,1,5
"282",10637,17,16.1,1,5,0,1,10,1,3,1,1,4
"283",10055,17,16.2,1,2,0,1,9,1,1,1,1,1
"284",2698,17,17,1,2,0,1,14,0,7,1,1,3
"285",1119,17,17.3,1,2,0,1,14,0,7,1,1,2
"286",4752,17,17.4,1,5,0,1,14,0,4,1,1,6
"287",9018,17,17.5,1,3,0,1,12,1,2,1,1,8
"288",10178,17,18.1,1,4,0,1,11,1,5,1,1,5
"289",128,17,18.4,1,1,0,1,11,0,7,1,1,10
"290",4767,17,19,1,5,0,1,11,0,6,1,1,4
"291",8036,17,19.4,1,1,0,1,15,1,1,1,1,0
"292",10338,17,19.4,1,4,0,1,12,1,4,1,1,8
"293",10074,17,19.6,1,5,0,1,10,1,5,1,1,2
"294",6738,17,19.8,1,5,0,1,9,1,1,1,1,10
"295",4367,17,20.5,1,3,0,1,13,0,2,1,1,4
"296",6160,17,20.5,1,3,0,1,13,1,7,1,1,7
"297",6258,17,21.8,1,4,0,1,12,1,2,1,1,3
"298",5130,17,22.1,1,5,0,1,9,0,7,1,1,0
"299",2420,17,22.5,1,1,0,1,9,0,7,1,1,5
"300",8358,17,22.7,1,3,0,1,11,1,1,1,1,1
"301",5108,17,23,1,5,0,1,12,0,2,1,1,10
"302",108,17,23.1,1,2,0,1,11,0,1,1,1,1
"303",2231,17,23.1,1,1,0,1,11,0,3,1,1,2
"304",6491,17,23.3,1,2,0,1,14,1,6,1,1,0
"305",3219,17,24.4,1,5,0,1,12,0,2,1,1,0
"306",650,17,24.5,1,4,0,1,12,0,1,1,1,6
"307",9237,17,24.9,1,5,0,1,14,1,3,1,1,4
"308",9612,17,25.1,1,2,0,1,11,1,7,1,1,7
"309",4295,17,25.4,1,1,0,1,14,0,3,1,1,4
"310",5231,17,25.5,1,3,0,1,9,0,6,1,1,3
"311",2111,17,26.2,1,4,0,1,9,0,7,1,1,4
"312",5571,17,26.5,1,5,0,1,9,1,6,1,1,4
"313",10443,17,27.3,1,1,0,1,10,1,5,1,1,0
"314",4035,17,27.4,1,1,0,1,13,0,5,1,1,3
"315",900,17,27.6,1,2,0,1,14,0,2,1,1,0
"316",1368,17,27.7,1,5,0,1,9,0,4,1,1,8
"317",3104,17,27.7,1,4,0,1,9,0,4,1,1,4
"318",5538,17,27.8,1,3,0,1,11,1,3,1,1,10
"319",6043,17,28.3,1,5,0,1,9,1,8,1,1,1
"320",2523,17,28.3,1,4,0,1,13,0,7,1,1,4
"321",3358,17,28.4,1,4,0,1,9,0,1,1,1,7
"322",8574,17,28.4,1,5,0,1,9,1,2,1,1,4
"323",6634,17,28.7,1,2,0,1,9,1,4,1,1,0
"324",2580,17,29.1,1,1,0,1,10,0,7,1,1,0
"325",1399,17,29.2,1,2,0,1,9,0,5,1,1,1
"326",7344,17,29.4,1,5,0,1,12,1,5,1,1,3
"327",7468,17,29.7,1,4,0,1,11,1,8,1,1,1
"328",2634,18,0.2,1,1,0,1,12,0,7,1,1,6
"329",3549,18,1.1,1,2,0,1,15,0,2,1,1,0
"330",124,18,1.2,1,5,0,1,15,0,6,1,1,8
"331",5866,18,1.3,1,3,0,1,14,1,7,1,1,8
"332",8708,18,1.4,1,3,0,1,11,1,3,1,1,8
"333",9247,18,1.7,1,3,0,1,13,1,7,1,1,4
"334",7741,18,1.9,1,2,0,1,15,1,2,1,1,0
"335",9207,18,2.5,1,1,0,1,12,1,2,1,1,1
"336",6977,18,2.6,1,4,0,1,15,1,8,1,1,1
"337",9084,18,3.2,1,3,0,1,12,1,5,1,1,0
"338",10513,18,3.4,1,2,0,1,14,1,8,1,1,2
"339",7452,18,3.5,1,4,0,1,10,1,7,1,1,4
"340",8037,18,3.9,1,2,0,1,9,1,3,1,1,3
"341",3894,18,3.9,1,1,0,1,13,0,3,1,1,0
"342",1976,18,4,1,4,0,1,12,0,6,1,1,4
"343",3144,18,4.3,1,1,0,1,14,0,6,1,1,6
"344",9887,18,4.6,1,4,0,1,9,1,4,1,1,4
"345",1335,18,4.7,1,4,0,1,13,0,7,1,1,1
"346",10494,18,4.8,1,3,0,1,11,1,5,1,1,0
"347",8099,18,4.9,1,1,0,1,10,1,3,1,1,1
"348",6171,18,5,1,5,0,1,13,1,8,1,1,2
"349",2808,18,5,1,5,0,1,12,0,6,1,1,2
"350",3604,18,5.1,1,4,0,1,9,0,8,1,1,2
"351",5671,18,5.2,1,5,0,1,12,1,5,1,1,0
"352",8346,18,5.7,1,2,0,1,10,1,6,1,1,5
"353",6913,18,6.2,1,3,0,1,12,1,1,1,1,2
"354",8085,18,6.2,1,1,0,1,9,1,4,1,1,0
"355",1236,18,6.3,1,1,0,1,9,0,7,1,1,0
"356",4730,18,6.4,1,3,0,1,14,0,6,1,1,2
"357",8964,18,6.6,1,4,0,1,10,1,7,1,1,9
"358",1919,18,6.9,1,3,0,1,13,0,4,1,1,4
"359",7838,18,7.3,1,2,0,1,12,1,6,1,1,1
"360",8878,18,8,1,4,0,1,9,1,7,1,1,8
"361",1590,18,8.1,1,4,0,1,12,0,8,1,1,10
"362",5348,18,8.4,1,3,0,1,14,0,6,1,1,2
"363",9233,18,8.8,1,3,0,1,12,1,3,1,1,2
"364",4490,18,9.7,1,2,0,1,10,0,2,1,1,10
"365",7454,18,10,1,1,0,1,10,1,1,1,1,3
"366",7763,18,10.2,1,1,0,1,12,1,1,1,1,2
"367",5140,18,10.3,1,4,0,1,15,0,6,1,1,0
"368",10477,18,10.5,1,3,0,1,14,1,1,1,1,1
"369",5686,18,11.2,1,4,0,1,12,1,6,1,1,8
"370",7946,18,11.2,1,2,0,1,13,1,5,1,1,3
"371",486,18,11.6,1,5,0,1,12,0,5,1,1,1
"372",7639,18,11.8,1,3,0,1,11,1,5,1,1,1
"373",2461,18,12,1,2,0,1,12,0,4,1,1,3
"374",646,18,12,1,5,0,1,15,0,1,1,1,2
"375",5216,18,12.2,1,4,0,1,14,0,7,1,1,8
"376",5874,18,12.4,1,1,0,1,11,1,8,1,1,0
"377",976,18,12.5,1,3,0,1,10,0,6,1,1,2
"378",8705,18,12.7,1,2,0,1,11,1,7,1,1,3
"379",6787,18,12.8,1,1,0,1,9,1,7,1,1,0
"380",10662,18,12.9,1,3,0,1,11,1,7,1,1,9
"381",9726,18,13.2,1,5,0,1,15,1,7,1,1,0
"382",527,18,13.3,1,5,0,1,10,0,4,1,1,1
"383",8976,18,13.6,1,5,0,1,11,1,3,1,1,1
"384",872,18,14,1,5,0,1,15,0,8,1,1,2
"385",6970,18,14.1,1,2,0,1,14,1,6,1,1,2
"386",2214,18,14.3,1,3,0,1,11,0,8,1,1,6
"387",2248,18,14.6,1,2,0,1,9,0,6,1,1,2
"388",8637,18,14.7,1,5,0,1,9,1,4,1,1,3
"389",4034,18,15.1,1,1,0,1,15,0,6,1,1,0
"390",6765,18,15.5,1,5,0,1,12,1,6,1,1,4
"391",864,18,16,1,5,0,1,12,0,3,1,1,8
"392",2110,18,16.4,1,3,0,1,13,0,3,1,1,1
"393",9073,18,16.5,1,3,0,1,15,1,3,1,1,2
"394",8656,18,16.6,1,3,0,1,15,1,2,1,1,8
"395",8486,18,17,1,2,0,1,15,1,4,1,1,8
"396",10859,18,17.4,1,5,0,1,11,1,1,1,1,2
"397",2304,18,17.7,1,4,0,1,10,0,7,1,1,8
"398",3490,18,17.9,1,1,0,1,14,0,5,1,1,4
"399",10703,18,18.1,1,5,0,1,10,1,5,1,1,2
"400",10452,18,18.2,1,3,0,1,12,1,7,1,1,4
"401",4494,18,18.3,1,3,0,1,9,0,2,1,1,6
"402",118,18,18.7,1,4,0,1,9,0,8,1,1,6
"403",977,18,19.5,1,2,0,1,11,0,2,1,1,1
"404",8882,18,19.5,1,4,0,1,9,1,5,1,1,7
"405",2940,18,19.6,1,2,0,1,9,0,6,1,1,0
"406",5624,18,19.6,1,4,0,1,13,1,7,1,1,3
"407",3492,18,19.7,1,1,0,1,15,0,1,1,1,6
"408",8280,18,19.7,1,2,0,1,13,1,3,1,1,9
"409",10194,18,20.3,1,5,0,1,12,1,8,1,1,7
"410",3938,18,20.7,1,2,0,1,12,0,8,1,1,7
"411",4332,18,21,1,4,0,1,12,0,1,1,1,6
"412",8580,18,21.1,1,4,0,1,15,1,2,1,1,2
"413",5673,18,21.4,1,5,0,1,14,1,5,1,1,1
"414",9797,18,22.1,1,1,0,1,15,1,2,1,1,3
"415",9331,18,22.3,1,4,0,1,15,1,6,1,1,0
"416",5574,18,22.9,1,4,0,1,13,1,5,1,1,5
"417",2084,18,23.1,1,5,0,1,11,0,1,1,1,10
"418",436,18,23.4,1,2,0,1,12,0,2,1,1,8
"419",1133,18,23.6,1,2,0,1,14,0,4,1,1,3
"420",1371,18,23.6,1,2,0,1,12,0,4,1,1,0
"421",2732,18,23.9,1,3,0,1,12,0,3,1,1,8
"422",6434,18,23.9,1,2,0,1,15,1,6,1,1,8
"423",6528,18,23.9,1,5,0,1,14,1,2,1,1,8
"424",844,18,24,1,1,0,1,12,0,8,1,1,10
"425",4032,18,24.2,1,3,0,1,14,0,3,1,1,6
"426",1712,18,24.2,1,4,0,1,11,0,3,1,1,1
"427",4899,18,24.8,1,3,0,1,14,0,7,1,1,2
"428",7456,18,24.9,1,4,0,1,9,1,4,1,1,1
"429",9060,18,25.2,1,5,0,1,12,1,3,1,1,4
"430",628,18,25.4,1,2,0,1,13,0,3,1,1,0
"431",1458,18,25.4,1,1,0,1,13,0,6,1,1,3
"432",10779,18,25.7,1,5,0,1,14,1,7,1,1,1
"433",8874,18,25.8,1,2,0,1,13,1,2,1,1,0
"434",1126,18,26,1,5,0,1,10,0,6,1,1,1
