Cust_Id,NPS_Score,NPS_Category,Timely_delivery,No_of_calls_in_an_Order,Loyalty_Years,C_Marital_Status,Tier_City,Mode_of_Payment,No_of_Items_in_Order,Gender,Order_Mode,Score_on_Food_Quality,Score_on_Order_Logistics,Menu_Presentation_Score,Score_on_Recommendations,Score_on_Delivery_Person_Friendliness
120,7,Passives,Y,4,6,Not Married,Tier3,Ziggy Credit,2,F,call,7,9,5,5,1
121,8,Passives,Y,4,7,Married,Tier1,Card,5,M,e-comm,10,8,6,5,9
122,10,Promoter,N,4,6,Married,Tier1,e-Wallet,5,F,m-comm,9,9,7,7,9
123,10,Promoter,Y,4,9,Married,Tier1,Cash,6,M,m-comm,9,2,8,10,10
124,4,Detractor,Y,4,8,Not Married,Tier1,Ziggy Credit,6,F,m-comm,10,6,10,3,2
125,0,Detractor,Y,4,7,Married,Tier2,Card,6,M,m-comm,9,1,1,3,6
126,1,Detractor,N,4,1,Not Married,Tier3,e-Wallet,7,F,call,4,8,9,2,3
127,0,Detractor,Y,4,9,Married,Tier1,Cash,3,M,m-comm,10,6,6,8,5
128,9,Promoter,N,4,7,Not Married,Tier1,Ziggy Credit,6,F,e-comm,9,7,3,6,9
129,10,Promoter,Y,4,6,Married,Tier1,Card,7,M,m-comm,9,8,5,2,7
130,10,Promoter,N,4,6,Married,Tier1,e-Wallet,9,F,m-comm,9,7,6,7,9
131,0,Detractor,Y,4,7,Married,Tier2,Cash,5,M,m-comm,9,2,10,7,6
132,7,Passives,N,4,8,Not Married,Tier3,Ziggy Credit,4,F,call,4,8,5,1,9
133,1,Detractor,Y,4,4,Married,Tier1,Card,3,M,m-comm,9,4,1,9,4
134,5,Detractor,Y,4,10,Not Married,Tier2,e-Wallet,6,F,m-comm,10,9,3,9,2
135,8,Passives,Y,4,4,Married,Tier3,Cash,2,M,call,5,8,5,3,1
136,7,Passives,N,4,10,Not Married,Tier1,Ziggy Credit,6,F,e-comm,9,3,1,10,10
137,2,Detractor,Y,4,4,Married,Tier2,Card,7,M,m-comm,9,7,3,6,2
138,9,Promoter,N,4,7,Married,Tier1,e-Wallet,9,F,m-comm,10,10,8,5,10
139,9,Promoter,Y,4,4,Married,Tier1,Cash,10,M,m-comm,10,9,9,10,10
140,6,Detractor,Y,4,1,Not Married,Tier2,Ziggy Credit,2,F,m-comm,9,3,1,8,2
141,10,Promoter,Y,4,1,Married,Tier1,Card,8,M,e-comm,10,6,5,5,7
142,7,Passives,N,4,7,Not Married,Tier1,e-Wallet,2,F,e-comm,9,9,2,10,3
143,4,Detractor,Y,4,10,Married,Tier2,Cash,4,M,m-comm,9,3,8,5,2
144,7,Passives,N,4,5,Not Married,Tier3,Ziggy Credit,7,F,call,8,9,4,1,9
145,0,Detractor,Y,4,2,Married,Tier1,Card,1,M,m-comm,9,5,9,5,5
146,3,Detractor,Y,4,4,Not Married,Tier2,e-Wallet,2,F,m-comm,9,10,4,3,6
147,10,Promoter,Y,4,7,Married,Tier1,Cash,6,M,m-comm,10,2,2,6,10
148,10,Promoter,N,4,5,Married,Tier1,Ziggy Credit,5,F,m-comm,9,9,9,1,8
149,2,Detractor,Y,4,3,Married,Tier2,Card,1,M,m-comm,10,5,7,10,3
150,7,Passives,N,4,6,Not Married,Tier3,e-Wallet,6,F,call,6,6,9,9,1
151,2,Detractor,Y,4,6,Married,Tier1,Cash,5,M,m-comm,9,4,4,2,6
152,1,Detractor,Y,4,4,Not Married,Tier2,Ziggy Credit,7,F,m-comm,10,3,10,1,4
153,10,Promoter,Y,4,8,Married,Tier1,Card,9,M,m-comm,9,6,2,5,7
154,5,Detractor,Y,4,10,Not Married,Tier1,e-Wallet,5,F,m-comm,9,7,5,10,5
155,6,Detractor,Y,4,2,Married,Tier2,Cash,5,M,m-comm,9,2,10,9,1
156,7,Passives,N,4,4,Not Married,Tier3,Ziggy Credit,1,F,call,5,2,7,3,4
157,10,Promoter,Y,4,8,Married,Tier1,Card,5,M,e-comm,9,10,6,7,10
158,3,Detractor,Y,4,2,Not Married,Tier2,e-Wallet,4,F,m-comm,9,5,8,3,1
159,7,Passives,Y,4,10,Married,Tier3,Cash,6,M,call,4,8,2,7,5
160,2,Detractor,Y,4,8,Not Married,Tier1,Ziggy Credit,1,F,m-comm,10,2,4,9,4
161,2,Detractor,Y,4,10,Married,Tier2,Card,7,M,m-comm,10,8,7,3,4
162,7,Passives,Y,4,8,Not Married,Tier3,e-Wallet,6,F,call,5,3,8,10,2
163,1,Detractor,Y,4,8,Married,Tier1,Cash,5,M,m-comm,10,9,6,8,5
164,6,Detractor,Y,4,3,Not Married,Tier2,Ziggy Credit,2,F,m-comm,9,1,6,5,2
165,7,Passives,N,4,10,Married,Tier3,Card,4,M,call,7,5,4,6,5
166,5,Detractor,Y,4,1,Not Married,Tier1,e-Wallet,5,F,m-comm,9,9,3,3,5
167,2,Detractor,Y,4,7,Married,Tier2,Cash,7,M,m-comm,10,1,7,2,6
168,7,Passives,N,4,5,Not Married,Tier3,Ziggy Credit,6,F,call,4,3,3,2,4
169,0,Detractor,Y,4,4,Married,Tier1,Card,5,M,m-comm,9,7,1,10,2
170,6,Detractor,Y,4,8,Not Married,Tier2,e-Wallet,7,F,m-comm,10,10,4,7,3
171,10,Promoter,Y,4,3,Married,Tier1,Cash,5,M,m-comm,10,5,8,7,7
172,7,Passives,N,4,2,Not Married,Tier1,Ziggy Credit,4,F,e-comm,10,2,6,7,10
173,0,Detractor,Y,4,1,Married,Tier2,Card,2,M,m-comm,10,4,1,2,4
174,7,Passives,N,4,1,Not Married,Tier3,e-Wallet,1,F,call,6,6,8,9,4
175,6,Detractor,Y,4,6,Married,Tier1,Cash,1,M,m-comm,10,3,8,10,2
176,5,Detractor,Y,4,2,Not Married,Tier2,Ziggy Credit,2,F,m-comm,9,3,2,4,6
177,7,Passives,N,4,10,Married,Tier3,Card,6,M,call,6,4,3,2,8
178,1,Detractor,Y,4,4,Not Married,Tier1,e-Wallet,1,F,m-comm,10,3,1,3,4
179,9,Promoter,Y,4,2,Married,Tier1,Cash,5,M,m-comm,10,9,8,2,8
180,7,Passives,N,4,2,Not Married,Tier3,Ziggy Credit,3,F,call,8,8,2,4,2
181,1,Detractor,Y,4,4,Married,Tier1,Card,3,M,m-comm,10,6,9,6,4
182,2,Detractor,Y,4,2,Not Married,Tier2,e-Wallet,1,F,m-comm,10,10,1,4,4
183,7,Passives,N,4,8,Married,Tier3,Cash,3,M,call,8,4,6,1,7
184,8,Passives,N,4,8,Not Married,Tier1,Ziggy Credit,1,F,e-comm,10,4,9,5,2
185,7,Passives,Y,4,5,Married,Tier2,Card,5,M,m-comm,10,9,6,2,7
186,7,Passives,N,4,7,Not Married,Tier3,e-Wallet,7,F,call,4,1,4,6,8
187,2,Detractor,Y,4,5,Married,Tier1,Cash,3,M,m-comm,10,2,7,8,1
188,10,Promoter,N,4,5,Married,Tier1,Ziggy Credit,9,F,m-comm,9,8,9,9,9
189,7,Passives,N,4,7,Married,Tier3,Card,3,M,call,4,6,2,8,1
190,1,Detractor,Y,4,3,Not Married,Tier1,e-Wallet,2,F,m-comm,10,8,9,3,5
191,2,Detractor,Y,4,1,Married,Tier2,Cash,5,M,m-comm,10,4,1,9,2
192,9,Promoter,N,4,7,Married,Tier1,Ziggy Credit,5,F,m-comm,10,10,9,3,10
193,1,Detractor,Y,4,5,Married,Tier1,Card,7,M,m-comm,10,5,7,3,3
194,7,Passives,N,4,6,Not Married,Tier2,e-Wallet,6,F,m-comm,10,10,9,2,3
195,9,Promoter,N,4,3,Married,Tier3,Cash,7,M,call,4,8,3,3,5
196,5,Detractor,Y,4,1,Not Married,Tier1,Ziggy Credit,4,F,m-comm,10,9,10,2,3
197,9,Promoter,Y,4,6,Married,Tier1,Card,10,M,call,10,9,5,7,9
198,8,Passives,Y,4,2,Not Married,Tier3,e-Wallet,2,F,call,7,9,6,3,9
199,4,Detractor,Y,4,8,Married,Tier1,Cash,1,M,m-comm,9,5,5,4,6
200,10,Promoter,N,4,5,Married,Tier1,Ziggy Credit,5,F,m-comm,10,2,9,2,8
201,7,Passives,N,4,6,Married,Tier3,Card,2,M,call,7,5,2,7,5
202,0,Detractor,Y,4,3,Not Married,Tier1,e-Wallet,6,F,m-comm,10,7,9,10,3
203,5,Detractor,Y,4,10,Married,Tier2,Cash,3,M,m-comm,9,9,1,7,1
204,8,Passives,Y,4,7,Not Married,Tier3,Ziggy Credit,6,F,call,8,5,7,1,8
205,5,Detractor,Y,4,1,Married,Tier1,Card,4,M,m-comm,9,5,3,1,2
206,4,Detractor,Y,4,9,Not Married,Tier2,e-Wallet,3,F,m-comm,10,1,1,7,3
207,7,Passives,N,4,6,Married,Tier3,Cash,4,M,call,4,5,8,10,6
208,10,Promoter,N,4,5,Married,Tier1,Ziggy Credit,7,F,m-comm,10,2,5,4,9
209,9,Promoter,Y,4,3,Married,Tier1,Card,8,M,m-comm,10,5,5,7,7
210,7,Passives,N,4,3,Not Married,Tier3,e-Wallet,3,F,call,7,8,10,3,3
211,3,Detractor,Y,4,1,Married,Tier1,Cash,1,M,m-comm,10,9,5,5,5
212,5,Detractor,Y,4,8,Not Married,Tier2,Ziggy Credit,1,F,m-comm,9,4,8,2,1
213,7,Passives,N,4,6,Married,Tier3,Card,1,M,call,5,9,4,3,7
214,9,Promoter,N,4,7,Married,Tier1,e-Wallet,10,F,m-comm,9,5,10,3,9
215,3,Detractor,Y,4,3,Married,Tier2,Cash,3,M,m-comm,9,4,10,1,2
216,7,Passives,N,4,1,Not Married,Tier3,Ziggy Credit,3,F,call,8,5,9,7,8
217,3,Detractor,Y,4,1,Married,Tier1,Card,6,M,m-comm,10,3,8,1,1
218,10,Promoter,Y,4,5,Married,Tier1,e-Wallet,9,F,call,9,1,7,10,7
219,8,Passives,Y,4,5,Married,Tier3,Cash,2,M,call,6,6,4,4,6
220,5,Detractor,Y,4,6,Not Married,Tier1,Ziggy Credit,6,F,m-comm,10,8,4,3,6
221,4,Detractor,Y,4,10,Married,Tier2,Card,4,M,m-comm,9,8,10,2,5
222,7,Passives,N,4,7,Not Married,Tier3,e-Wallet,1,F,call,6,1,3,10,3
223,1,Detractor,Y,4,8,Married,Tier1,Cash,1,M,m-comm,9,7,8,5,2
224,5,Detractor,Y,4,1,Not Married,Tier2,Ziggy Credit,5,F,m-comm,10,7,5,2,5
225,7,Passives,N,4,7,Married,Tier3,Card,1,M,call,4,6,4,2,2
226,4,Detractor,Y,4,7,Not Married,Tier1,e-Wallet,5,F,m-comm,9,2,6,4,4
227,1,Detractor,Y,4,4,Married,Tier2,Cash,1,M,m-comm,10,7,5,7,3
228,7,Passives,N,4,1,Not Married,Tier3,Ziggy Credit,4,F,call,5,7,3,3,9
229,7,Passives,Y,4,7,Married,Tier1,Card,4,M,e-comm,9,5,4,8,10
230,5,Detractor,Y,4,3,Not Married,Tier2,e-Wallet,1,F,m-comm,10,2,4,9,4
231,7,Passives,Y,4,2,Married,Tier3,Cash,1,M,call,6,7,8,2,4
232,2,Detractor,Y,4,2,Not Married,Tier1,Ziggy Credit,2,F,m-comm,10,1,6,5,5
233,8,Passives,Y,4,9,Married,Tier2,Card,7,M,m-comm,10,2,2,5,2
234,9,Promoter,N,4,6,Married,Tier1,e-Wallet,9,F,m-comm,9,10,5,8,7
235,10,Promoter,Y,4,4,Married,Tier3,Cash,6,M,m-comm,8,5,5,3,9
236,4,Detractor,Y,4,3,Not Married,Tier2,Ziggy Credit,4,F,m-comm,10,7,4,7,2
237,7,Passives,N,4,1,Married,Tier3,Card,4,M,call,5,2,2,10,2
238,1,Detractor,Y,4,1,Not Married,Tier1,e-Wallet,7,F,m-comm,9,5,9,4,5
239,9,Promoter,Y,4,7,Married,Tier1,Cash,10,M,m-comm,9,8,1,5,8
240,7,Passives,N,4,5,Not Married,Tier3,Ziggy Credit,7,F,call,4,4,2,6,9
241,10,Promoter,Y,4,9,Married,Tier1,Card,6,M,call,10,2,4,4,10
242,6,Detractor,Y,4,7,Not Married,Tier2,e-Wallet,1,F,m-comm,10,1,4,5,3
243,10,Promoter,Y,4,2,Married,Tier1,Cash,8,M,m-comm,10,3,6,2,9
244,1,Detractor,Y,4,9,Not Married,Tier1,Ziggy Credit,6,F,m-comm,10,7,10,3,5
245,7,Passives,Y,4,3,Married,Tier2,Card,1,M,m-comm,9,3,2,10,10
246,8,Passives,Y,4,8,Not Married,Tier3,e-Wallet,3,F,call,5,5,6,5,2
247,8,Passives,Y,4,2,Married,Tier1,Cash,6,M,e-comm,10,2,1,8,4
248,8,Passives,N,4,7,Not Married,Tier2,Ziggy Credit,7,F,m-comm,10,2,9,3,10
249,7,Passives,N,4,4,Married,Tier3,Card,2,M,call,5,7,5,4,6
250,8,Passives,N,4,9,Not Married,Tier1,e-Wallet,3,F,e-comm,10,9,9,5,8
251,3,Detractor,Y,4,3,Married,Tier2,Cash,3,M,m-comm,10,2,5,5,2
252,7,Passives,N,4,5,Not Married,Tier3,Ziggy Credit,2,F,call,6,9,4,6,5
253,10,Promoter,Y,4,3,Married,Tier1,Card,5,M,m-comm,9,9,2,10,8
254,4,Detractor,Y,4,10,Not Married,Tier2,e-Wallet,5,F,m-comm,9,6,2,10,4
255,9,Promoter,Y,4,9,Married,Tier1,Cash,10,M,m-comm,9,3,6,10,9
256,7,Passives,N,4,3,Not Married,Tier1,Ziggy Credit,7,F,e-comm,9,7,4,1,6
257,8,Passives,Y,4,4,Married,Tier2,Card,4,M,m-comm,9,10,1,4,6
258,7,Passives,N,4,8,Not Married,Tier3,e-Wallet,6,F,call,7,7,1,10,3
259,3,Detractor,Y,4,3,Married,Tier1,Cash,7,M,call,10,4,8,2,3
260,4,Detractor,Y,4,7,Not Married,Tier2,Ziggy Credit,3,F,call,10,8,5,8,6
261,7,Passives,N,4,6,Married,Tier3,Card,7,M,call,8,4,6,2,7
262,6,Detractor,Y,4,9,Not Married,Tier1,e-Wallet,3,F,call,10,9,5,6,4
263,2,Detractor,Y,4,5,Married,Tier2,Cash,4,M,call,9,6,9,5,1
264,7,Passives,N,4,2,Not Married,Tier3,Ziggy Credit,5,F,call,8,10,6,7,4
265,8,Passives,Y,4,7,Married,Tier1,Card,7,M,e-comm,10,4,9,1,5
266,10,Promoter,Y,4,7,Married,Tier1,e-Wallet,7,F,call,9,9,9,1,10
267,10,Promoter,Y,4,6,Married,Tier1,Cash,6,M,m-comm,10,9,3,5,9
268,7,Passives,N,4,4,Not Married,Tier1,Ziggy Credit,6,F,e-comm,10,3,3,6,2
269,9,Promoter,Y,4,3,Married,Tier1,Card,7,M,m-comm,10,1,10,6,7
270,7,Passives,N,4,3,Not Married,Tier3,e-Wallet,3,F,call,4,4,3,1,4
271,6,Detractor,Y,4,9,Married,Tier1,Cash,2,M,call,9,6,3,6,1
272,8,Passives,N,4,9,Not Married,Tier2,Ziggy Credit,6,F,m-comm,10,7,1,1,1
273,7,Passives,N,4,3,Married,Tier3,Card,2,M,call,6,5,4,3,9
274,6,Detractor,Y,4,2,Not Married,Tier1,e-Wallet,5,F,call,9,9,8,7,5
275,8,Passives,Y,4,3,Married,Tier2,Cash,1,M,m-comm,10,3,10,2,3
276,7,Passives,Y,4,6,Not Married,Tier3,Ziggy Credit,3,F,call,8,3,2,6,3
277,3,Detractor,N,4,7,Married,Tier1,Card,7,M,call,9,1,10,5,1
278,7,Passives,N,4,8,Not Married,Tier2,e-Wallet,4,F,m-comm,9,8,2,7,2
279,7,Passives,N,4,3,Married,Tier3,Cash,4,M,call,8,9,6,4,4
280,5,Detractor,N,4,2,Not Married,Tier1,Ziggy Credit,3,F,call,9,7,8,2,1
281,1,Detractor,N,4,8,Married,Tier2,Card,5,M,call,10,4,3,1,6
282,7,Passives,N,4,2,Not Married,Tier3,e-Wallet,4,F,call,4,4,6,6,7
283,7,Passives,Y,4,2,Married,Tier1,Cash,7,M,e-comm,10,7,3,4,5
284,0,Detractor,N,4,2,Not Married,Tier2,Ziggy Credit,2,F,call,10,7,6,10,3
285,8,Passives,Y,4,2,Married,Tier3,Card,7,M,call,7,4,7,10,4
286,5,Detractor,N,4,4,Not Married,Tier1,e-Wallet,2,F,call,10,10,9,3,2
