Merchant_Id,Annual_Sales,Merchant_Location,Zone,No_of_helpers,Daily_OPEN_hours,Years_Open,Owner's_Age,Owner's_Education,Cashier_Sales_Person_Age,Merchant_Type,Shopping_Complex_Or_Standalone
9540,472,NJ City,W,2,21,20,35,Graduation,22,Franchise,Complex
8562,383,NJ City,S,3,8,13,35,Graduation,29,Patnership,Complex
4734,278,NJ City,S,1,20,20,34,High School,23,Patnership,Complex
7182,460,Boston,S,1,12,25,37,Graduation,26,Patnership,Complex
1847,123,NJ City,E,2,16,11,57,High School,35,Owner,Standalone
2812,149,NJ City,W,1,16,13,50,High School,26,Franchise,Complex
5250,387,Boston,S,1,10,16,40,Graduation,28,Patnership,Complex
1351,303,NJ City,E,1,13,10,65,High School,18,Owner,Standalone
1206,286,NJ City,S,1,18,20,52,High School,22,Patnership,Complex
6133,485,Boston,N,1,9,18,70,Graduation,34,Patnership,Standalone
9113,498,NJ City,N,1,24,14,55,Graduation,34,Patnership,Standalone
8762,382,NJ City,S,2,11,13,58,Graduation,30,Patnership,Complex
7443,419,Boston,E,3,15,22,72,Graduation,30,Owner,Standalone
4244,121.07,NJ City,W,24,15,4,50,No education,18,Franchise,Complex
6699,358,Boston,E,2,12,25,68,Graduation,21,Owner,Standalone
3756,40.89,NJ City,N,15,22,3,60,Graduation,32,Franchise,Complex
4030,385.24,NJ City,S,3,17,3,64,High School,25,Patnership,Complex
2687,196,NJ City,E,1,16,13,74,High School,20,Owner,Standalone
7206,64.95,Boston,N,25,18,1,72,Graduation,19,Patnership,Complex
4853,126,NJ City,N,2,19,13,66,High School,18,Patnership,Standalone
6325,368,Boston,N,3,20,17,71,Graduation,22,Patnership,Standalone
4028,121,NJ City,W,3,11,21,51,High School,31,Franchise,Complex
4771,224,NJ City,E,1,8,23,45,High School,32,Owner,Standalone
8479,23.19,NJ City,N,8,16,2,53,High School,23,Owner,Standalone
2560,64.33,NJ City,N,6,19,2,40,High School,19,Franchise,Complex
1835,168,NJ City,E,2,9,25,71,High School,23,Owner,Standalone
1459,99.7,NJ City,E,19,9,2,28,High School,29,Owner,Standalone
8023,402,Boston,E,3,24,20,73,Graduation,35,Owner,Standalone
7352,416,Boston,W,3,13,24,39,Graduation,25,Franchise,Complex
5889,44.94,Boston,N,25,16,4,45,Graduation,23,Patnership,Standalone
9791,44.32,NJ City,N,5,19,3,50,No education,22,Owner,Standalone
5630,35.77,Boston,N,15,8,3,58,No education,35,Patnership,Complex
3596,19.55,NJ City,N,12,13,4,43,No education,27,Franchise,Complex
7798,467,Boston,S,2,11,6,56,Graduation,25,Patnership,Complex
3187,257.52,NJ City,E,3,21,20,59,No education,20,Owner,Standalone
1314,175,NJ City,S,2,24,18,80,High School,25,Patnership,Complex
6226,369,Boston,S,3,24,5,45,Graduation,28,Patnership,Complex
7132,92.11,Boston,W,8,24,2,73,High School,18,Franchise,Complex
9353,484,NJ City,N,3,9,14,40,Graduation,29,Patnership,Standalone
867,94.19,NJ City,E,4,20,4,30,Graduation,21,Owner,Standalone
9832,366,NJ City,W,3,22,17,29,Graduation,26,Franchise,Complex
3755,156,NJ City,E,1,19,11,30,High School,32,Owner,Standalone
8397,374.58,NJ City,N,6,15,1,44,Graduation,24,Patnership,Standalone
5183,493,Boston,E,3,16,12,78,Graduation,18,Owner,Standalone
5753,62.7,Boston,N,1,14,2,37,No education,21,Patnership,Standalone
4557,74.82,NJ City,N,23,12,1,81,Graduation,28,Patnership,Standalone
9662,462,NJ City,S,3,23,10,35,Graduation,26,Patnership,Complex
9396,426,NJ City,W,2,14,13,54,Graduation,31,Franchise,Complex
8588,448,NJ City,W,2,21,12,49,Graduation,26,Franchise,Complex
1105,6.19,NJ City,N,13,15,4,58,High School,29,Patnership,Standalone
1588,162,NJ City,W,2,10,14,48,High School,19,Franchise,Complex
2664,482.34,NJ City,W,24,17,3,53,Graduation,19,Franchise,Complex
1943,191,NJ City,E,3,11,17,78,High School,23,Owner,Standalone
661,8.61,NJ City,N,17,17,2,53,High School,29,Patnership,Standalone
4125,75.13,NJ City,N,20,12,2,48,Graduation,19,Patnership,Standalone
9718,13.05,NJ City,N,14,23,1,80,High School,34,Patnership,Complex
4885,125.37,NJ City,N,11,14,2,80,High School,22,Patnership,Standalone
7256,208,Boston,W,15,17,2,76,No education,33,Franchise,Complex
6695,453,Boston,E,2,15,5,72,Graduation,22,Owner,Standalone
5767,476,Boston,E,2,16,18,37,Graduation,28,Owner,Standalone
3791,268.34,NJ City,E,24,14,3,33,No education,30,Owner,Standalone
2027,103,NJ City,E,1,16,20,53,High School,35,Owner,Standalone
2621,155,NJ City,N,2,22,19,75,High School,29,Patnership,Standalone
8568,326.99,NJ City,W,2,23,3,33,Graduation,21,Franchise,Complex
5825,26.62,Boston,N,19,19,2,65,No education,26,Patnership,Standalone
3962,241,NJ City,S,1,9,6,82,High School,19,Patnership,Complex
2303,101,NJ City,E,2,13,22,79,High School,35,Owner,Standalone
8751,394,NJ City,E,1,10,7,38,Graduation,25,Owner,Standalone
5013,43.38,Boston,N,8,15,3,56,Graduation,19,Patnership,Standalone
3648,114.86,NJ City,W,8,23,4,74,Graduation,23,Franchise,Complex
6012,79.04,Boston,W,1,18,4,74,Graduation,35,Franchise,Complex
7319,363,Boston,E,3,12,15,30,Graduation,30,Owner,Standalone
8954,397,NJ City,S,3,8,11,57,Graduation,34,Patnership,Complex
9229,499.39,NJ City,N,23,12,2,71,High School,33,Patnership,Standalone
3314,5.56,NJ City,N,20,19,3,37,No education,31,Patnership,Complex
3576,167,NJ City,W,2,17,17,70,High School,27,Franchise,Complex
6864,472,Boston,W,1,21,13,60,Graduation,27,Franchise,Complex
6558,462,Boston,S,3,14,16,36,Graduation,33,Patnership,Complex
6996,380,Boston,W,1,16,5,49,Graduation,22,Franchise,Complex
8038,361,Boston,S,1,24,14,50,Graduation,21,Patnership,Complex
3936,101.02,NJ City,W,7,9,1,85,Graduation,23,Franchise,Complex
8960,314.37,NJ City,W,13,10,3,61,No education,23,Franchise,Complex
2777,202,NJ City,N,1,18,14,35,High School,34,Patnership,Standalone
6479,482,Boston,E,1,11,22,31,Graduation,33,Owner,Standalone
5051,4.4,Boston,N,19,8,1,40,No education,35,Owner,Standalone
4532,66.67,NJ City,N,15,16,4,30,No education,21,Franchise,Complex
8443,393,NJ City,E,1,13,23,83,Graduation,32,Owner,Standalone
9943,495,NJ City,E,3,18,24,48,Graduation,34,Owner,Standalone
6503,462,Boston,E,2,19,22,61,Graduation,31,Owner,Standalone
4732,280,NJ City,W,1,19,9,52,High School,20,Franchise,Complex
8350,446,NJ City,S,3,11,23,25,Graduation,22,Patnership,Complex
1097,4.31,NJ City,N,3,12,2,44,No education,28,Patnership,Standalone
6005,361,Boston,N,3,9,19,50,Graduation,19,Patnership,Standalone
2442,45.04,NJ City,N,8,20,2,64,Graduation,25,Patnership,Complex
4585,443.5,NJ City,N,23,11,2,44,High School,25,Patnership,Standalone
7878,398,Boston,S,3,11,8,54,Graduation,24,Patnership,Complex
5060,457,Boston,W,2,19,6,57,Graduation,33,Franchise,Complex
2195,276,NJ City,E,2,15,12,64,High School,27,Owner,Standalone
2333,160.43,NJ City,N,9,10,1,60,No education,33,Patnership,Standalone
6214,409,Boston,S,2,12,11,66,Graduation,34,Patnership,Complex
6085,480,Boston,N,3,12,20,42,Graduation,29,Patnership,Standalone
4380,111.61,NJ City,W,10,15,1,38,Graduation,30,Franchise,Complex
2201,407,NJ City,N,3,15,5,41,Graduation,28,Patnership,Standalone
4384,211,NJ City,W,3,21,6,34,High School,31,Franchise,Complex
7338,454,Boston,S,3,8,22,59,Graduation,19,Patnership,Complex
6387,453,Boston,E,3,18,15,51,Graduation,31,Owner,Standalone
5281,481,Boston,N,3,8,5,59,Graduation,26,Patnership,Standalone
8100,366,NJ City,W,3,14,6,80,Graduation,30,Franchise,Complex
6733,103.2,Boston,N,14,9,4,64,High School,26,Patnership,Standalone
2885,116.99,NJ City,N,10,24,3,26,No education,22,Patnership,Standalone
2393,189.2,NJ City,N,11,22,4,79,No education,32,Patnership,Standalone
2774,389.24,NJ City,S,18,23,2,34,No education,26,Patnership,Complex
1574,165,NJ City,S,3,11,19,73,High School,27,Patnership,Complex
74,159,Boston,S,3,16,15,71,High School,23,Patnership,Complex
2356,196,NJ City,W,3,17,11,42,High School,31,Franchise,Complex
3702,314,NJ City,S,2,19,21,63,High School,21,Patnership,Complex
7543,456.35,Boston,E,10,21,4,63,High School,30,Owner,Standalone
2441,113,NJ City,N,1,10,19,47,High School,25,Patnership,Standalone
773,270,NJ City,N,1,12,16,78,High School,22,Patnership,Standalone
3259,93.28,NJ City,E,8,9,4,56,High School,29,Owner,Standalone
8267,433,NJ City,E,2,10,10,56,Graduation,20,Owner,Standalone
6031,27.79,Boston,N,25,8,2,30,High School,35,Owner,Standalone
3981,216,NJ City,N,2,22,17,68,High School,31,Patnership,Standalone
9001,462,NJ City,N,2,8,24,49,Graduation,24,Patnership,Standalone
3697,191,NJ City,N,2,18,23,47,High School,31,Patnership,Standalone
6917,449,Boston,N,3,14,23,41,Graduation,32,Patnership,Standalone
6393,25.18,Boston,N,1,15,1,75,Graduation,19,Patnership,Standalone
3127,197,NJ City,E,3,17,16,78,High School,26,Owner,Standalone
9935,460,NJ City,E,3,18,14,65,Graduation,34,Owner,Standalone
2141,312,NJ City,N,3,21,16,60,High School,25,Patnership,Standalone
6466,443,Boston,S,2,20,10,32,Graduation,29,Patnership,Complex
372,61.02,NJ City,N,11,16,4,42,Graduation,30,Franchise,Complex
2062,350,NJ City,S,2,22,5,26,Graduation,19,Patnership,Complex
6954,492.44,Boston,S,5,8,4,59,Graduation,32,Patnership,Complex
4385,233,NJ City,N,3,14,14,44,High School,35,Patnership,Standalone
4861,306.66,NJ City,N,4,16,1,39,High School,28,Patnership,Standalone
7019,474,Boston,E,3,16,5,59,Graduation,20,Owner,Standalone
1284,26.35,NJ City,N,25,13,4,48,Graduation,28,Franchise,Complex
4814,441.56,NJ City,S,22,19,2,52,No education,27,Patnership,Complex
2944,59.01,NJ City,W,16,15,4,34,High School,27,Franchise,Complex
8449,432,NJ City,N,3,13,15,39,Graduation,21,Patnership,Standalone
4995,470.17,Boston,E,11,20,4,83,Graduation,23,Owner,Standalone
3220,14.47,NJ City,N,9,23,2,41,High School,21,Franchise,Complex
1737,106.81,NJ City,N,9,23,2,74,Graduation,32,Patnership,Standalone
4645,22.47,NJ City,N,14,16,4,26,High School,19,Patnership,Standalone
4389,351.14,NJ City,N,25,13,3,77,Graduation,22,Patnership,Standalone
645,191,NJ City,N,2,15,13,27,High School,20,Patnership,Standalone
5161,88.6,Boston,N,9,10,1,56,High School,34,Patnership,Standalone
1721,237,NJ City,N,2,21,11,58,High School,31,Patnership,Standalone
2845,303.96,NJ City,N,16,10,3,81,High School,30,Patnership,Standalone
462,113.62,NJ City,S,8,11,1,58,Graduation,27,Patnership,Complex
3482,42.57,NJ City,N,23,8,1,52,No education,24,Patnership,Complex
3829,110,NJ City,N,3,22,11,33,High School,31,Patnership,Standalone
9610,372,NJ City,S,3,13,24,67,Graduation,35,Patnership,Complex
4132,96.29,NJ City,W,3,15,4,32,High School,26,Franchise,Complex
8847,453.6,NJ City,E,5,12,2,35,Graduation,35,Owner,Standalone
6252,54.52,Boston,W,18,15,2,43,Graduation,23,Franchise,Complex
1851,94.59,NJ City,E,18,14,4,42,Graduation,33,Owner,Standalone
7625,455,Boston,N,1,21,23,59,Graduation,32,Patnership,Standalone
8901,438,NJ City,N,3,10,24,76,Graduation,29,Patnership,Standalone
5222,365,Boston,S,1,11,15,79,Graduation,19,Patnership,Complex
3847,251,NJ City,E,2,17,8,68,High School,24,Owner,Standalone
1372,43.02,NJ City,N,15,19,4,73,High School,32,Franchise,Complex
8594,442,NJ City,S,1,12,21,45,Graduation,28,Patnership,Complex
9103,500,NJ City,E,2,23,21,29,Graduation,21,Owner,Standalone
4534,131,NJ City,S,2,21,15,80,High School,34,Patnership,Complex
5321,4.57,Boston,N,6,11,3,29,No education,24,Patnership,Standalone
7946,22.61,Boston,N,8,14,1,67,No education,19,Patnership,Complex
801,74.1,NJ City,N,4,8,4,53,Graduation,33,Patnership,Standalone
3873,314,NJ City,N,1,19,10,85,High School,34,Patnership,Standalone
9563,91.21,NJ City,E,13,17,1,59,No education,24,Owner,Standalone
3632,273,NJ City,W,1,19,17,31,High School,18,Franchise,Complex
6462,82.57,Boston,S,5,17,1,47,Graduation,31,Patnership,Complex
6904,403,Boston,W,3,18,20,26,Graduation,23,Franchise,Complex
9781,489,NJ City,N,3,15,10,28,Graduation,29,Patnership,Standalone
1181,228,NJ City,N,1,15,6,25,High School,34,Patnership,Standalone
5601,166.93,Boston,N,20,8,4,64,Graduation,22,Patnership,Standalone
7164,69.08,Boston,N,17,24,4,30,Graduation,21,Franchise,Complex
6456,440.99,Boston,W,1,17,4,75,Graduation,22,Franchise,Complex
9067,475,NJ City,E,2,21,17,44,Graduation,32,Owner,Standalone
797,278,NJ City,N,2,14,22,40,High School,33,Patnership,Standalone
90,121,Boston,S,1,21,20,73,High School,35,Patnership,Complex
7532,97.32,Boston,W,14,11,3,27,No education,18,Franchise,Complex
7734,426,Boston,S,3,20,7,43,Graduation,35,Patnership,Complex
681,132,NJ City,N,2,15,25,55,High School,27,Patnership,Standalone
7599,402,Boston,E,3,10,23,73,Graduation,35,Owner,Standalone
8577,432,NJ City,N,3,22,21,58,Graduation,25,Patnership,Standalone
4621,243,NJ City,N,1,10,7,67,High School,20,Patnership,Standalone
3442,274,NJ City,S,3,13,16,67,High School,18,Patnership,Complex
1399,155,NJ City,E,1,16,12,49,High School,20,Owner,Standalone
