"","Runs","Mins","BF","4s","6s","SR","Pos","Dismissal","Inns","Opposition","Ground","Start Date"
"24","6","20","8","1","0","75.00","6","lbw","2","v Australia","Adelaide","25 Jan 1992"
"25","17","36","29","2","0","58.62","4","lbw","4","v Australia","Adelaide","25 Jan 1992"
"26","114","228","161","16","0","70.80","4","caught","2","v Australia","Perth","1 Feb 1992"
"27","5","12","9","1","0","55.55","4","caught","4","v Australia","Perth","1 Feb 1992"
"28","0","4","3","0","0","0.00","4","caught","2","v Zimbabwe","Harare","18 Oct 1992"
"29","11","35","24","1","0","45.83","4","run out","2","v South Africa","Durban","13 Nov 1992"
"30","111","373","270","19","0","41.11","4","caught","2","v South Africa","Johannesburg","26 Nov 1992"
"31","1","6","5","0","0","20.00","4","lbw","4","v South Africa","Johannesburg","26 Nov 1992"
"32","6","27","17","1","0","35.29","4","caught","1","v South Africa","Port Elizabeth","26 Dec 1992"
"33","0","1","1","0","0","0.00","4","caught","3","v South Africa","Port Elizabeth","26 Dec 1992"
"34","73","272","208","8","1","35.09","5","caught","2","v South Africa","Cape Town","2 Jan 1993"
"35","DNB","-","-","-","-","-","-","-","4","v South Africa","Cape Town","2 Jan 1993"
"36","50","158","118","6","0","42.37","4","caught","1","v England","Kolkata","29 Jan 1993"
"37","9*","17","19","2","0","47.36","4","not out","4","v England","Kolkata","29 Jan 1993"
"38","165","361","296","24","1","55.74","4","caught","1","v England","Chennai","11 Feb 1993"
"39","78","285","213","10","0","36.61","4","lbw","2","v England","Mumbai","19 Feb 1993"
"40","62","128","114","7","0","54.38","4","caught","1","v Zimbabwe","Delhi","13 Mar 1993"
"41","TDNB","-","-","-","-","-","-","-","-","v Sri Lanka","Kandy","17 Jul 1993"
"42","28","74","52","5","0","53.84","4","caught","1","v Sri Lanka","Colombo (SSC)","27 Jul 1993"
"43","104*","217","161","11","1","64.59","4","not out","3","v Sri Lanka","Colombo (SSC)","27 Jul 1993"
"44","71","202","152","10","0","46.71","4","caught","2","v Sri Lanka","Colombo (PSS)","4 Aug 1993"
"45","142","260","224","22","0","63.39","4","caught","1","v Sri Lanka","Lucknow","18 Jan 1994"
"46","96","180","140","15","0","68.57","4","bowled","1","v Sri Lanka","Bengaluru","26 Jan 1994"
"47","6","25","14","1","0","42.85","4","bowled","2","v Sri Lanka","Ahmedabad","8 Feb 1994"
"48","43","55","47","7","0","91.48","4","caught","2","v New Zealand","Hamilton","19 Mar 1994"
"49","11*","57","42","0","0","26.19","4","not out","4","v New Zealand","Hamilton","19 Mar 1994"
"50","34","70","43","7","0","79.06","4","lbw","1","v West Indies","Mumbai","18 Nov 1994"
"51","85","178","130","10","1","65.38","5","caught","3","v West Indies","Mumbai","18 Nov 1994"
"52","179","414","322","24","1","55.59","4","caught","1","v West Indies","Nagpur","1 Dec 1994"
"53","54","180","138","3","0","39.13","4","caught","3","v West Indies","Nagpur","1 Dec 1994"
"54","40","72","55","9","0","72.72","4","caught","2","v West Indies","Mohali","10 Dec 1994"
"55","10","38","24","2","0","41.66","4","caught","4","v West Indies","Mohali","10 Dec 1994"
"56","4","7","4","1","0","100.00","4","caught","2","v New Zealand","Bengaluru","18 Oct 1995"
"57","0*","3","0","0","0","-","4","not out","4","v New Zealand","Bengaluru","18 Oct 1995"
"58","52*","98","88","5","0","59.09","4","not out","1","v New Zealand","Chennai","25 Oct 1995"
"59","2","8","8","0","0","25.00","4","bowled","1","v New Zealand","Cuttack","8 Nov 1995"
"60","24","71","41","4","0","58.53","4","bowled","1","v England","Birmingham","6 Jun 1996"
"61","122","263","177","19","1","68.92","4","caught","3","v England","Birmingham","6 Jun 1996"
"62","31","81","59","5","0","52.54","4","bowled","2","v England","Lord's","20 Jun 1996"
"63","177","462","360","26","0","49.16","4","caught","1","v England","Nottingham","4 Jul 1996"
"64","74","111","97","11","1","76.28","4","caught","3","v England","Nottingham","4 Jul 1996"
"65","10","12","11","2","0","90.90","4","caught","2","v Australia","Delhi","10 Oct 1996"
"66","0","6","7","0","0","0.00","4","bowled","4","v Australia","Delhi","10 Oct 1996"
"67","42","80","64","7","0","65.62","4","caught","1","v South Africa","Ahmedabad","20 Nov 1996"
"68","7","43","33","1","0","21.21","4","caught","3","v South Africa","Ahmedabad","20 Nov 1996"
"69","18","91","62","3","0","29.03","4","bowled","2","v South Africa","Kolkata","27 Nov 1996"
"70","2","28","25","0","0","8.00","4","caught","4","v South Africa","Kolkata","27 Nov 1996"
"71","61","211","173","4","1","35.26","4","caught","1","v South Africa","Kanpur","8 Dec 1996"
"72","36","129","98","4","0","36.73","5","caught","3","v South Africa","Kanpur","8 Dec 1996"
"73","15","58","45","2","0","33.33","4","bowled","2","v South Africa","Durban","26 Dec 1996"
"74","4","32","25","1","0","16.00","4","caught","4","v South Africa","Durban","26 Dec 1996"
"75","169","329","254","26","0","66.53","5","caught","2","v South Africa","Cape Town","2 Jan 1997"
"76","9","38","28","1","0","32.14","5","caught","4","v South Africa","Cape Town","2 Jan 1997"
"77","35","72","55","7","0","63.63","4","caught","1","v South Africa","Johannesburg","16 Jan 1997"
"78","9","13","11","2","0","81.81","4","caught","3","v South Africa","Johannesburg","16 Jan 1997"
"79","7","40","30","1","0","23.33","4","bowled","2","v West Indies","Kingston","6 Mar 1997"
"80","15*","43","36","1","0","41.66","4","not out","4","v West Indies","Kingston","6 Mar 1997"
"81","88","306","233","9","0","37.76","4","run out","2","v West Indies","Port of Spain","14 Mar 1997"
"82","92","222","147","14","1","62.58","4","caught","2","v West Indies","Bridgetown","27 Mar 1997"
"83","4","25","14","0","0","28.57","4","caught","4","v West Indies","Bridgetown","27 Mar 1997"
"84","DNB","-","-","-","-","-","-","-","2","v West Indies","St John's","4 Apr 1997"
"85","83","287","231","9","0","35.93","4","caught","1","v West Indies","Georgetown","17 Apr 1997"
"86","143","292","247","20","0","57.89","4","caught","1","v Sri Lanka","Colombo (RPS)","2 Aug 1997"
"87","139","397","266","16","0","52.25","4","caught","2","v Sri Lanka","Colombo (SSC)","9 Aug 1997"
"88","8","43","44","1","0","18.18","4","caught","4","v Sri Lanka","Colombo (SSC)","9 Aug 1997"
"89","23","129","93","2","0","24.73","4","caught","2","v Sri Lanka","Mohali","19 Nov 1997"
"90","15","38","20","1","1","75.00","4","bowled","1","v Sri Lanka","Nagpur","26 Nov 1997"
"91","148","320","244","20","3","60.65","5","bowled","1","v Sri Lanka","Mumbai","3 Dec 1997"
"92","13","28","16","1","0","81.25","4","caught","3","v Sri Lanka","Mumbai","3 Dec 1997"
"93","4","7","5","1","0","80.00","4","caught","1","v Australia","Chennai","6 Mar 1998"
"94","155*","286","191","14","4","81.15","4","not out","3","v Australia","Chennai","6 Mar 1998"
"95","79","109","86","12","2","91.86","4","caught","2","v Australia","Kolkata","18 Mar 1998"
"96","177","298","207","29","3","85.50","4","bowled","1","v Australia","Bengaluru","25 Mar 1998"
"97","31","75","64","4","0","48.43","4","caught","3","v Australia","Bengaluru","25 Mar 1998"
"98","34","103","68","3","0","50.00","5","caught","2","v Zimbabwe","Harare","7 Oct 1998"
"99","7","27","14","0","0","50.00","4","caught","4","v Zimbabwe","Harare","7 Oct 1998"
"100","47","95","72","7","0","65.27","5","caught","1","v New Zealand","Wellington","26 Dec 1998"
"101","113","200","151","13","2","74.83","5","caught","3","v New Zealand","Wellington","26 Dec 1998"
"102","67","118","93","9","1","72.04","4","lbw","2","v New Zealand","Hamilton","2 Jan 1999"
"103","DNB","-","-","-","-","-","-","-","4","v New Zealand","Hamilton","2 Jan 1999"
"104","0","5","3","0","0","0.00","4","caught","2","v Pakistan","Chennai","28 Jan 1999"
"105","136","405","273","18","0","49.81","4","caught","4","v Pakistan","Chennai","28 Jan 1999"
"106","6","13","11","1","0","54.54","4","lbw","1","v Pakistan","Delhi","4 Feb 1999"
"107","29","99","65","4","0","44.61","4","caught","3","v Pakistan","Delhi","4 Feb 1999"
"108","0","2","1","0","0","0.00","5","bowled","2","v Pakistan","Kolkata","16 Feb 1999"
"109","9","18","13","1","0","69.23","4","run out","4","v Pakistan","Kolkata","16 Feb 1999"
"110","53","94","54","10","0","98.14","4","caught","1","v Sri Lanka","Colombo (SSC)","24 Feb 1999"
"111","124*","308","235","10","1","52.76","4","not out","3","v Sri Lanka","Colombo (SSC)","24 Feb 1999"
"112","18","61","34","3","0","52.94","4","bowled","1","v New Zealand","Mohali","10 Oct 1999"
"113","126*","397","248","14","0","50.80","4","not out","3","v New Zealand","Mohali","10 Oct 1999"
"114","15","76","54","3","0","27.77","4","caught","2","v New Zealand","Kanpur","22 Oct 1999"
"115","44*","58","39","8","0","112.82","4","not out","4","v New Zealand","Kanpur","22 Oct 1999"
"116","217","494","344","29","0","63.08","4","caught","1","v New Zealand","Ahmedabad","29 Oct 1999"
"117","15","16","10","3","0","150.00","2","bowled","3","v New Zealand","Ahmedabad","29 Oct 1999"
"118","61","181","133","8","0","45.86","5","caught","2","v Australia","Adelaide","10 Dec 1999"
"119","0","6","5","0","0","0.00","5","lbw","4","v Australia","Adelaide","10 Dec 1999"
"120","116","283","191","9","1","60.73","4","caught","2","v Australia","Melbourne","26 Dec 1999"
"121","52","162","122","4","0","42.62","4","lbw","4","v Australia","Melbourne","26 Dec 1999"
"122","45","82","53","8","0","84.90","4","lbw","1","v Australia","Sydney","2 Jan 2000"
"123","4","6","4","1","0","100.00","4","caught","3","v Australia","Sydney","2 Jan 2000"
"124","97","208","163","12","2","59.50","4","caught","1","v South Africa","Mumbai","24 Feb 2000"
"125","8","20","11","2","0","72.72","4","lbw","3","v South Africa","Mumbai","24 Feb 2000"
"126","21","120","76","3","0","27.63","4","caught","1","v South Africa","Bengaluru","2 Mar 2000"
"127","20","76","53","2","0","37.73","4","caught","3","v South Africa","Bengaluru","2 Mar 2000"
"128","18","63","41","1","0","43.90","5","caught","2","v Bangladesh","Dhaka","10 Nov 2000"
"129","DNB","-","-","-","-","-","-","-","4","v Bangladesh","Dhaka","10 Nov 2000"
"130","122","283","233","19","0","52.36","4","caught","2","v Zimbabwe","Delhi","18 Nov 2000"
"131","39","45","39","8","0","100.00","4","caught","4","v Zimbabwe","Delhi","18 Nov 2000"
"132","201*","392","281","27","0","71.53","4","not out","1","v Zimbabwe","Nagpur","25 Nov 2000"
"133","76","138","114","13","0","66.66","4","caught","1","v Australia","Mumbai","27 Feb 2001"
"134","65","153","107","11","0","60.74","5","caught","3","v Australia","Mumbai","27 Feb 2001"
"135","10","25","18","2","0","55.55","4","lbw","2","v Australia","Kolkata","11 Mar 2001"
"136","10","26","23","2","0","43.47","4","caught","3","v Australia","Kolkata","11 Mar 2001"
"137","126","346","230","15","2","54.78","4","caught","2","v Australia","Chennai","18 Mar 2001"
"138","17","27","17","3","0","100.00","4","caught","4","v Australia","Chennai","18 Mar 2001"
"139","74","179","128","12","0","57.81","4","caught","2","v Zimbabwe","Bulawayo","7 Jun 2001"
"140","36*","41","49","4","0","73.46","4","not out","4","v Zimbabwe","Bulawayo","7 Jun 2001"
"141","20","78","46","2","1","43.47","4","bowled","1","v Zimbabwe","Harare","15 Jun 2001"
"142","69","185","135","9","0","51.11","4","caught","3","v Zimbabwe","Harare","15 Jun 2001"
"143","155","233","184","23","1","84.23","4","caught","1","v South Africa","Bloemfontein","3 Nov 2001"
"144","15","60","35","2","0","42.85","4","caught","3","v South Africa","Bloemfontein","3 Nov 2001"
"145","1","10","4","0","0","25.00","4","caught","2","v South Africa","Port Elizabeth","16 Nov 2001"
"146","22*","54","45","4","0","48.88","4","not out","4","v South Africa","Port Elizabeth","16 Nov 2001"
"147","88","229","144","13","0","61.11","5","caught","2","v England","Mohali","3 Dec 2001"
"148","DNB","-","-","-","-","-","-","-","4","v England","Mohali","3 Dec 2001"
"149","103","254","197","12","1","52.28","4","caught","2","v England","Ahmedabad","11 Dec 2001"
"150","26","87","81","4","0","32.09","4","caught","4","v England","Ahmedabad","11 Dec 2001"
"151","90","263","198","13","0","45.45","4","stumped","2","v England","Bengaluru","19 Dec 2001"
"152","176","440","316","23","0","55.69","4","caught","2","v Zimbabwe","Nagpur","21 Feb 2002"
"153","36","124","119","5","0","30.25","4","lbw","2","v Zimbabwe","Delhi","28 Feb 2002"
"154","42","78","52","7","1","80.76","5","lbw","4","v Zimbabwe","Delhi","28 Feb 2002"
"155","79","191","136","13","0","58.08","4","lbw","2","v West Indies","Georgetown","11 Apr 2002"
"156","117","356","260","14","0","45.00","4","lbw","1","v West Indies","Port of Spain","19 Apr 2002"
"157","0","16","4","0","0","0.00","4","lbw","3","v West Indies","Port of Spain","19 Apr 2002"
"158","0","4","2","0","0","0.00","4","caught","1","v West Indies","Bridgetown","2 May 2002"
"159","8","32","17","1","0","47.05","4","lbw","3","v West Indies","Bridgetown","2 May 2002"
"160","0","2","1","0","0","0.00","4","caught","1","v West Indies","St John's","10 May 2002"
"161","41","94","63","7","0","65.07","4","bowled","2","v West Indies","Kingston","18 May 2002"
"162","86","162","139","13","0","61.87","4","bowled","4","v West Indies","Kingston","18 May 2002"
"163","16","94","61","2","0","26.22","5","caught","2","v England","Lord's","25 Jul 2002"
"164","12","51","35","2","0","34.28","4","bowled","4","v England","Lord's","25 Jul 2002"
"165","34","90","68","6","0","50.00","4","bowled","1","v England","Nottingham","8 Aug 2002"
"166","92","160","113","17","0","81.41","4","bowled","3","v England","Nottingham","8 Aug 2002"
"167","193","434","330","19","3","58.48","4","lbw","1","v England","Leeds","22 Aug 2002"
"168","54","114","89","10","0","60.67","4","lbw","2","v England","The Oval","5 Sep 2002"
"169","35","96","88","5","0","39.77","4","caught","1","v West Indies","Mumbai","9 Oct 2002"
"170","43","156","113","5","0","38.05","4","bowled","2","v West Indies","Chennai","17 Oct 2002"
"171","16*","15","20","0","0","80.00","4","not out","4","v West Indies","Chennai","17 Oct 2002"
"172","36","85","65","7","0","55.38","4","caught","1","v West Indies","Kolkata","30 Oct 2002"
"173","176","419","298","26","0","59.06","4","caught","3","v West Indies","Kolkata","30 Oct 2002"
"174","8","47","26","2","0","30.76","4","lbw","1","v New Zealand","Wellington","12 Dec 2002"
"175","51","120","74","7","0","68.91","4","bowled","3","v New Zealand","Wellington","12 Dec 2002"
"176","9","40","31","1","0","29.03","4","caught","1","v New Zealand","Hamilton","19 Dec 2002"
"177","32","55","48","5","0","66.66","4","bowled","3","v New Zealand","Hamilton","19 Dec 2002"
"178","8","54","38","1","0","21.05","4","caught","1","v New Zealand","Ahmedabad","8 Oct 2003"
"179","7","19","15","0","0","46.66","4","caught","3","v New Zealand","Ahmedabad","8 Oct 2003"
"180","55","238","175","6","0","31.42","4","caught","2","v New Zealand","Mohali","16 Oct 2003"
"181","1","15","10","0","0","10.00","4","bowled","3","v New Zealand","Mohali","16 Oct 2003"
"182","0","3","3","0","0","0.00","4","lbw","2","v Australia","Brisbane","4 Dec 2003"
"183","DNB","-","-","-","-","-","-","-","4","v Australia","Brisbane","4 Dec 2003"
"184","1","15","6","0","0","16.66","4","caught","2","v Australia","Adelaide","12 Dec 2003"
"185","37","79","59","5","0","62.71","4","lbw","4","v Australia","Adelaide","12 Dec 2003"
"186","0","3","1","0","0","0.00","4","caught","1","v Australia","Melbourne","26 Dec 2003"
"187","44","107","79","5","0","55.69","5","caught","3","v Australia","Melbourne","26 Dec 2003"
"188","241*","613","436","33","0","55.27","4","not out","1","v Australia","Sydney","2 Jan 2004"
"189","60*","108","89","5","0","67.41","4","not out","3","v Australia","Sydney","2 Jan 2004"
"190","194*","493","348","21","0","55.74","4","not out","1","v Pakistan","Multan","28 Mar 2004"
"191","2","10","6","0","0","33.33","4","lbw","1","v Pakistan","Lahore","5 Apr 2004"
"192","8","17","11","1","0","72.72","4","lbw","3","v Pakistan","Lahore","5 Apr 2004"
"193","1","6","3","0","0","33.33","4","caught","2","v Pakistan","Rawalpindi","13 Apr 2004"
"194","8","49","36","0","0","22.22","4","lbw","2","v Australia","Nagpur","26 Oct 2004"
"195","2","18","14","0","0","14.28","4","caught","4","v Australia","Nagpur","26 Oct 2004"
"196","5","43","35","0","0","14.28","4","caught","1","v Australia","Mumbai","3 Nov 2004"
"197","55","120","83","6","1","66.26","4","caught","3","v Australia","Mumbai","3 Nov 2004"
"198","3","21","18","0","0","16.66","4","bowled","2","v South Africa","Kanpur","20 Nov 2004"
"199","20","82","54","3","0","37.03","4","bowled","2","v South Africa","Kolkata","28 Nov 2004"
"200","32*","73","64","3","1","50.00","4","not out","4","v South Africa","Kolkata","28 Nov 2004"
"201","248*","552","379","35","0","65.43","4","not out","2","v Bangladesh","Dhaka","10 Dec 2004"
"202","36","79","55","6","0","65.45","4","lbw","1","v Bangladesh","Chittagong","17 Dec 2004"
"203","94","301","202","11","0","46.53","4","caught","2","v Pakistan","Mohali","8 Mar 2005"
"204","DNB","-","-","-","-","-","-","-","4","v Pakistan","Mohali","8 Mar 2005"
"205","52","147","102","9","0","50.98","4","caught","1","v Pakistan","Kolkata","16 Mar 2005"
"206","52","117","91","9","0","57.14","4","caught","3","v Pakistan","Kolkata","16 Mar 2005"
"207","41","78","71","7","0","57.74","4","caught","2","v Pakistan","Bengaluru","24 Mar 2005"
"208","16","140","98","2","0","16.32","4","caught","4","v Pakistan","Bengaluru","24 Mar 2005"
"209","22","157","126","2","0","17.46","4","lbw","1","v Sri Lanka","Chennai","2 Dec 2005"
"210","109","310","196","14","1","55.61","4","lbw","1","v Sri Lanka","Delhi","10 Dec 2005"
"211","16","42","28","3","0","57.14","4","lbw","3","v Sri Lanka","Delhi","10 Dec 2005"
"212","23","85","66","2","0","34.84","4","caught","1","v Sri Lanka","Ahmedabad","18 Dec 2005"
"213","19","40","29","3","0","65.51","4","lbw","3","v Sri Lanka","Ahmedabad","18 Dec 2005"
"214","DNB","-","-","-","-","-","-","-","2","v Pakistan","Lahore","13 Jan 2006"
"215","14","64","33","3","0","42.42","4","caught","2","v Pakistan","Faisalabad","21 Jan 2006"
"216","DNB","-","-","-","-","-","-","-","4","v Pakistan","Faisalabad","21 Jan 2006"
"217","23","49","29","5","0","79.31","4","bowled","2","v Pakistan","Karachi","29 Jan 2006"
"218","26","74","47","5","0","55.31","4","bowled","4","v Pakistan","Karachi","29 Jan 2006"
"219","16","84","45","2","0","35.55","4","lbw","2","v England","Nagpur","1 Mar 2006"
"220","28*","38","19","5","0","147.36","6","not out","4","v England","Nagpur","1 Mar 2006"
"221","4","20","15","0","0","26.66","4","caught","2","v England","Mohali","9 Mar 2006"
"222","DNB","-","-","-","-","-","-","-","4","v England","Mohali","9 Mar 2006"
"223","1","33","21","0","0","4.76","4","caught","2","v England","Mumbai","18 Mar 2006"
"224","34","77","57","5","0","59.64","5","caught","4","v England","Mumbai","18 Mar 2006"
"225","44","113","89","7","0","49.43","4","caught","1","v South Africa","Johannesburg","15 Dec 2006"
"226","14","43","22","3","0","63.63","4","bowled","3","v South Africa","Johannesburg","15 Dec 2006"
"227","63","173","115","11","0","54.78","4","caught","2","v South Africa","Durban","26 Dec 2006"
"228","0","13","7","0","0","0.00","4","lbw","4","v South Africa","Durban","26 Dec 2006"
"229","64","187","130","11","0","49.23","4","caught","1","v South Africa","Cape Town","2 Jan 2007"
"230","14","88","62","1","0","22.58","5","lbw","3","v South Africa","Cape Town","2 Jan 2007"
"231","101","274","169","9","0","59.76","4","caught","1","v Bangladesh","Chittagong","18 May 2007"
"232","31","69","50","2","0","62.00","4","bowled","3","v Bangladesh","Chittagong","18 May 2007"
"233","122*","354","226","8","1","53.98","4","not out","1","v Bangladesh","Dhaka","25 May 2007"
"234","37","104","78","6","0","47.43","4","lbw","2","v England","Lord's","19 Jul 2007"
"235","16","42","35","3","0","45.71","4","lbw","4","v England","Lord's","19 Jul 2007"
"236","91","259","197","12","0","46.19","4","lbw","2","v England","Nottingham","27 Jul 2007"
"237","1","17","15","0","0","6.66","4","caught","4","v England","Nottingham","27 Jul 2007"
"238","82","298","192","11","0","42.70","4","caught","1","v England","The Oval","9 Aug 2007"
"239","1","13","11","0","0","9.09","4","bowled","3","v England","The Oval","9 Aug 2007"
"240","1","2","1","0","0","100.00","4","run out","2","v Pakistan","Delhi","22 Nov 2007"
"241","56*","178","110","9","0","50.90","4","not out","4","v Pakistan","Delhi","22 Nov 2007"
"242","82","146","109","12","0","75.22","4","bowled","1","v Pakistan","Kolkata","30 Nov 2007"
"243","DNB","-","-","-","-","-","-","-","3","v Pakistan","Kolkata","30 Nov 2007"
"244","62","113","77","7","1","80.51","4","bowled","2","v Australia","Melbourne","26 Dec 2007"
"245","15","31","21","1","0","71.42","4","caught","4","v Australia","Melbourne","26 Dec 2007"
"246","154*","429","243","14","1","63.37","4","not out","2","v Australia","Sydney","2 Jan 2008"
"247","12","33","16","3","0","75.00","4","bowled","4","v Australia","Sydney","2 Jan 2008"
"248","71","175","128","9","0","55.46","4","lbw","1","v Australia","Perth","16 Jan 2008"
"249","13","33","25","2","0","52.00","5","lbw","3","v Australia","Perth","16 Jan 2008"
"250","153","342","205","13","3","74.63","4","caught","1","v Australia","Adelaide","24 Jan 2008"
"251","13","67","36","1","0","36.11","4","run out","3","v Australia","Adelaide","24 Jan 2008"
"252","0","9","5","0","0","0.00","4","caught","2","v South Africa","Chennai","26 Mar 2008"
"253","27","60","46","3","0","58.69","4","bowled","2","v Sri Lanka","Colombo (SSC)","23 Jul 2008"
"254","12","42","30","1","0","40.00","4","caught","3","v Sri Lanka","Colombo (SSC)","23 Jul 2008"
"255","5","5","3","1","0","166.66","4","lbw","1","v Sri Lanka","Galle","31 Jul 2008"
"256","31","54","42","5","0","73.80","4","caught","3","v Sri Lanka","Galle","31 Jul 2008"
"257","6","18","12","0","0","50.00","4","lbw","1","v Sri Lanka","Colombo (PSS)","8 Aug 2008"
"258","14","26","22","1","0","63.63","6","lbw","3","v Sri Lanka","Colombo (PSS)","8 Aug 2008"
"259","13","26","18","3","0","72.22","4","caught","2","v Australia","Bengaluru","9 Oct 2008"
"260","49","177","126","4","0","38.88","4","caught","4","v Australia","Bengaluru","9 Oct 2008"
"261","88","186","111","10","0","79.27","4","caught","1","v Australia","Mohali","17 Oct 2008"
"262","10*","16","12","1","0","83.33","5","not out","3","v Australia","Mohali","17 Oct 2008"
"263","68","188","126","11","0","53.96","4","caught","1","v Australia","Delhi","29 Oct 2008"
"264","47","159","120","4","0","39.16","5","caught","3","v Australia","Delhi","29 Oct 2008"
"265","109","274","188","12","0","57.97","4","lbw","1","v Australia","Nagpur","6 Nov 2008"
"266","12","90","55","1","0","21.81","4","run out","3","v Australia","Nagpur","6 Nov 2008"
"267","37","90","48","4","1","77.08","4","caught","2","v England","Chennai","11 Dec 2008"
"268","103*","317","196","9","0","52.55","4","not out","4","v England","Chennai","11 Dec 2008"
"269","11","45","26","1","0","42.30","4","lbw","1","v England","Mohali","19 Dec 2008"
"270","5","41","22","1","0","22.72","4","caught","3","v England","Mohali","19 Dec 2008"
"271","160","397","260","26","0","61.53","4","caught","2","v New Zealand","Hamilton","18 Mar 2009"
"272","DNB","-","-","-","-","-","-","-","4","v New Zealand","Hamilton","18 Mar 2009"
"273","49","98","65","7","1","75.38","5","caught","2","v New Zealand","Napier","26 Mar 2009"
"274","64","167","131","9","1","48.85","4","caught","3","v New Zealand","Napier","26 Mar 2009"
"275","62","108","85","11","0","72.94","4","caught","1","v New Zealand","Wellington","3 Apr 2009"
"276","9","25","20","0","1","45.00","4","caught","3","v New Zealand","Wellington","3 Apr 2009"
"277","4","3","3","1","0","133.33","4","bowled","1","v Sri Lanka","Ahmedabad","16 Nov 2009"
"278","100*","298","211","11","0","47.39","5","not out","3","v Sri Lanka","Ahmedabad","16 Nov 2009"
"279","40","122","91","0","1","43.95","4","caught","1","v Sri Lanka","Kanpur","24 Nov 2009"
"280","53","139","103","6","0","51.45","4","bowled","2","v Sri Lanka","Mumbai (BS)","2 Dec 2009"
"281","105*","246","166","11","2","63.25","4","not out","1","v Bangladesh","Chittagong","17 Jan 2010"
"282","16","47","26","2","0","61.53","5","lbw","3","v Bangladesh","Chittagong","17 Jan 2010"
"283","143","259","182","13","1","78.57","4","caught","2","v Bangladesh","Dhaka","24 Jan 2010"
"284","DNB","-","-","-","-","-","-","-","4","v Bangladesh","Dhaka","24 Jan 2010"
"285","7","25","16","1","0","43.75","4","caught","2","v South Africa","Nagpur","6 Feb 2010"
"286","100","275","179","13","0","55.86","4","bowled","3","v South Africa","Nagpur","6 Feb 2010"
"287","106","266","206","12","0","51.45","4","caught","2","v South Africa","Kolkata","14 Feb 2010"
"288","8","29","21","1","0","38.09","4","lbw","2","v Sri Lanka","Galle","18 Jul 2010"
"289","84","168","142","11","1","59.15","4","lbw","3","v Sri Lanka","Galle","18 Jul 2010"
"290","203","516","347","23","1","58.50","4","caught","2","v Sri Lanka","Colombo (SSC)","26 Jul 2010"
"291","41","88","72","5","0","56.94","4","caught","2","v Sri Lanka","Colombo (PSS)","3 Aug 2010"
"292","54","186","122","3","0","44.26","4","caught","4","v Sri Lanka","Colombo (PSS)","3 Aug 2010"
"293","98","251","189","13","0","51.85","5","lbw","2","v Australia","Mohali","1 Oct 2010"
"294","38","106","64","5","0","59.37","4","caught","4","v Australia","Mohali","1 Oct 2010"
"295","214","547","363","22","2","58.95","4","bowled","2","v Australia","Bengaluru","9 Oct 2010"
"296","53*","125","77","5","2","68.83","4","not out","4","v Australia","Bengaluru","9 Oct 2010"
"297","40","168","133","5","0","30.07","4","caught","1","v New Zealand","Ahmedabad","4 Nov 2010"
"298","12","27","25","2","0","48.00","4","bowled","3","v New Zealand","Ahmedabad","4 Nov 2010"
