"","x"
"311",1195
"312",3218
"313",6999
"314",1432
"315",7635
"316",4959
"317",4326
"318",5260
"319",7270
"320",415
"321",6946
"322",2450
"323",6981
"324",10463
"325",7200
"326",5740
"327",3513
"328",5544
"329",9751
"330",5116
"331",6352
"332",2850
"333",444
"334",1754
"335",1908
"336",996
"337",2708
"338",8916
"339",1284
"340",8100
"341",1294
"342",10094
"343",9734
"344",10654
"345",7256
"346",3467
"347",6250
"348",10290
"349",1421
"350",5979
"351",3317
"352",9518
"353",964
"354",3804
"355",9340
"356",6779
"357",6547
"358",5771
"359",4104
"360",8252
"361",10633
"362",6862
"363",9192
"364",8434
"365",814
"366",2880
"367",1100
"368",10268
"369",4030
"370",744
"371",2328
"372",7816
"373",1780
"374",7780
"375",3920
"376",2266
"377",3226
"378",6973
"379",3152
"380",8155
"381",6092
"382",3409
"383",1176
"384",7482
"385",9130
"386",7698
"387",9770
"388",2339
"389",1924
"390",8249
"391",2932
"392",10068
"393",7566
"394",4250
"395",7954
"396",5154
"397",789
"398",2412
"399",14
"400",1771
"401",1162
"402",4510
"403",6391
"404",763
"405",7501
"406",4124
"407",2203
"408",224
"409",1449
"410",7396
"411",8646
"412",3406
"413",4148
"414",9434
"415",2720
"416",2784
"417",7588
"418",7084
"419",5002
"420",515
"421",3895
"422",10672
"423",10806
"424",8766
"425",9516
"426",4172
"427",3450
"428",9470
"429",4138
"430",8460
"431",8561
"432",7279
"433",7624
"434",3262
"435",708
"436",3021
"437",3746
"438",483
"439",3651
"440",6103
"441",1825
"442",7220
"443",5324
"444",692
"445",10650
"446",3371
"447",4982
"448",958
"449",6514
"450",4406
"451",149
"452",10839
"453",6814
"454",689
"455",8536
"456",9896
"457",1937
"458",8162
"459",9100
"460",1522
"461",9236
"462",895
"463",3014
"464",267
"465",4808
"466",4864
"467",8870
"468",359
"469",5066
"470",5167
"471",5162
"472",5464
"473",3361
"474",3108
"475",6306
"476",8032
"477",7120
"478",10316
"479",9743
"480",4360
"481",2287
"482",6589
"483",6984
"484",10618
"485",10396
"486",5577
"487",7562
"488",4866
"489",6624
"490",5547
"491",1916
"492",2978
"493",8974
"494",3810
"495",6452
"496",5267
"497",6846
"498",9742
"499",4594
"500",1800
"501",8520
"502",3552
"503",4684
"504",5328
"505",9015
"506",4934
"507",10431
"508",4608
"509",6358
"510",2232
"511",3438
"512",5492
"513",10159
"514",4491
"515",4080
"516",2116
"517",3766
"518",5714
"519",6537
"520",9810
"521",1599
"522",6950
"523",10244
"524",3233
"525",8634
"526",10331
"527",9942
"528",1416
"529",9993
"530",4940
"531",10344
"532",1130
"533",7436
"534",6728
"535",8393
"536",7378
"537",7632
"538",1178
"539",6909
"540",2466
"541",934
"542",3186
"543",5775
"544",10032
"545",4748
"546",8530
"547",1857
"548",6707
"549",2040
"550",2316
"551",2228
"552",1102
"553",922
"554",5773
"555",5798
"556",653
"557",7246
"558",32
"559",3474
"560",7950
"561",10228
"562",940
"563",9590
"564",3299
"565",10715
"566",8934
"567",3966
"568",5886
"569",9712
"570",7446
"571",3558
"572",6463
"573",1253
"574",4724
"575",8717
"576",5873
"577",2240
"578",3115
"579",962
"580",10008
"581",2736
"582",463
"583",6504
"584",820
"585",2556
"586",3052
"587",9058
"588",8152
"589",9426
"590",2198
"591",1854
"592",2042
"593",2308
"594",4508
"595",6212
"596",7001
"597",9752
"598",5274
"599",4184
"600",632
"601",7193
"602",3297
"603",2976
"604",6113
"605",8112
"606",5780
"607",700
"608",1574
"609",428
"610",4564
"611",2716
"612",10324
"613",5400
"614",7658
"615",8439
"616",1401
"617",3216
"618",275
"619",606
"620",2418
"621",8050
"622",7222
"623",3995
"624",4115
"625",1239
"626",733
"627",503
"628",6942
"629",3870
"630",4178
"631",1722
"632",3986
"633",1269
"634",4848
"635",7148
"636",175
"637",4761
"638",4642
"639",5034
"640",10253
"641",9716
"642",6392
"643",7372
"644",4157
"645",7089
"646",1017
"647",3674
"648",8274
"649",1753
"650",2910
"651",5570
"652",1918
"653",889
"654",10090
"655",453
"656",7086
"657",2038
"658",2834
"659",7541
"660",2082
"661",8745
"662",2364
"663",2438
"664",8756
"665",1818
"666",943
"667",4856
"668",3150
"669",9474
"670",4198
"671",1708
"672",8012
"673",1876
"674",9847
"675",9912
"676",3970
"677",3789
"678",2174
"679",3159
"680",10416
"681",4352
"682",6317
"683",8341
"684",4422
"685",1903
"686",7553
"687",9605
"688",3180
"689",4604
"690",8612
"691",5586
"692",10138
"693",6302
"694",10142
"695",5170
"696",8010
"697",3102
"698",9554
"699",10342
"700",7963
"701",1994
"702",3824
"703",4024
"704",291
"705",6445
"706",3708
"707",2900
"708",10591
"709",730
"710",9820
"711",2074
"712",7866
"713",5012
"714",3448
"715",7586
"716",7504
"717",8078
"718",5254
"719",4410
"720",7260
"721",10114
"722",5354
"723",10834
"724",4540
"725",2109
"726",158
"727",608
"728",10462
"729",2216
"730",9131
"731",9802
"732",3296
"733",5998
"734",8690
"735",5733
"736",9794
"737",109
"738",2640
"739",4821
"740",1549
"741",6790
"742",2092
"743",4278
"744",10116
"745",2182
"746",3884
"747",1497
"748",8824
"749",7678
"750",7530
"751",3423
"752",5797
"753",4999
"754",2624
"755",7064
"756",196
"757",5550
"758",5083
"759",2178
"760",5682
"761",5918
"762",8576
"763",5658
"764",4716
"765",9967
"766",6694
"767",9681
"768",6000
"769",3203
"770",4830
"771",3064
"772",418
"773",7897
"774",8980
"775",6686
"776",9740
"777",9264
"778",9230
"779",6972
"780",6962
"781",6120
"782",3424
"783",1288
"784",266
"785",4585
"786",7702
"787",4828
"788",9879
"789",9258
"790",3676
"791",9580
"792",2763
"793",2010
"794",3582
"795",1478
"796",2782
"797",4102
"798",2621
"799",4576
"800",2437
"801",8430
"802",7463
"803",5821
"804",772
"805",3162
"806",3682
"807",2468
"808",6440
"809",6650
"810",6179
"811",4878
"812",9713
"813",1764
"814",9481
"815",4659
"816",1208
"817",9003
"818",10210
"819",10566
"820",83
"821",2047
"822",3062
"823",448
"824",1874
"825",1652
"826",330
"827",6906
"828",7022
"829",836
"830",9808
"831",1717
"832",7597
"833",4126
"834",3664
"835",8487
"836",7208
"837",2043
"838",6576
"839",1466
"840",7964
"841",550
"842",3623
"843",2239
"844",5986
"845",9234
"846",7141
"847",8003
"848",10072
"849",1293
"850",9714
"851",3069
"852",2315
"853",6154
"854",1796
"855",9682
"856",1460
"857",9388
"858",6078
"859",8396
"860",5121
"861",10356
"862",9224
"863",10524
"864",8062
"865",7190
"866",2703
"867",6516
"868",2176
"869",8954
"870",4210
"871",8288
"872",9729
"873",6417
"874",4886
"875",5966
"876",7723
"877",1254
"878",9757
"879",4868
"880",8378
"881",9600
"882",806
"883",4785
"884",5272
"885",8277
"886",7966
"887",1735
"888",3908
"889",2015
"890",6014
"891",7570
"892",1206
"893",3190
"894",10534
"895",9487
"896",6994
"897",10078
"898",470
"899",818
"900",3157
"901",9395
"902",9838
"903",2664
"904",480
"905",3368
"906",10610
"907",4242
"908",8828
"909",8645
"910",510
"911",6903
"912",666
"913",7196
"914",2157
"915",9377
"916",166
"917",6850
"918",8800
"919",8304
"920",842
"921",4548
"922",3756
"923",10470
"924",6540
"925",2350
"926",10351
"927",4236
"928",1638
"929",6662
"930",6637
"931",10131
"932",9588
"933",3714
"934",9484
"935",7904
"936",3149
"937",870
"938",7641
"939",8912
"940",2112
"941",9174
"942",2442
"943",9344
"944",9603
"945",9133
"946",3524
"947",7900
"948",3658
"949",808
"950",1232
"951",8116
"952",9958
"953",3794
"954",5473
"955",2244
"956",7513
"957",2990
"958",1112
"959",5252
"960",4664
"961",7492
"962",10795
"963",6932
"964",1890
"965",314
"966",7359
"967",10866
"968",8087
"969",9016
"970",6539
"971",7318
"972",866
"973",6334
"974",10512
"975",4496
"976",8833
"977",5534
"978",9494
"979",3491
"980",9491
"981",5784
"982",3718
"983",8409
"984",340
"985",4322
"986",2259
"987",1634
"988",2317
"989",2578
"990",5712
"991",10764
"992",4538
"993",2326
"994",1682
"995",1286
"996",9176
"997",8843
"998",7672
"999",1529
"1000",7520
"1001",701
"1002",8512
"1003",143
"1004",5598
"1005",5215
"1006",9266
"1007",4788
"1008",8194
"1009",9339
"1010",6924
"1011",4431
"1012",988
"1013",3677
"1014",7802
"1015",7224
"1016",10330
"1017",6849
"1018",9628
"1019",6817
"1020",9390
"1021",713
"1022",7600
"1023",3740
"1024",3386
"1025",2190
"1026",213
"1027",6813
"1028",6199
"1029",6011
"1030",4984
"1031",173
"1032",5190
"1033",2870
"1034",2797
"1035",6584
"1036",2787
"1037",3788
"1038",4800
"1039",1606
"1040",10020
"1041",5150
"1042",3857
"1043",5460
"1044",6605
"1045",7551
"1046",1584
"1047",9999
"1048",1302
"1049",6462
"1050",6995
"1051",5662
"1052",7519
"1053",3228
"1054",5922
"1055",10840
"1056",4951
"1057",5678
"1058",9206
"1059",6367
"1060",5796
"1061",3176
"1062",1210
"1063",39
"1064",7508
"1065",4488
"1066",6762
"1067",4420
"1068",6295
"1069",1861
"1070",1897
"1071",4105
"1072",5609
"1073",8868
"1074",6304
"1075",2757
"1076",2225
"1077",10009
"1078",2409
"1079",7094
"1080",679
"1081",2537
"1082",6532
"1083",7828
"1084",8482
"1085",8066
"1086",4747
"1087",4058
"1088",3172
"1089",5088
"1090",5352
"1091",1244
"1092",7622
"1093",10661
"1094",2146
"1095",4258
"1096",8251
"1097",5241
"1098",670
"1099",4766
"1100",2752
"1101",184
"1102",6928
"1103",2812
"1104",2212
"1105",3504
"1106",6798
"1107",4950
"1108",8154
"1109",502
"1110",4067
"1111",6246
"1112",9114
"1113",1258
"1114",3634
"1115",10254
"1116",9950
"1117",21
"1118",8308
"1119",191
"1120",4143
"1121",320
"1122",4176
"1123",8506
"1124",4186
"1125",10616
"1126",1359
"1127",5754
"1128",6512
"1129",5634
"1130",8632
"1131",2093
"1132",5240
"1133",728
"1134",10750
"1135",3476
"1136",6110
"1137",30
"1138",1853
"1139",5521
"1140",5794
"1141",44
"1142",9718
"1143",3762
"1144",7808
"1145",10172
"1146",4344
"1147",2648
"1148",5004
"1149",5946
"1150",3487
"1151",9720
"1152",2194
"1153",5178
"1154",10216
"1155",1998
"1156",5894
"1157",3484
"1158",7119
"1159",8156
"1160",8682
"1161",9144
"1162",6966
"1163",7264
"1164",8982
"1165",4570
"1166",272
"1167",5454
"1168",4616
"1169",2238
"1170",2186
"1171",6411
"1172",9083
"1173",811
"1174",3405
"1175",6018
"1176",5183
"1177",10454
"1178",9153
"1179",3946
"1180",2766
"1181",8709
"1182",1814
"1183",2462
"1184",8539
"1185",4793
"1186",10766
"1187",10401
"1188",10514
"1189",9169
"1190",1083
"1191",6338
"1192",4082
"1193",847
"1194",3094
"1195",6923
"1196",6021
"1197",7725
"1198",6996
"1199",6089
"1200",9097
"1201",3673
"1202",7598
"1203",8350
"1204",23
"1205",1268
"1206",5530
"1207",7591
"1208",4191
"1209",9572
"1210",8702
"1211",3084
"1212",2541
"1213",7104
"1214",1131
"1215",4612
"1216",7837
"1217",5568
"1218",5830
"1219",3034
"1220",3488
"1221",7424
"1222",7697
"1223",9952
"1224",4232
"1225",7416
"1226",10518
"1227",522
"1228",8604
"1229",1238
"1230",8059
"1231",2365
"1232",4343
"1233",9863
"1234",1039
"1235",10266
"1236",9601
"1237",7726
"1238",72
"1239",3106
"1240",10860
"1241",2828
"1242",290
"1243",5340
"1244",7512
"1245",456
"1246",4704
"1247",9962
"1248",2806
"1249",1973
"1250",8566
"1251",5910
"1252",9448
"1253",5408
"1254",8838
"1255",2730
"1256",2512
"1257",10562
"1258",3880
"1259",10272
"1260",10843
"1261",4311
"1262",10060
"1263",10752
"1264",3551
"1265",10604
"1266",7038
"1267",2735
"1268",6009
"1269",8721
"1270",5523
"1271",676
"1272",3436
"1273",1228
"1274",684
"1275",3472
"1276",555
"1277",9498
"1278",3665
"1279",7272
"1280",2474
"1281",3030
"1282",4255
"1283",2192
"1284",9576
"1285",6162
"1286",577
"1287",10612
"1288",10366
"1289",3292
"1290",1763
"1291",823
"1292",2392
"1293",4839
"1294",2983
"1295",1314
"1296",7895
"1297",4723
"1298",547
"1299",6294
"1300",1662
"1301",2446
"1302",9968
"1303",4794
"1304",6389
"1305",8130
"1306",2548
"1307",7531
"1308",10122
"1309",8475
"1310",9108
"1311",7685
"1312",2674
"1313",7956
"1314",6955
"1315",2056
"1316",9242
"1317",6726
"1318",981
"1319",9317
"1320",10115
"1321",7999
"1322",5942
"1323",1733
"1324",10274
"1325",271
"1326",4376
"1327",20
"1328",65
"1329",6231
"1330",7556
"1331",1902
"1332",168
"1333",3342
"1334",2044
"1335",10222
"1336",2994
"1337",7095
"1338",4428
"1339",5638
"1340",7876
"1341",4832
"1342",7252
"1343",10349
"1344",10084
"1345",9468
"1346",9778
"1347",1785
"1348",8006
"1349",27
"1350",6416
"1351",4558
"1352",4596
"1353",1732
"1354",10162
"1355",8534
"1356",9876
"1357",7924
"1358",264
"1359",6940
"1360",8846
"1361",7062
"1362",749
"1363",682
"1364",7920
"1365",2319
"1366",7290
"1367",2926
"1368",7502
"1369",8611
"1370",3860
"1371",7753
"1372",8540
"1373",9922
"1374",5107
"1375",6732
"1376",1826
"1377",618
"1378",1477
"1379",4445
"1380",9784
"1381",3465
"1382",7091
"1383",1696
"1384",3598
"1385",1982
"1386",9956
"1387",7358
"1388",1950
"1389",10674
"1390",7488
"1391",10
"1392",3898
"1393",7036
"1394",2360
"1395",6146
"1396",194
"1397",1629
"1398",7998
"1399",1127
"1400",2408
"1401",2656
"1402",3578
"1403",1026
"1404",7696
"1405",7755
"1406",1060
"1407",3782
"1408",1300
"1409",2346
"1410",8990
"1411",2087
"1412",4320
"1413",7144
"1414",3130
"1415",4334
"1416",869
"1417",8478
"1418",178
"1419",7334
"1420",2585
"1421",1426
"1422",7176
"1423",1255
"1424",9861
"1425",2250
"1426",10756
"1427",2028
"1428",5724
"1429",565
"1430",1715
"1431",8685
"1432",9269
"1433",2517
"1434",472
"1435",8698
"1436",9425
"1437",10310
"1438",1579
"1439",6228
"1440",2651
"1441",6820
"1442",7368
"1443",8660
"1444",362
"1445",1702
"1446",7109
"1447",7740
"1448",10288
"1449",2596
"1450",6070
"1451",2824
"1452",5334
"1453",10680
"1454",1066
"1455",10628
"1456",2403
"1457",10822
"1458",10113
"1459",6974
"1460",906
"1461",10736
"1462",9722
"1463",5888
"1464",9379
"1465",5988
"1466",10590
"1467",9868
"1468",8839
"1469",9694
"1470",500
"1471",4858
"1472",3772
"1473",6734
"1474",8511
"1475",5604
"1476",2764
"1477",3518
"1478",5672
"1479",8481
"1480",5929
"1481",7244
"1482",7515
"1483",8664
"1484",4638
"1485",862
"1486",136
"1487",4995
"1488",4516
"1489",1107
"1490",5813
"1491",3702
"1492",5546
"1493",9510
"1494",8421
"1495",7916
"1496",4831
"1497",8998
"1498",9009
"1499",7347
"1500",7728
"1501",846
"1502",9140
"1503",1024
"1504",9692
"1505",1692
"1506",9125
"1507",6010
"1508",1830
"1509",9496
"1510",3000
"1511",960
"1512",3640
"1513",5567
"1514",1245
"1515",2751
"1516",2912
"1517",3468
"1518",830
"1519",7500
"1520",4021
"1521",9754
"1522",5248
"1523",7840
"1524",10256
"1525",6926
"1526",9196
"1527",4966
"1528",4903
"1529",9880
"1530",5690
"1531",6908
"1532",9313
"1533",8521
"1534",3539
"1535",9631
"1536",4384
"1537",7793
"1538",7561
"1539",4772
"1540",4204
"1541",7965
"1542",10243
"1543",5564
"1544",5664
"1545",8287
"1546",6422
"1547",5537
"1548",8070
"1549",9546
"1550",5302
"1551",6126
"1552",8596
"1553",9630
"1554",9424
"1555",5290
"1556",8730
"1557",60
"1558",2057
"1559",7116
"1560",6414
"1561",9342
"1562",3897
"1563",6546
"1564",2382
"1565",350
"1566",9750
"1567",551
"1568",52
"1569",2114
"1570",5974
"1571",2712
"1572",8883
"1573",3164
"1574",6473
"1575",9493
"1576",5358
"1577",5465
"1578",2662
"1579",6263
"1580",1560
"1581",186
"1582",75
"1583",8053
"1584",439
"1585",1865
"1586",4018
"1587",1004
"1588",9054
"1589",6060
"1590",3721
"1591",211
"1592",9814
"1593",8093
"1594",5755
"1595",7402
"1596",1694
"1597",8412
"1598",7853
"1599",9668
"1600",3668
"1601",244
"1602",9409
"1603",3771
"1604",10690
"1605",9355
"1606",9106
"1607",8836
"1608",6248
"1609",4739
"1610",3758
"1611",10079
"1612",164
"1613",6264
"1614",9382
"1615",8734
"1616",8908
"1617",7093
"1618",9059
"1619",4022
"1620",7353
"1621",688
"1622",6513
"1623",2
"1624",506
"1625",8143
"1626",7349
"1627",8260
"1628",1075
"1629",904
"1630",3806
"1631",5280
"1632",4216
"1633",4620
"1634",1158
"1635",1587
"1636",5343
"1637",8106
"1638",4552
"1639",512
"1640",7532
"1641",7990
"1642",4774
"1643",10587
"1644",352
"1645",73
"1646",2162
"1647",6024
"1648",8672
"1649",219
"1650",4896
"1651",3058
"1652",1266
"1653",6232
"1654",6786
"1655",68
"1656",3199
"1657",8848
"1658",7462
"1659",6958
"1660",9346
"1661",7642
"1662",4013
"1663",6567
"1664",6980
"1665",7166
"1666",3734
"1667",1298
"1668",6458
"1669",3251
"1670",9219
"1671",7136
"1672",162
"1673",2224
"1674",7108
"1675",212
"1676",6002
"1677",6363
"1678",3646
"1679",1781
"1680",1718
"1681",982
"1682",10238
"1683",2502
"1684",324
"1685",7985
"1686",6997
"1687",5239
"1688",289
"1689",1914
"1690",7122
"1691",738
"1692",5443
"1693",4696
"1694",1160
"1695",10726
"1696",3026
"1697",3971
"1698",8924
"1699",9514
"1700",762
"1701",7163
"1702",540
"1703",1934
"1704",10720
"1705",372
"1706",640
"1707",5250
"1708",9454
"1709",7788
"1710",282
"1711",5422
"1712",5746
"1713",3596
"1714",7367
"1715",9208
"1716",6558
"1717",3398
"1718",4224
"1719",5560
"1720",304
"1721",5480
"1722",4813
"1723",9690
"1724",1610
"1725",3905
"1726",6432
"1727",944
"1728",2366
"1729",1174
"1730",6873
"1731",10297
"1732",5691
"1733",6730
"1734",3441
"1735",8513
"1736",8074
"1737",5153
"1738",2458
"1739",5576
"1740",1404
"1741",92
"1742",5768
"1743",8627
"1744",9044
"1745",971
"1746",3922
"1747",2663
"1748",6856
"1749",4574
"1750",3842
"1751",2931
"1752",216
"1753",8872
"1754",2141
"1755",9955
"1756",6405
"1757",9314
"1758",610
"1759",7294
"1760",10064
"1761",202
"1762",6132
"1763",5374
"1764",8226
"1765",6130
"1766",7020
"1767",366
"1768",26
"1769",7511
"1770",8635
"1771",5592
"1772",9391
"1773",4403
"1774",6952
"1775",1588
"1776",3560
"1777",4740
"1778",6936
"1779",6150
"1780",1142
"1781",801
"1782",4471
"1783",590
"1784",4904
"1785",775
"1786",5317
"1787",686
"1788",5305
"1789",156
"1790",10376
"1791",8388
"1792",6518
"1793",5536
"1794",938
"1795",4962
"1796",5944
"1797",5120
"1798",10506
"1799",10460
"1800",4504
"1801",5304
"1802",4234
"1803",7322
"1804",9452
"1805",5060
"1806",4452
"1807",9410
"1808",6427
"1809",5080
"1810",880
"1811",3040
"1812",2858
"1813",8558
"1814",4122
"1815",288
"1816",9307
"1817",4480
"1818",10540
"1819",1273
"1820",5438
"1821",8126
"1822",1322
"1823",6804
"1824",7154
"1825",5744
"1826",10180
"1827",4651
"1828",4782
"1829",10307
"1830",994
"1831",668
"1832",2536
"1833",5670
"1834",7846
"1835",7534
"1836",3919
"1837",8913
"1838",2582
"1839",6842
"1840",9964
"1841",9318
"1842",493
"1843",10393
"1844",7248
"1845",8884
"1846",10751
"1847",6595
"1848",5366
"1849",902
"1850",2041
"1851",1473
"1852",1980
"1853",9622
"1854",5136
"1855",9992
"1856",4349
"1857",2891
"1858",3032
"1859",4336
"1860",2572
"1861",206
"1862",7585
"1863",312
"1864",2877
"1865",5970
"1866",5561
"1867",5106
"1868",9527
"1869",9578
"1870",10411
"1871",4059
"1872",7568
"1873",1400
"1874",3639
"1875",7881
"1876",1267
"1877",3936
"1878",1841
"1879",3048
"1880",7404
"1881",7784
"1882",2630
"1883",9710
"1884",1894
"1885",3939
"1886",371
"1887",5765
"1888",1766
"1889",8080
"1890",2590
"1891",3900
"1892",6328
"1893",4356
"1894",8022
"1895",10495
"1896",5472
"1897",3470
"1898",979
"1899",2962
"1900",8630
"1901",7464
"1902",4652
"1903",1008
"1904",2070
"1905",6677
"1906",9671
"1907",528
"1908",5387
"1909",3380
"1910",6749
"1911",4996
"1912",3516
"1913",8
"1914",10038
"1915",3840
"1916",1596
"1917",10283
"1918",561
"1919",8886
"1920",3200
"1921",8902
"1922",5716
"1923",5028
"1924",6517
"1925",1423
"1926",10776
"1927",7286
"1928",2937
"1929",3067
"1930",1276
"1931",656
"1932",3568
"1933",10539
"1934",3540
"1935",7096
"1936",740
"1937",8628
"1938",9152
"1939",6155
"1940",6824
"1941",6210
"1942",2361
"1943",7652
"1944",8182
"1945",2262
"1946",2078
"1947",7690
"1948",7044
"1949",10588
"1950",1480
"1951",2342
"1952",4484
"1953",8841
"1954",5298
"1955",4560
"1956",8349
"1957",7210
"1958",9825
"1959",5934
"1960",7128
"1961",6859
"1962",8684
"1963",6757
"1964",8788
"1965",163
"1966",5725
"1967",2242
"1968",8133
"1969",336
"1970",6180
"1971",5612
"1972",9413
"1973",8722
"1974",4590
"1975",7187
"1976",678
"1977",3526
"1978",2866
"1979",4944
"1980",1292
"1981",2122
"1982",3652
"1983",1536
"1984",6988
"1985",4171
"1986",3774
"1987",180
"1988",6654
"1989",5545
"1990",48
"1991",6680
"1992",9707
"1993",5770
"1994",6016
"1995",4588
"1996",8898
"1997",6451
"1998",3078
"1999",7582
"2000",778
"2001",557
"2002",4190
"2003",7043
"2004",9362
"2005",9040
"2006",8926
"2007",2052
"2008",1637
"2009",3236
"2010",9859
"2011",2058
"2012",2386
"2013",9669
"2014",3580
"2015",4592
"2016",4257
"2017",9869
"2018",7540
"2019",10176
"2020",10772
"2021",2936
"2022",2160
"2023",534
"2024",1730
"2025",4064
"2026",1128
"2027",2372
"2028",5548
"2029",3780
"2030",9298
"2031",3532
"2032",9244
"2033",7815
"2034",1354
"2035",6300
"2036",677
"2037",7346
"2038",172
"2039",7418
"2040",8669
"2041",5810
"2042",2210
"2043",5625
"2044",1328
"2045",1348
"2046",2295
"2047",4806
"2048",7415
"2049",10466
"2050",8724
"2051",2486
"2052",10124
"2053",8796
"2054",8893
"2055",1760
"2056",9689
"2057",6663
"2058",7602
"2059",4014
"2060",706
"2061",7365
"2062",10503
"2063",7106
"2064",5782
"2065",10803
"2066",5751
"2067",9476
"2068",6775
"2069",3530
"2070",4732
"2071",9577
"2072",3374
"2073",933
"2074",9396
"2075",8676
"2076",1122
"2077",6945
"2078",1852
"2079",9944
"2080",9053
"2081",1508
"2082",4614
"2083",6340
"2084",2992
"2085",7258
"2086",7901
"2087",8121
"2088",5379
"2089",7651
"2090",2223
"2091",6583
"2092",9004
"2093",696
"2094",6436
"2095",2048
"2096",317
"2097",5626
"2098",8286
"2099",1082
"2100",10440
"2101",8290
"2102",1436
"2103",2555
"2104",10482
"2105",7744
"2106",10004
"2107",7382
"2108",9134
"2109",3437
"2110",7054
"2111",10112
"2112",1203
"2113",896
"2114",2501
"2115",4741
"2116",4906
"2117",5968
"2118",9804
"2119",4561
"2120",3420
"2121",588
"2122",8918
"2123",794
"2124",10688
"2125",4840
"2126",10336
"2127",5192
"2128",4202
"2129",2054
"2130",3414
"2131",1489
"2132",3727
"2133",8624
"2134",2612
"2135",885
"2136",9328
"2137",10748
"2138",6201
"2139",2268
"2140",2899
"2141",3701
"2142",6437
"2143",3843
"2144",10021
"2145",6112
"2146",3288
"2147",3872
"2148",5394
"2149",7115
"2150",5346
"2151",1616
"2152",662
"2153",6674
"2154",1110
"2155",8683
"2156",3893
"2157",7844
"2158",3249
"2159",8030
"2160",888
"2161",7748
"2162",2946
"2163",3270
"2164",793
"2165",10622
"2166",10704
"2167",10104
"2168",3284
"2169",6500
"2170",5322
"2171",8798
"2172",10096
"2173",8292
"2174",6165
